AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,notes,include_article_review,exclude_reason,note,exclude_reason_original
"Qing Yao, Hong-Hui Zhu, You-Li Hu, Liang-Qiu Li",2008,Differential influence of native and introduced arbuscular mycorrhizal   fungi on growth of dominant and subordinate plants,PLANT ECOLOGY,261-268,261-268,10.1007/s11258-007-9350-5,"The impact of arbuscular mycorrhizal fungi (AMF) on plant ecosystems has   been intensively reported. In this research, we explored the difference   between native and introduced AMF in promoting the growth of dominant   and subordinate plant species. In glasshouse experiments, dominants and   subordinates from subtropical grasslands were colonized by native AMF or   introduced AMF, Glomus versiforme. The biomass revealed that mycorrhizal   dependencies (MD) on the native AMF of the dominants were much higher   than those of the subordinates, while MD on the introduced AMF changed   following the replacement of native AMF with introduced AMF. A close   relationship between biomass promotion and increase in phosphorus uptake   was observed, indicating the important role of AMF-enhanced nutrient   acquisition by roots. Our results show that plant community structures   are partly determined by MD on native AMF, and could be modified by   introducing exogenous AMF species.",11,NO,IF,,,,,
"E. Madejon, A. I. Doronila, J. T. Sanchez-Palacios, P. Madejon, A. J. M. Baker",2010,Arbuscular Mycorrhizal Fungi (AMF) and Biosolids Enhance the Growth of a   Native Australian Grass on Sulphidic Gold Mine Tailings,RESTORATION ECOLOGY,175-183,175-183,10.1111/j.1526-100X.2009.00610.x,Addition of biosolids significantly increased AMF infection of roots   compared to unamended substrates. No clear qualitative differences in   colonization were detected. Addition of biosolids and AMF together   clearly improved the establishment and growth of the native grass.   Similar trends in nutritional status were shown for biosolids and   inoculation with AMF treatments. Mycorrhizal inoculation increased plant   biomass production and the effectiveness of nutrient uptake. The   combined use of biosolids and mycorrhizal inoculation could be a   reliable method for phytostabilization purposes in polluted substrates.,12,NO,IF,,,,,
"Elly Morrien, Wim H. van der Putten",2013,Soil microbial community structure of range-expanding plant species   differs from co-occurring natives,JOURNAL OF ECOLOGY,1093-1102,1093-1102,10.1111/1365-2745.12117,"1. Due to global warming and other changes in the environment, many   native and exotic plant species show range expansion from lower to   higher latitudes. In the new range, the (in)ability of range-expanding   plants to establish associations with local soil microbes can have   important consequences for plant abundance; however, very little   information exists on rhizosphere communities of range-expanding plant   species. Here, we examine the rhizosphere microbial community   composition of range-expanding plant species in comparison with   phylogenetically related species that are native in the invaded range.   2. We tested the hypothesis that range-expanding plants species would   promote fewer shifts in rhizosphere communities than congeneric natives   would. In order to test this, soil was collected from the invaded   habitat and six range-expanding and nine congeneric natives were planted   individually in pots to condition soil microbial communities.   3. After harvesting, individuals of the same species were planted in   conditioned own and control soils to test the legacy effects of soil   conditioning on biomass production. The control soils were mixtures of   soils conditioned by all other plant species, except congenerics. After   10weeks of plant growth, we determined the rhizosphere community   composition of bacteria, fungi, arbuscular mycorrhizal fungi (AMF) and   Fusarium spp.   4. All groups of microbes were analysed qualitatively using denaturating   gradient gel electrophoresis (DGGE). Ergosterol was determined as a   quantitative measure of nonarbuscular mycorrhizal fungal biomass, and   real-time PCR was applied to detect amounts of Fusarium spp.   5. Range-expanding plants had less fungal hyphal biomass and lower   amounts of Fusarium spp. in the rhizosphere than congenerics. Bacterial   community composition was influenced by a combination of soil   conditioning and plant origin, whereas fungal communities, AMF and   Fusarium spp. were less pronounced in their responses to the   experimental treatments.   6. Synthesis. We conclude that the lack of legacy effects in   range-expanding plant species compared with natives may be due to   differences in bacterial rhizosphere community composition, or to   different quantities of potential pathogenic fungi. If the   range-expanding plant species were benefiting more from AMF, effects   will not have been due to differences in community composition, but we   cannot exclude other options, such as different effectiveness of AMF or   other soil biota in the rhizosphere of range-expanding vs. native plant   species. The greater accumulation of bacterial and fungal pathogens in   the rhizosphere of natives in relation to range expanders might explain   the successful establishment of range-expanding plants.",13,NO,IF,,,,,
"J. Thurman, J. Drinkall, J. D. Parry",2010,Digestion of bacteria by the freshwater ciliate Tetrahymena pyriformis,AQUATIC MICROBIAL ECOLOGY,163-174,163-174,10.3354/ame01413,"The digestion of heat-killed/stained Escherichia coli, Pseudomonas   aeruginosa, Meso-rhizobium sp. and Staphylococcus aureus was monitored   within one food vacuole passage time in the ciliate Tetrahymena   pyriformis using the pulse chase technique. Prey digestion proceeded in   2 phases: a digestive phase which lasted similar to 25 mm and a   defecation competent phase that showed limited digestive activity and   was variable in length. The number of prey cells per food vacuole was   found to influence the effectiveness of prey digestion. Complete   digestion of the vacuole content was more likely to occur when the   number of prey per vacuole averaged similar to 6 or less. At higher   levels, only partial digestion of the vacuole content was recorded and   some undigested prey were egested from the ciliate cell. A strain of   Synechococcus sp. was never digested by this ciliate. Results suggest   that bacteria do not necessarily require elaborate mechanisms to evade   digestion by protozoa, as possessed by some pathogenic bacteria, but   that inefficiency in the protozoan digestive system is all that is   required to allow the release of undigested, apparently unharmed prey   from their cells. Thus, models on carbon cycling which employ data on   protistan ingestion rates alone should consider accounting for digestion   efficiency and the subsequent effect of prey concentration, because prey   carbon might not always be transferred efficiently to higher trophic   levels.",14,NO,IF,,,,,
"Taal Levi, A. Marm Kilpatrick, Michael Barfield, Robert D. Holt, Marc Mangel, Christopher C. Wilmers",2015,Threshold levels of generalist predation determine consumer response to   resource pulses,OIKOS,1436-1443,1436-1443,10.1111/oik.01487,"Many ecological systems are characterized by brief periods of increased   resource availability called resource pulses. Empirical studies suggest   that some populations of primary consumers grow rapidly in response to   resource pulses, but others instead remain at low abundance despite   increases in resource availability. Previous theory suggests that the   lack of increase in primary consumers might be due to predators, which   can respond to increased prey density both numerically, by increasing   their own population, and functionally, by killing prey at a faster   rate. The complexity of potential population responses to resource   pulses can be assessed with simulations, but analytical conditions   determining when one observes qualitatively distinct dynamics have yet   to be identified. Here we use a graphical method based on a bifurcation   diagram to derive the conditions leading to qualitatively distinct   steady state and transient prey population dynamics as levels of   predation (abundance and diversity) vary. When predation thresholds are   crossed, consumer populations respond numerically to increases in their   resources and provide a secondary resource pulse to their predators and   parasites. These community dynamics have broad implications for the   impact of changing predator communities on insect and rodent population   outbreaks, which are economically and epidemiologically important.",15,NO,IF,,,,,
"Gianalberto Losapio, Ferenc Jordan, Marco Caccianiga, Mauro Gobbi",2015,Structure-dynamic relationship of plant-insect networks along a primary   succession gradient on a glacier foreland,ECOLOGICAL MODELLING,73-79,73-79,10.1016/j.ecolmodel.2015.07.014,"There is a growing interest in understanding the structure-dynamic   relationship of ecological networks. Ecological network changes along   primary successions are poorly known: to address such topic, gradient of   primary succession on glacier forelands is an ideal model, as sites of   different age since deglaciation stand for different ecosystem   developmental stages. We aimed to investigate the assembly processes of   plant-insect networks and to elucidate its functional implications for   ecosystem stability along this time sequence succession. We collected   data on the functional role of anthophilous insect groups and performed   network analysis to evaluate their relative importance in the structure   of plant-insect interaction networks with increasing time since   deglaciation along the primary succession of a debris-covered glacier   foreland. We sampled anthophilous insects visiting the flowers of two   models plant species, Leucanthemopsis alpina and Saxifraga bryoides.   Insects were identified and trophic roles were attributed to each taxon   (detritivores, parasitoids, phytophagous, pollinators, predators, and   opportunists) at five sites representing the primary succession   gradient. Plant-insect interactions were visually represented by a   bipartite network for each successional stage. For each plant species   and insect group, centrality indices were computed quantifying their   community importance. For the whole network, centralization and link   density were calculated. Pollinators dominated pioneer communities on   the debris-covered glacier and in recently deglaciated areas, while   parasitoids, predators and opportunists characterised late-succession   stages. Plant species centrality varied along the succession.   Pollinators showed initially higher but then decreasing centrality,   while the centrality of predators and parasitoids increased with time   since deglaciation. Along the same gradient link density showed an   increasing trend while network centralization tended to decrease. The   present study provides new insight into the initial steps of   plant-insect network assembly and sheds light on the relationship   between structure and dynamic in ecological networks. In particular,   during the succession process, more links are formed and   plant-anthophilous insect interactions change from a network dominated   by pollinators to a functionally more diversified food web. We conclude   that applying network theory to the study of primary succession provides   a useful framework to investigate the relationship between community   structure and ecosystem stability. (C) 2015 Elsevier B.V. All rights   reserved.",16,NO,IF,,,,,
"Claire Kremen, Alastair Iles, Christopher Bacon",2012,"Diversified Farming Systems: An Agroecological, Systems-based   Alternative to Modern Industrial Agriculture",ECOLOGY AND SOCIETY,NA,NA,10.5751/ES-05103-170444,"This Special Issue on Diversified Farming Systems is motivated by a   desire to understand how agriculture designed according to whole   systems, agroecological principles can contribute to creating a more   sustainable, socially just, and secure global food system. We first   define Diversified Farming Systems (DFS) as farming practices and   landscapes that intentionally include functional biodiversity at   multiple spatial and/or temporal scales in order to maintain ecosystem   services that provide critical inputs to agriculture, such as soil   fertility, pest and disease control, water use efficiency, and   pollination. We explore to what extent DFS overlap or are differentiated   from existing concepts such as sustainable, multifunctional, organic or   ecoagriculture. DFS are components of social-ecological systems that   depend on certain combinations of traditional and contemporary   knowledge, cultures, practices, and governance structures. Further, as   ecosystem services are generated and regenerated within a DFS, the   resulting social benefits in turn support the maintenance of the DFS,   enhancing its ability to provision these services sustainably. We   explore how social institutions, particularly alternative agri-food   networks and agrarian movements, may serve to promote DFS approaches,   but note that such networks and movements have other primary goals and   are not always explicitly connected to the environmental and   agroecological concerns embodied within the DFS concept. We examine   global trends in agriculture to investigate to what extent   industrialized forms of agriculture are replacing former DFS, assess the   current and potential contributions of DFS to food security, food   sovereignty and the global food supply, and determine where and under   what circumstances DFS are expanding rather than contracting.",17,NO,IF,,,,,
"Piotr Trezbicki, Narelle Nancarrow, Ellen Cole, Nilsa A. Bosque-Perez, Fiona E. Constable, Angela J. Freeman, Brendan Rodoni, Alan L. Yen, Jo E. Luck, Glenn J. Fitzgerald",2015,Virus disease in wheat predicted to increase with a changing climate,GLOBAL CHANGE BIOLOGY,3511-3519,3511-3519,10.1111/gcb.12941,"Current atmospheric CO2 levels are about 400 mu mol mol(-1) and are   predicted to rise to 650 mu mol mol(-1) later this century. Although the   positive and negative impacts of CO2 on plants are well documented,   little is known about interactions with pests and diseases. If disease   severity increases under future environmental conditions, then it   becomes imperative to understand the impacts of pathogens on crop   production in order to minimize crop losses and maximize food   production. Barley yellow dwarf virus (BYDV) adversely affects the yield   and quality of economically important crops including wheat, barley and   oats. It is transmitted by numerous aphid species and causes a serious   disease of cereal crops worldwide. This study examined the effects of   ambient (aCO(2); 400 mu mol mol(-1)) and elevated CO2 (eCO(2); 650 mu   mol mol(-1)) on noninfected and BYDV-infected wheat. Using a RT-qPCR   technique, we measured virus titre from aCO(2) and eCO(2) treatments.   BYDV titre increased significantly by 36.8\% in leaves of wheat grown   under eCO(2) conditions compared to aCO(2). Plant growth parameters   including height, tiller number, leaf area and biomass were generally   higher in plants exposed to higher CO2 levels but increased growth did   not explain the increase in BYDV titre in these plants. High virus titre   in plants has been shown to have a significant negative effect on plant   yield and causes earlier and more pronounced symptom expression   increasing the probability of virus spread by insects. The combination   of these factors could negatively impact food production in Australia   and worldwide under future climate conditions. This is the first   quantitative evidence that BYDV titre increases in plants grown under   elevated CO2 levels.",18,NO,IF,,,,,
"Joshua D. Voss, DeEtta K. Mills, Jamie L. Myers, Elizabeth R. Remily, Laurie L. Richardson",2007,Black band disease microbial community variation on corals in three   regions of the wider Caribbean,MICROBIAL ECOLOGY,730-739,730-739,10.1007/s00248-007-9234-1,"Black band disease (BBD) is a pathogenic consortium of microorganisms   that primarily affects massive framework-building scleractinian corals   on reefs worldwide. There has been considerable debate concerning the   microbial community composition of BBD. The aim of this study was to   utilize microbial profiling to assess overall patterns of variation in   the BBD bacterial community with respect to geographic location, host   coral species, time, and nutrient regime. Length heterogeneity   polymerase chain reaction (LH-PCR) was employed to differentiate BBD   communities based on the natural variation in the sequence lengths   within hypervariable domains of the 16S rRNA gene. Analysis of LH-PCR   profiles of 97 BBD samples using multivariate ordination methods and   analysis of similarity revealed significant clustering with respect to   geographic region when comparing BBD sampled from reefs near Lee   Stocking Island in the Bahamas' Exuma Chain, the Northern Florida Keys   (NFK), and St. John in the US Virgin Islands. There was much variability   in BBD community composition on a regional basis, between sites in the   NFK, and in terms of coral host species. The observed differences among   BBD microbial community profiles were driven primarily by variation in   relative abundance of 313-316-bp amplicons, which correspond to   cyanobacteria and alpha-proteobacteria. The results obtained in this   study support previous reports of intrinsic variability and complexity   of the BBD microbial community but also suggest that this variability   has biogeographic patterns.",19,NO,IF,,,,,
"Diem Nguyen, Bastien Castagneyrol, Helge Bruelheide, Filippo Bussotti, Virginie Guyot, Herve Jactel, Bogdan Jaroszewicz, Fernando Valladares, Jan Stenlid, Johanna Boberg",2016,Fungal disease incidence along tree diversity gradients depends on   latitude in European forests,ECOLOGY AND EVOLUTION,2426-2438,2426-2438,10.1002/ece3.2056,"European forests host a diversity of tree species that are increasingly   threatened by fungal pathogens, which may have cascading consequences   for forest ecosystems and their functioning. Previous experimental   studies suggest that foliar and root pathogen abundance and disease   severity decrease with increasing tree species diversity, but evidences   from natural forests are rare. Here, we tested whether foliar fungal   disease incidence was negatively affected by tree species diversity in   different forest types across Europe. We measured the foliar fungal   disease incidence on 16 different tree species in 209 plots in six   European countries, representing a forest-type gradient from the   Mediterranean to boreal forests. Forest plots of single species   (monoculture plots) and those with different combinations of two to five   tree species (mixed species plots) were compared. Specifically, we   analyzed the influence of tree species richness, functional type   (conifer vs. broad-leaved) and phylogenetic diversity on overall fungal   disease incidence. The effect of tree species richness on disease   incidence varied with latitude and functional type. Disease incidence   tended to increase with tree diversity, in particular in northern   latitudes. Disease incidence decreased with tree species richness in   conifers, but not in broadleaved trees. However, for specific damage   symptoms, no tree species richness effects were observed. Although the   patterns were weak, susceptibility of forests to disease appears to   depend on the forest site and tree type.",20,NO,IF,,,,,
