AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Markku Larjavaara, Helene C. Muller-Landau",2010,Rethinking the value of high wood density,FUNCTIONAL ECOLOGY,701-705,701-705,10.1111/j.1365-2435.2010.01698.x,"P>1. Current thinking holds that wood density mediates a tradeoff   between strength and economy of construction, with higher wood density   providing higher strength but at higher cost.   2. Yet the further away wood fibres are from the central axis of the   trunk, the more they increase the strength of the trunk; thus, a fat   trunk of low-density wood can achieve greater strength at lower   construction cost than a thin trunk of high-density wood.   3. What then are the countervailing advantages of high wood density?   4. We hypothesize that high wood density is associated with lower   maintenance costs due to lower trunk surface area, as surface area   correlates with maintenance respiration.   5. This advantage would be particularly important to long-lived trees   and could in part explain why they tend to have high wood density.   6. High wood density has also been associated with lower risk of trunk   breakage, xylem implosion and pathogen invasion, but we argue that these   relationships are not causal and instead reflect correlated selection on   other traits of value to long-lived trees.   7. This revaluation of the costs and benefits of high wood density has   important implications for understanding tree life-history evolution,   functional diversity, forest carbon stocks and the impacts of global   change.",1140,N,ER,,,
"Elly Morrien, Henk Duyts, Wim H. Van der Putten",2012,Effects of native and exotic range-expanding plant species on taxonomic   and functional composition of nematodes in the soil food web,OIKOS,181-190,181-190,10.1111/j.1600-0706.2011.19773.x,"Due to climate warming, many plant species shift ranges towards higher   latitudes. Plants can disperse faster than most soil biota, however,   little is known about how range-expanding plants in the new range will   establish interactions with the resident soil food web. In this paper we   examine how the soil nematode community from the new range responds to   range-expanding plant species compared to related natives. We focused on   nematodes, because they are important components in various trophic   levels of the soil food web, some feeding on plant roots, others on   microbes or on invertebrates. We expected that range expanding plant   species have fewer root-feeding nematodes, as predicted by enemy release   hypothesis. We therefore expected that range expanders affect the   taxonomic and functional composition of the nematode community, but that   these effects would diminish with increasing trophic position of   nematodes in the soil food web.   We exposed six range expanders (including three intercontinental   exotics) and nine related native plant species to soil from the invaded   range and show that range expanders on average had fewer root-feeding   nematodes per unit root biomass than related natives. The range   expanders showed resistance against rather than tolerance for   root-feeding nematodes from the new range. On the other hand, the   overall taxonomic and functional nematode community composition was   influenced by plant species rather than by plant origin. The plant   identity effects declined with trophic position of nematodes in the soil   food web, as plant feeders were influenced more than other feeding   guilds. We conclude that range-expanding plant species can have fewer   root-feeding nematodes per unit root biomass than related natives, but   that the taxonomic and functional nematode community composition is   determined more by plant identity than by plant origin. Plant species   identity effects decreased with trophic position of nematodes in the   soil food web.",1141,N,ER,,,
"Damien A. Rathbone, Sarah Barrett",2017,Vertebrate browsing impacts in a threatened montane plant community and   implications for management,ECOLOGICAL MANAGEMENT \& RESTORATION,164-171,164-171,10.1111/emr.12259,"Montane ecosystems are vulnerable to the removal of vegetation cover   through browsing by feral or native vertebrate fauna. The highest   elevated peaks of the Stirling Range in Western Australia provide   habitat for an endemic plant community, Critically Endangered due to   plant disease, frequent fire and an emerging threat of browsing by   vertebrate fauna. Survey and camera trapping confirmed the herbivorous   feral Rabbit (Oryctolagus cuniculus) and native Quokka (Setonix   brachyurus) are present. Dietary analysis through faecal examination   revealed contrasting diets and implicates native rather than feral   species as responsible for impacts on dicotyledonous species, and in   particular those of conservation significance. Exclosure experiments   conducted over 1 year revealed significant changes in abundance, cover   and height of perennial herbs and an increase in growth and/or   reproduction of four threatened endemic plants. Detrimental impacts   caused by native browsing fauna are not unprecedented and may be   attributed to disequilibria in ecosystem processes due to multiple   interacting threats. Montane ecosystems may be particularly vulnerable   to browsing due to their naturally slow recovery after disturbance and   browsing may also create environmental conditions more conducive to   plant disease. For plant species with critically low population numbers,   the impact of browsing poses a threat to population persistence and   undermines investment into other conservation recovery actions. For   effective management, it is critical to determine the relative impact of   browsing species present. Where native species are implicated, the   physical protection of high value assets in wire exclosures is warranted   to complement other recovery actions and ensure effective species and   community recovery.",1142,N,ER,,,
"Julia Angelica Goncalves Silveira, Mirella Lauria D'Elia, Isabela de Oliveira Avelar, Lara Ribeiro de Almeida, Hudson Andrade dos Santos, Danielle Ferreira de Magalhaes Soares, Mucio Flavio Barbosa Ribeiro, Walter dos Santos Lima, Roselene Ecco",2016,Rangelia vitalii in a free-ranging maned wolf (Chrysocyon brachyurus)   and co-infections,INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,280-285,280-285,10.1016/j.ijppaw.2016.09.003,"An adult free-ranged female maned wolf was rescued from a periurban area   subject to anthropogenic disturbances in the Minas Gerais, Brazil. The   animal presented poor body condition and anemia. The clinical condition   rapidly deteriorated culminating in dead and a necropsy was performed.   The main gross lesions were marked anemia and blood content in the   intestines accompanied by many types of parasites. The protozoa Rangelia   vitalii was identified by histopathological analysis predominantly   within the cytoplasm of endothelial cells of capillaries of the small   intestine. The lymph nodes, spleen, bone marrow, dermis, lungs and   kidney had similar protozoal forms but with mild or moderate intensity.   Rangelia vitalii was confirmed by molecular assays. Hepatozoon sp.,   Leishmania sp., and Entamoeba spp., apparently not related to the   clinical signs were also detected. The myriad parasites found in the   intestines included nematodes (Ancylostoma caninum, A. braziliensis,,   Molineus sp., Pterygodermatites sp., and Trichuris sp.), cestodes   (Spirometra sp.) and (acanthocephalans. To our knowledge, R. vitalii was   identified in C. brachyurus for the first time. These findings emphasize   the fragility of Brazilian ecosystems, especially in disturbed areas,   reinforcing the necessity of efforts to preserve these areas and wild   carnivores, some of which are threatened with extinction, such as the   maned wolf. (C) 2016 The Authors. Published by Elsevier Ltd on behalf of   Australian Society for Parasitology.",1143,N,ER,,,
"Frauke Ecke, David G. Angeler, Magnus Magnusson, Hussein Khalil, Birger Hornfeldt",2017,"Dampening of population cycles in voles affects small mammal community   structure, decreases diversity, and increases prevalence of a zoonotic   disease",ECOLOGY AND EVOLUTION,5331-5342,5331-5342,10.1002/ece3.3074,"Long-term decline and depression of density in cyclic small rodents is a   recent widespread phenomenon. These observed changes at the population   level might have cascading effects at the ecosystem level. Here, we   assessed relationships between changing boreal landscapes and   biodiversity changes of small mammal communities. We also inferred   potential effects of observed community changes for increased   transmission risk of Puumala virus (PUUV) spread, causing the zoonotic   disease nephropatica epidemica in humans. Analyses were based on   long-term (1971-2013) monitoring data of shrews and voles representing   58 time series in northern Sweden. We calculated richness, diversity,   and evenness at alpha, beta, and gamma level, partitioned beta diversity   into turnover (species replacement) and nestedness (species   addition/removal), used similarity percentages (SIMPER) analysis to   assess community structure, and calculated the cumulated number of   PUUV-infected bank voles and average PUUV prevalence (percentage of   infected bank voles) per vole cycle. Alpha, beta, and gamma richness and   diversity of voles, but not shrews, showed long-term trends that varied   spatially. The observed patterns were associated with an increase in   community contribution of bank vole (Myodes glareolus), a decrease of   gray-sided vole (M.rufocanus) and field vole (Microtus agrestis) and a   hump-shaped variation in contribution of common shrew (Sorex araneus).   Long-term biodiversity changes were largely related to changes in forest   landscape structure. Number of PUUV-infected bank voles in spring was   negatively related to beta and gamma diversity, and positively related   to turnover of shrews (replaced by voles) and to community contribution   of bank voles. The latter was also positively related to average PUUV   prevalence in spring. We showed that long-term changes in the boreal   landscape contributed to explain the decrease in biodiversity and the   change in structure of small mammal communities. In addition, our   results suggest decrease in small mammal diversity to have knock-on   effects on dynamics of infectious diseases among small mammals with   potential implications for disease transmission to humans.",1144,N,ER,,,
"Cesar Marin, Roberto Godoy, Eduardo Valenzuela, Michael Schloter, Tesfaye Wubet, Jens Boy, Silvia Gschwendtner",2017,Functional land-use change effects on soil fungal communities in Chilean   temperate rainforests,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,985-1002,985-1002,NA,"By reducing soil organic matter and litter input, land-use changes are   predicted to decrease total soil fungal diversity, but at functional   levels this have been poorly studied. It is expected, though, that   increasing disturbance decreases saprotrophic and mycorrhizal fungi   biodiversity. This study aimed to determine the effects of land-use   changes on the phylogenetic and functional diversity of soil fungi in   the Southern Andes. We assessed the fungal communities of Andosol   topsoil at 1 cm and 10 cm soil depth. The soil samples were obtained   from a gradient of anthropogenic disturbance; specifically, plots were   located within pristine forest, overstory-managed, and clear-cut   conditions. We used a cultivation-independent molecular barcoding   approach to assess fungal diversity and identify 1,173 OTUs from which   401 were assigned to a functional guild. While we found higher   phylogenetic richness in clear-cut conditions, these soils had higher   relative abundances of plant pathogen fungi and lower relative   abundances of saprotrophic and ectomycorrhizal fungi compared to the   other treatments. The opposite pattern was found in pristine forest.   Thus, fungal species richness itself does not seem to reflect ecosystem   health. Interestingly though, the lower phylogenetic diversity found in   pristine forest was compensated by a higher diversity of fungi involved   in nutrient cycling.",1145,N,ER,,,
"Ya L. Li, Ana Deletic, Lucie Alcazar, Katia Bratieres, Tim D. Fletcher, David T. McCarthy",2012,"Removal of Clostridium perfringens, Escherichia coli and F-RNA   coliphages by stormwater biofilters",ECOLOGICAL ENGINEERING,137-145,137-145,10.1016/j.ecoleng.2012.08.007,"Biofiltration is a technology applied to treat urban stormwater runoff   that transports various pollutants, including pathogens. However, the   pathogen removal performance of biofiltration systems remains unknown. A   laboratory study was conducted to investigate the removal of three   indicator organisms (Clostridium perfringens, Escherichia coli, and   F-RNA coliphages) by biofilters. The influence of a range of factors was   investigated: presence of vegetation, depth and types of filter media,   presence of a saturated zone at the base of the biofilter, and   intermittent wetting and drying conditions. The mean removal of C.   perfringens and F-RNA coliphages by all biofilter designs exceeded 3   log. E. coli removal during wet periods, however, was much lower (mean 2   log). Furthermore, antecedent drying decreased the E. coli removal   efficiency significantly (p < 0.05). Drying might induce fine fissures   or macropore formation in filter media thus reduced retention of   microbes. This effect may be more obvious in vegetated designs due to   evapotranspiration induced moisture loss. Introducing a saturated zone   and carbon source at the base of the filter eliminated such negative   effects of drying on E. coli removal. The effluent from biofilters with   a saturated zone and carbon source met the recommended water quality for   secondary contact recreational water use in relation to E. coli. (C)   2012 Elsevier B.V. All rights reserved.",1146,N,ER,,,
"Alejandro Flores-Palacios, Cinthia Lorena Barbosa-Duchateau, Susana Valencia-Diaz, Ascencion Capistran-Barradas, Jose G. Garcia-Franco",2014,"Direct and indirect effects of Tillandsia recurvata on Prosopis   laevigata in the Chihuahua desert scrubland of San Luis Potosi, Mexico",JOURNAL OF ARID ENVIRONMENTS,88-95,88-95,10.1016/j.jaridenv.2014.02.010,"The function of epiphytes within ecosystems remains unclear; the high   biomass and nutrient content of epiphytes suggests an indirect   beneficial role, while other evidence indicates that epiphytes are   directly harmful to their hosts. We studied the direct and indirect   (associated with soil properties) effects of Tillandsia recurvata on   Prosopis laevigata. Soils located below trees supporting large loads of   T recurvata differed in nutrient content from soils below trees carrying   few T. recurvata and from bare soils. Greenhouse experiments showed that   soils with added T. recurvata or P. laevigata litter increased seed.   germination and seedling survival of P. laevigata, but that the   seedlings sown in soil with T. recurvata organic matter were shorter and   of lower biomass. In vitro experiments showed that dichloromethanic and   methanolic extracts of T. recurvata reduced the radicle size of P.   laevigata seedlings. P. laevigata branches with >50\% T recurvata cover   presented more dead and less live shoots than branches with <50\% T   recurvata cover. Our data suggest that T. recurvata has a direct   negative effect on P. laevigata. While T. recurvata does increase the   organic matter and nutrient content of the scrubland soil, it also   releases allelochemical compounds that act to reduce P. laevigata   growth. (C) 2014 Elsevier Ltd. All rights reserved.",1147,Y,ER,no,no data on PP,
"Cinzia Corinaldesi, Antonio Dell'Anno, Roberto Danovaro",2012,Viral infections stimulate the metabolism and shape prokaryotic   assemblages in submarine mud volcanoes,ISME JOURNAL,1250-1259,1250-1259,10.1038/ismej.2011.185,"Mud volcanoes are geological structures in the oceans that have key   roles in the functioning of the global ecosystem. Information on the   dynamics of benthic viruses and their interactions with prokaryotes in   mud volcano ecosystems is still completely lacking. We investigated the   impact of viral infection on the mortality and assemblage structure of   benthic prokaryotes of five mud volcanoes in the Mediterranean Sea. Mud   volcano sediments promote high rates of viral production (1.65-7.89 x   10(9) viruses g(-1) d(-1)), viral-induced prokaryotic mortality (VIPM)   (33\% cells killed per day) and heterotrophic prokaryotic production   (3.0-8.3 mu gC g(-1) d(-1)) when compared with sediments outside the mud   volcano area. The viral shunt (that is, the microbial biomass converted   into dissolved organic matter as a result of viral infection, and thus   diverted away from higher trophic levels) provides 49 mgC m(-2) d(-1),   thus fuelling the metabolism of uninfected prokaryotes and contributing   to the total C budget. Bacteria are the dominant components of   prokaryotic assemblages in surface sediments of mud volcanoes, whereas   archaea dominate the subsurface sediment layers. Multivariate multiple   regression analyses show that prokaryotic assemblage composition is not   only dependant on the geochemical features and processes of mud volcano   ecosystems but also on synergistic interactions between bottom-up (that   is, trophic resources) and top-down (that is, VIPM) controlling factors.   Overall, these findings highlight the significant role of the viral   shunt in sustaining the metabolism of prokaryotes and shaping their   assemblage structure in mud volcano sediments, and they provide new   clues for our understanding of the functioning of cold-seep ecosystems.   The ISME Journal (2012) 6, 1250-1259; doi:10.1038/ismej.2011.185;   published online 15 December 2011",1148,Y,ER,yes,,
"Miguel A. Fortuna, Daniel B. Stouffer, Jens M. Olesen, Pedro Jordano, David Mouillot, Boris R. Krasnov, Robert Poulin, Jordi Bascompte",2010,Nestedness versus modularity in ecological networks: two sides of the   same coin?,JOURNAL OF ANIMAL ECOLOGY,811-817,811-817,10.1111/j.1365-2656.2010.01688.x,"P>1. Understanding the structure of ecological networks is a crucial   task for interpreting community and ecosystem responses to global   change.   2. Despite the recent interest in this subject, almost all studies have   focused exclusively on one specific network property. The question   remains as to what extent different network properties are related and   how understanding this relationship can advance our comprehension of the   mechanisms behind these patterns.   3. Here, we analysed the relationship between nestedness and modularity,   two frequently studied network properties, for a large data set of 95   ecological communities including both plant-animal mutualistic and   host-parasite networks.   4. We found that the correlation between nestedness and modularity for a   population of random matrices generated from the real communities   decreases significantly in magnitude and sign with increasing   connectance independent of the network type. At low connectivities,   networks that are highly nested also tend to be highly modular; the   reverse happens at high connectivities.   5. The above result is qualitatively robust when different null models   are used to infer network structure, but, at a finer scale, quantitative   differences exist. We observed an important interaction between the   network structure pattern and the null model used to detect it.   6. A better understanding of the relationship between nestedness and   modularity is important given their potential implications on the   dynamics and stability of ecological communities.",1149,N,ER,,,
"Michelle E. Lander, Brian S. Fadely, Thomas S. Gelatt, Lorrie D. Rea, Thomas R. Loughlin",2013,Serum Chemistry Reference Ranges for Steller Sea Lion (Eumetopias   jubatus) Pups from Alaska: Stock Differentiation and Comparisons Within   a North Pacific Sentinel Species,ECOHEALTH,376-393,376-393,10.1007/s10393-013-0891-x,"Blood chemistry and hematologic reference ranges are useful for   population health assessment and establishing a baseline for future   comparisons in the event of ecosystem changes due to natural or   anthropogenic factors. The objectives of this study were to determine if   there was any population spatial structure for blood variables of   Steller sea lion (Eumetopias jubatus), an established sentinel species,   and to report reference ranges for appropriate populations using   standardized analyses. In addition to comparing reference ranges between   populations with contrasting abundance trends, data were examined for   evidence of disease or nutritional stress. From 1998 to 2011, blood   samples were collected from 1,231 pups captured on 37 rookeries across   their Alaskan range. Reference ranges are reported separately for the   western and eastern distinct population segments (DPS) of Steller sea   lion after cluster analysis and discriminant function analysis (DFA)   supported underlying stock structure. Variables with greater loading   scores for the DFA (creatinine, total protein, calcium, albumin,   cholesterol, and alkaline phosphatase) also were greater for sea lions   from the endangered western DPS, supporting previous studies that   indicated pup condition in the west was not compromised during the first   month postpartum. Differences between population segments were likely a   result of ecological, physiological, or age related differences.",1150,N,ER,,,
"Olivia Hesse, Wolfgang Engelbrecht, Christian Laforsch, Justyna Wolinska",2012,Fighting parasites and predators: How to deal with multiple threats?,BMC ECOLOGY,NA,NA,10.1186/1472-6785-12-12,"Background: Although inducible defences have been studied extensively,   only little is known about how the presence of parasites might interfere   with these anti-predator adaptations. Both parasites and predators are   important factors shaping community structure and species composition of   ecosystems. Here, we simultaneously exposed Daphnia magna to predator   cues (released by the tadpole shrimp, Triops, or by a fish) and spores   of the yeast parasite Metschnikowia sp. to determine how life history   and morphological inducible defences against these two contrasting types   of predators are affected by infection.   Results: The parasite suppressed some Triops-induced defences: Daphnia   lost the ability to produce a greater number of larger offspring, a   life-history adaptation to Triops predation. In contrast, the parasite   did not suppress inducible defences against fish: induction (resulting   in smaller body length of the mothers as well as of their offspring) and   infection acted additively on the measured traits. Thus, fish-induced   defences may be less costly than inducible defences against small   invertebrate predators like Triops; the latter defences could no longer   be expressed when the host had already invested in fighting off the   parasite.   Conclusions: In summary, our study suggests that as specific inducible   defences differ in their costs, some might be suppressed if a target   prey is additionally infected. Therefore, adding parasite pressure to   predator-prey systems can help to elucidate the costs of inducible   defences.",1151,N,ER,,,
Christopher M. Rogers,2011,Use of Fecundity Measured Directly Throughout the Breeding Season to   Test a Source-Sink Demographic Model,CONSERVATION BIOLOGY,1212-1219,1212-1219,10.1111/j.1523-1739.2011.01744.x,"Populations of landbirds (bird species that occupy terrestrial habitats   for most of their life cycle) are declining throughout North America   (north of Mexico) and Europe, yet little is known about how demography   is driving this trend. A recent model of 5 geographically separated   populations of Cerulean Warblers (Dendroica cerulea) that was based on   within-season sampling of nest survival and fledgling success shows that   all populations are sinks (annual reproduction is consistently less than   annual adult mortality). I tested this indirect model by directly   measuring fecundity (number of female fledglings/female) during the   breeding season for 2 years in a Cerulean Warbler population occupying a   mature forest in southwestern Michigan (U.S.A.) I determined territories   of male birds on the basis of male plumage characters and phases of the   nesting cycle (2007) and on uniquely color-banded males (2008). I   transferred locations of identified males to topographic maps. I counted   all fledglings in territories from May to July each year. The model I   tested may apply only to single-brooded species; therefore, I searched   the literature to estimate the percentage of single-brooded species in   North America. The breeding season of Cerulean Warblers was short nearly   all nests were initiated from mid-May to late June. Nest predation and   brood parasitism were primary and rare causes of nest failure,   respectively. Significantly fewer Cerulean Warblers fledged from   parasitized than from nonparasitized nests. Fledgling survival required   to maintain the population size was well above previously published   values for Neotropical migrants. Single-brooded species comprise 62\% of   North American breeding bird species for which the number of broods per   year is known; I believe my results may apply to these species. The   consistency between identification of populations as sources or sinks on   the basis of either model estimates or direct measurements suggests that   a demographic model relying on within-season sampling of fecundity is   adequate to determine population status of single-brooded avian   populations. In addition, on the basis of results of previous studies,   annual adult survival rate of the Cerulean Warbler is typical of parulid   warblers that are not declining. Thus, low fecundity, here determined   with different quantitative methods, can drive status of landbird   species with high-observed survival.",1152,N,ER,,,
Mauricio Lima,2014,Climate change and the population collapse during the ``Great Famine''   in pre-industrial Europe,ECOLOGY AND EVOLUTION,284-291,284-291,10.1002/ece3.936,"Population dynamics, economy, and human demography started with Malthus,   the idea that population growth is limited by resources and positive   checks occur when population growth overshoots the available resources.   In fact, historical evidence indicates that long-term climate changes   have destabilized civilizations and caused population collapses via food   shortages, diseases, and wars. One of the worst population collapses of   human societies occurred during the early fourteenth century in northern   Europe; the Great Famine was the consequence of the dramatic effects of   climate deterioration on human population growth. Thus, part of my   motivation was to demonstrate that simple theoretical-based models can   be helpful in understanding the causes of population change in   preindustrial societies. Here, the results suggest that a logistic model   with temperature as a lateral perturbation effect is the key element for   explaining the population collapse exhibited by the European population   during the Great Famine.",1153,N,ER,,,
"Robert W. Heckman, Justin P. Wright, Charles E. Mitchell",2016,Joint effects of nutrient addition and enemy exclusion on exotic plant   success,ECOLOGY,3337-3345,3337-3345,10.1002/ecy.1585,"Worldwide, ecosystems are increasingly dominated by exotic plant   species, a shift hypothesized to result from numerous ecological   factors. Two of these, increased resource availability and enemy   release, may act in concert to increase exotic success in plant   communities (Resource-Enemy Release Hypothesis, R-ERH). To test this, we   manipulated the availability of soil nutrients and access of vertebrate   herbivores, insect herbivores, and fungal pathogens to intact grassland   communities containing both native and exotic species. Our results   supported both conditions necessary for R-ERH. First, exotics were less   damaged than natives, experiencing less foliar damage (insect herbivory   and fungal disease) than native species, particularly in communities   where soil nutrients were added. Second, fertilization increased foliar   damage on native species, but not exotic species. As well as fulfilling   both conditions for R-ERH, these results demonstrate the importance of   considering the effects of resource availability when testing for enemy   release. When both conditions are fulfilled, R-ERH predicts that   increasing resource availability will increase exotic abundance only in   the presence of enemies. Our results fully supported this prediction for   vertebrate herbivores: fertilization increased exotic cover only in   communities exposed to vertebrate herbivores. Additionally, the   prediction was partially supported for insect herbivores and fungal   pathogens, excluding these enemies reduced exotic cover as predicted,   but inconsistent with R-ERH, this effect occurred only in unfertilized   communities. These results highlight the need to consider the influence   of multiple enemy guilds on community processes like exotic plant   invasions. Moreover, this study experimentally demonstrates that   resource availability and natural enemies can jointly influence exotic   success in plant communities.",1154,N,ER,,,
"Sarah McCarthy-Neumann, Richard K. Kobe",2010,Conspecific plant-soil feedbacks reduce survivorship and growth of   tropical tree seedlings,JOURNAL OF ECOLOGY,396-407,396-407,10.1111/j.1365-2745.2009.01619.x,"1. The Janzen-Connell (J-C) Model proposes that host-specific enemies   maintain high tree species diversity by reducing seedling performance   near conspecific adults and promoting replacement by heterospecific   seedlings. Support for this model often comes from decreased performance   for a species at near versus far distances from conspecific adults.   However, the relative success of conspecific versus heterospecific   seedlings recruiting under a given tree species is a critical, but   untested, component of the J-C Model.   2. In a shade-house experiment, we tested plant-soil feedbacks as a J-C   mechanism in six tropical tree species. We assessed effects of   conspecific versus heterospecific cultured soil extracts on seedling   performance for each species, and we compared performance of conspecific   versus heterospecific seedlings grown with soil extract cultured by a   particular tree species. Additionally, we tested whether soil microbes   were creating these plant-soil feedbacks and whether low light increased   species vulnerability to pathogens.   3. Among 30 potential comparisons of survival and mass for seedlings   grown in conspecific versus heterospecific soil extracts, survival   decreased in seven and increased in two, whereas mass decreased in 13   and increased in 1. To integrate survival and growth, we also examined   seedling performance [(mean total mass x mean survival time)/(days of   experiment)], which was lower in 16 and higher in 2 of 30 comparisons   between seedlings grown with soil extract cultured by conspecific versus   heterospecific individuals. Based on performance within a soil extract,   conspecific seedlings were disadvantaged in 15 and favoured in 7 of 30   cases relative to heterospecific seedlings.   4. Species pairwise interactions of soil modification and seedling   performance occurred regardless of sterilization, suggesting chemical   mediation. Microbes lacked host-specificity and reduced performance   regardless of extract source and irradiance.   5. Synthesis. These results, along with parallel research in temperate   forests, suggest that plant-soil feedbacks are an important component of   seedling dynamics in both ecosystems. However, negative conspecific   feedbacks were more prevalent in tropical than temperate species. Thus,   negative plant-soil feedbacks appear to facilitate species coexistence   via negative distance-dependent processes in tropical but not temperate   forests, but the feedbacks were mediated through chemical effects rather   than through natural enemies as expected under the J-C Model.",1155,N,ER,,,
"Daiva Burokiene, Simone Prospero, Esther Jung, Diana Marciulyniene, Karin Moosbrugger, Goda Norkute, Daniel Rigling, Vaidotas Lygis, Corine N. Schoebel",2015,Genetic population structure of the invasive ash dieback pathogen   Hymenoscyphus fraxineus in its expanding range,BIOLOGICAL INVASIONS,2743-2756,2743-2756,10.1007/s10530-015-0911-6,"Introduced plant pathogens are increasingly recognized as a major threat   to biodiversity and ecosystem functioning. One such pathogen, the causal   agent of the devastating ash dieback in Europe, Hymenoscyphus fraxineus,   was most likely introduced into Europe from eastern Asia in the 1990s.   To investigate the genetic population structure of this invasive fungus   at the epidemic disease front (Switzerland) and in the post-epidemic   phase (Lithuania), a total of 847 H. fraxineus isolates were genotyped   at 11 microsatellite loci. Among these isolates, 244 multilocus   genotypes were found in five post-epidemic subpopulations (367 isolates)   of the fungus and 263 in five epidemic subpopulations (480 isolates). No   genetic differentiation was found between isolates recovered from bark   lesions and fallen leaf petioles, which suggests that all H. fraxineus   genotypes have the potential to induce bark infections on living trees   and to survive saprophytically. Moreover, no genetic differentiation and   no difference in genetic diversity were detected between the epidemic   and post-epidemic populations. The entire genetic diversity present in   the original founding populations in north-eastern Europe seems to have   been transmitted to the epidemic disease front. Nonetheless, gene flow   among post-epidemic subpopulations occurs slightly more random than   among epidemic subpopulations. Furthermore, the probability of correct   assignment of a particular H. fraxineus genotype to its subpopulation of   origin was greater in Switzerland than in Lithuania. These two analyses   point to weak founder effects at the disease front.",1156,N,ER,,,
"Arun K. Bose, Aaron Weiskittel, Robert G. Wagner",2017,A three decade assessment of climate-associated changes in forest   composition across the north-eastern USA,JOURNAL OF APPLIED ECOLOGY,1592-1604,1592-1604,10.1111/1365-2664.12917,"1. Climate-associated changes in forest composition have been widely   reported, particularly where changes in abiotic conditions have resulted   in high mortality of sensitive species and have disproportionately   favoured certain species better adapted to these newer conditions. In   the north-eastern USA and south-eastern Canada, few studies have   examined climate-related influences associated with forest composition,   and none have considered broad-scale changes over a long temporal (>25   years) period.   2. We used US Forest Service Forest Inventory and Analysis data from   1983 to 2014 across four north-eastern states (Maine, New Hampshire, New   York and Vermont) to assess temporal and spatial changes in the   occurrence and abundance of American beech Fagus grandifolia Ehrh, sugar   maple Acer saccharum L., red maple Acer rubrum L. and birch Betula spp.   saplings. We also tested the effects of biotic and abiotic factors on   the distribution of the four studied deciduous species over the entire   period examined.   3. Occurrence and abundance of American beech have increased   substantially over the past three decades, whereas the occurrence and   abundance of three other deciduous species have decreased in all   ecological provinces of the north-eastern USA, except the Midwest   Broadleaf ecological province. Consequently, a clear shift in species   composition is currently underway in the beech-maple-birch (BMB) forests   of the north-eastern USA, with uncertain consequences for future   ecosystem structure and function.   4. In the studied region and over the entire period examined, the   distribution of increased occurrence and abundance of beech relative to   the three other deciduous species were associated with higher   temperature and precipitation as well as higher conspecific basal area   and dead tree basal area.   5. Synthesis and applications. The change from beech-maple-birch forests   to more beech-dominated forests with beech encroachment to new forest   areas across the north-eastern USA may continue if higher intensity   harvesting and disturbances (i.e. large-scale canopy openings) do not   occur. This would be a significant management concern as beech is   associated with a widespread bark disease, is commercially less   desirable, and can limit natural regeneration from other species. Our   results emphasize the need for management strategies such as higher   intensity harvesting methods, vegetation control and limiting browsing   pressure to reduce beech dominance.",1157,N,ER,,,
"Libing Liao, Jiin-Shuh Jean, Sukalyan Chakraborty, Ming-Kuo Lee, Sandeep Kar, Huai-Jen Yang, Zhaohui Li",2016,"Hydrogeochemistry of Groundwater and Arsenic Adsorption Characteristics   of Subsurface Sediments in an Alluvial Plain, SW Taiwan",SUSTAINABILITY,NA,NA,10.3390/su8121305,"Many studies were conducted to investigate arsenic mobilization in   different alluvial plains worldwide. However, due to the unique endemic   disease associated with arsenic (As) contamination in Taiwan, a recent   research was re-initiated to understand the transport behavior of   arsenic in a localized alluvial plain. A comprehensive approach towards   arsenic mobility, binding, and chemical speciation was applied to   correlate groundwater hydrogeochemistry with parameters of the sediments   that affected the As fate and transport. The groundwater belongs to a   Na-Ca-HCO3 type with moderate reducing to oxidizing conditions (redox   potential = 192 to 8 mV). Groundwater As concentration in the region   ranged from 8.89 to 1131 mu g/L with a mean of 343 +/- 297 mu g/L, while   the As content in the core sediments varied from 0.80 to 22.8 mg/kg with   a mean of 9.9 +/- 6.2 mg/kg. A significant correlation was found between   As and Fe, Mn, or organic matter, as well as other elements such as Ni,   Cu, Zn, and Co in the core sediments. Sequential extraction analysis   indicated that the organic matter and Fe/Mn oxyhydroxides were the major   binding pools of As. Batch adsorption experiments showed that the   sediments had slightly higher affinity for As(III) than for As(V) under   near neutral pH conditions and the As adsorption capacity increased as   the contents of Fe oxyhydroxides as well as the organic matter   increased.",1158,N,ER,,,
