STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include_do_not_use,screened_by,include_article_review,exclude_reason,note,exclude_reason_old
15,Tao,NO,"Jennifer H. Levy-Varon, William S. F. Schuster, Kevin L. Griffin",2014,Rapid rebound of soil respiration following partial stand disturbance by   tree girdling in a temperate deciduous forest,OECOLOGIA,1415-1424,1415-1424,10.1007/s00442-013-2844-z,"Forests serve an essential role in climate change mitigation by removing   CO2 from the atmosphere. Within a forest, disturbance events can greatly   impact C cycling and subsequently influence the exchange of CO2 between   forests and the atmosphere. This connection makes understanding the   forest C cycle response to disturbance imperative for climate change   research. The goal of this study was to examine the temporal response of   soil respiration after differing levels of stand disturbance for 3 years   at the Black Rock Forest (southeastern NY, USA; oaks comprise 67 \% of   the stand). Tree girdling was used to mimic pathogen attack and create   the following treatments: control, girdling all non-oaks (NOG), girdling   half of the oak trees (O50), and girdling all the oaks (OG). Soil   respiratory rates on OG plots declined for 2 years following girdling   before attaining a full rebound of belowground activity in the third   year. Soil respiration on NOG and O50 were statistically similar to the   control for the duration of the study although a trend for a stronger   decline in respiration on O50 relative to NOG occurred in the first 2   years. Respiratory responses among the various treatments were not   proportional to the degree of disturbance and varied over time. The   short-lived respiratory response on O50 and OG suggests that belowground   activity is resilient to disturbance; however, sources of the recovered   respiratory flux on these plots are likely different than they were   pre-treatment. The differential taxon response between oaks and non-oaks   suggests that after a defoliation or girdling event, the temporal   response of the soil respiratory flux may be related to the C allocation   pattern of the affected plant group.",287,NA,TH,,,,
16,Tao,NO,"Ulrike Pfreundt, Dina Spungin, Sophie Bonnet, Ilana Berman-Frank, Wolfgang R. Hess",2016,Global analysis of gene expression dynamics within the marine microbial   community during the VAHINE mesocosm experiment in the southwest Pacific,BIOGEOSCIENCES,4135-4149,4135-4149,10.5194/bg-13-4135-2016,"Microbial gene expression was followed for 23 days within a mesocosm   (M1) isolating 50m(3) of seawater and in the surrounding waters in the   Noumea lagoon, New Caledonia, in the southwest Pacific as part of the   VAriability of vertical and tropHIc transfer of diazotroph derived N in   the south wEst Pacific (VAHINE) experiment. The aim of VAHINE was to   examine the fate of diazotroph-derived nitrogen (DDN) in a low-nutrient,   low-chlorophyll ecosystem. On day 4 of the experiment, the mesocosm was   fertilized with phosphate. In the lagoon, gene expression was dominated   by the cyanobacterium Synechococcus, closely followed by   Alphaproteobacteria. In contrast, drastic changes in the microbial   community composition and transcriptional activity were triggered within   the mesocosm within the first 4 days, with transcription bursts from   different heterotrophic bacteria in rapid succession. The microbial   composition and activity of the surrounding lagoon ecosystem appeared   more stable, although following similar temporal trends as in M1. We   detected significant gene expression from Chromerida in M1, as well as   the Noumea lagoon, suggesting these photoautotrophic alveolates were   present in substantial numbers in the open water. Other groups   contributing substantially to the metatranscriptome were affiliated with   marine Euryarchaeota Candidatus Thalassoarchaea (inside and outside) and   Myoviridae bacteriophages likely infecting Synechococcus, specifically   inside M1. High transcript abundances for ammonium transporters and   glutamine synthetase in many different taxa (e.g., Pelagibacteraceae,   Synechococcus, Prochlorococcus, and Rhodobacteraceae) was consistent   with the known preference of most bacteria for this nitrogen source. In   contrast, Alteromonadaceae highly expressed urease genes;   Rhodobacteraceae and Prochlorococcus showed some urease expression, too.   Nitrate reductase transcripts were detected on day 10 very prominently   in Synechococcus and in Halomonadaceae. Alkaline phosphatase was   expressed prominently only between days 12 and 23 in different   organisms, suggesting that the microbial community was not limited by   phosphate, even before the fertilization on day 4, whereas the   post-fertilization community was.   We observed high expression of the Synechococcus sqdB gene, only   transiently lowered following phosphate fertilization. SqdB encodes   UDP-sulfoquinovose synthase, possibly enabling marine picocyanobacteria   to minimize their phosphorus requirements by substitution of   phospholipids with sulphur-containing glycerolipids. This result   suggests a link between sqdB expression and phosphate availability in   situ.   Gene expression of diazotrophic cyanobacteria was mainly attributed to   Trichodesmium and Richelia intracellularis (diatom-diazotroph   association) in the Noumea lagoon and initially in M1. UCYN-A   (Candidatus Atelocyanobacterium) transcripts were the third most   abundant and declined both inside and outside after day 4, consistent   with 16S- and nifH-based analyses. Transcripts related to the Epithemia   turgida endosymbiont and Cyanothece ATCC 51142 increased during the   second half of the experiment.",288,NA,TH,,,,
17,Tao,NO,"Taku Kadoya, Hiroshi S. Ishii, Reina Kikuchi, Shin-ichi Suda, Izumi Washitani",2009,Using monitoring data gathered by volunteers to predict the potential   distribution of the invasive alien bumblebee Bombus terrestris,BIOLOGICAL CONSERVATION,1011-1017,1011-1017,10.1016/j.biocon.2009.01.012,"We explored the use of ecological niche-modeling from data compiled in a   participatory program of thousands of volunteer observers to   quantitatively evaluate the spatial risk of invasion by the alien   species Bombus terrestris. B. terrestris has been commercially   introduced to japan for the pollination of greenhouse tomato crops since   1991. Recently, naturalized populations of this species have spread   rapidly, particularly in Hokkaido, northern Japan. Two niche-based   models were constructed from independent data sets (presence-absence and   presence-only data sets) and were used to validate one another. Both   models performed well and indicated that the data compiled by   participatory programs were useful for generating predictive models of   the potential distribution of this invasive species. The models also   revealed that the potential distribution of B. terrestris is negatively   related to the proportion of woodland area, which corresponds to the   known biology of this species. In contrast, the effect of the number of   colonies introduced for tomato pollination (represented by tomato   production) did not significantly affect the distribution of B.   terrestris, indicating that its spread is now entering a phase of   dispersal from established feral populations and that primary dispersal   from commercial colonies in greenhouses is no longer a limiting factor   for the distribution of this invasive species. (C) 2009 Elsevier Ltd.   All rights reserved.",289,NA,TH,,,,
18,Tao,NO,"Ben Adams, Alice Carolyn McHardy",2011,The impact of seasonal and year-round transmission regimes on the   evolution of influenza A virus,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2249-2256,2249-2256,10.1098/rspb.2010.2191,"Punctuated antigenic change is believed to be a key element in the   evolution of influenza A; clusters of antigenically similar strains   predominate worldwide for several years until an antigenically distant   mutant emerges and instigates a selective sweep. It is thought that a   region of East-Southeast Asia with year-round transmission acts as a   source of antigenic diversity for influenza A and seasonal epidemics in   temperate regions make little contribution to antigenic evolution. We   use a mathematical model to examine how different transmission regimes   affect the evolutionary dynamics of influenza over the lifespan of an   antigenic cluster. Our model indicates that, in non-seasonal regions,   mutants that cause significant outbreaks appear before the peak of the   wild-type epidemic. A relatively large proportion of these mutants   spread globally. In seasonal regions, mutants that cause significant   local outbreaks appear each year before the seasonal peak of the   wild-type epidemic, but only a small proportion spread globally. The   potential for global spread is strongly influenced by the intensity of   non-seasonal circulation and coupling between non-seasonal and seasonal   regions. Results are similar if mutations are neutral, or confer a weak   to moderate antigenic advantage. However, there is a threshold antigenic   advantage, depending on the non-seasonal transmission intensity, beyond   which mutants can escape herd immunity in the non-seasonal region and   there is a global explosion in diversity. We conclude that non-seasonal   transmission regions are fundamental to the generation and maintenance   of influenza diversity owing to their epidemiology. More extensive   sampling of viral diversity in such regions could facilitate earlier   identification of antigenically novel strains and extend the critical   window for vaccine development.",290,NA,TH,,,,
19,Tao,NO,"Subrata Mowlick, Keisuke Hirota, Toshiaki Takehara, Nobuo Kaku, Katsuji Ueki, Atsuko Ueki",2012,Development of anaerobic bacterial community consisted of diverse   clostridial species during biological soil disinfestation amended with   plant biomass,SOIL SCIENCE AND PLANT NUTRITION,273-287,273-287,10.1080/00380768.2012.682045,"Biological soil disinfestation (BSD) using plant biomass incorporation   is an effective method and a good alternative to chemical fumigants for   controlling soil-borne plant pathogens. In this study the bacterial   communities in pot soil treated with three different BSD conditions   (without plant biomass and with Brassica juncea L. plants or bran of   wheat, Triticum aestivum L.) were analyzed using mainly molecular   techniques. Earlier dropping of redox potential of both biomass-treated   soils indicated rapid development of anaerobic conditions in the soil.   The population of Fusarium oxysporum F. pathogen incorporated in the   soil at the start was decreased considerably during the treatment, and   the number of culturable anaerobic bacteria increased in both   biomass-treated soils. Rather high concentrations of acetate and   butyrate were detected from the biomass-treated soils. The polymerase   chain reaction-denaturing gradient gel electrophoresis (PCR-DGGE)   analysis for the V3 region of 16S rRNA gene sequences revealed that the   profiles of both biomass-treated soils were initially represented by   similar and dominant groups, many of which were closely related to the   species in the classes Clostridia and Bacilli of the phylum Firmicutes.   Based on the clone library analysis, the control soil samples showed   diverse bacterial groups with a few number of anaerobic clones. In   contrast, for both biomass-treated libraries, clones belonging to the   class Clostridia, a strictly anaerobic spore-forming bacterial group,   appeared exceedingly dominant. The clostridial group detected was   composed of phylogenetically diverse members, and it seemed likely that   the diverse clostridial species were responsible for suppression of   pathogens by making various compounds including volatile fatty acids and   other compounds during anaerobic decomposition of plant biomass.",291,NA,TH,,,,
21,Tao,NO,"Sonia M. Hernandez, Valerie E. Peters, P. Logan Weygandt, Carlos Jimenez, Pedro Villegas, Barry O'Connor, Michael J. Yabsley, Maricarmen Garcia, Sylva M. Riblet, C. Ron Carroll",2013,Do Shade-Grown Coffee Plantations Pose a Disease Risk for Wild Birds?,ECOHEALTH,145-158,145-158,10.1007/s10393-013-0837-3,"Shade-grown coffee plantations are often promoted as a conservation   strategy for wild birds. However, these agro-ecosystems are actively   managed for food production, which may alter bird behaviors or   interactions that could change bird health, compared to natural forest.   To examine whether there is a difference between the health parameters   of wild birds inhabiting shade-grown coffee plantations and natural   forest, we evaluated birds in Costa Rica for (1) their general body   condition, (2) antibodies to pathogens, (paramyxovirus and Mycoplasma   spp.), and (3) the prevalence and diversity of endo-, ecto-, and   hemoparasites. We measured exposure to Mycoplasma spp. and paramyxovirus   because these are pathogens that could have been introduced with   domestic poultry, one mechanism by which these landscapes could be   detrimental to wild birds. We captured 1,561 birds representing 75   species. Although seasonal factors influenced body condition, we did not   find bird general body condition to be different. A total of 556 birds   of 31 species were tested for antibodies against paramyxovirus-1. Of   these, five birds tested positive, four of which were from shade coffee.   Out of 461 other tests for pathogens (for antibodies and nucleotide   detection), none were positive. Pterolichus obtusus, the feather mite of   chickens, was found on 15 birds representing two species and all were   from shade-coffee plantations. Larvated eggs of Syngamus trachea, a   nematode typically associated with chickens, were found in four birds   captured in shade coffee and one captured in forest. For hemoparasites,   a total of 1,121 blood smears from 68 bird species were examined, and   only one species showed a higher prevalence of infection in shade   coffee. Our results indicate that shade-coffee plantations do not pose a   significant health risk to forest birds, but at least two groups of   pathogens may deserve further attention: Haemoproteus spp. and the   diversity and identity of endoparasites.",293,NA,TH,,,,
22,Tao,NO,"L. C. Grubisha, P. J. Cotty",2010,Genetic isolation among sympatric vegetative compatibility groups of the   aflatoxin-producing fungus Aspergillus flavus,MOLECULAR ECOLOGY,269-280,269-280,10.1111/j.1365-294X.2009.04467.x,"Aspergillus flavus, a fungal pathogen of animals and both wild and   economically important plants, is most recognized for producing   aflatoxin, a cancer-causing secondary metabolite that contaminates food   and animal feed globally. Aspergillus flavus has two self/nonself   recognition systems, a sexual compatibility system and a vegetative   incompatibility system, and both play a role in directing gene flow in   populations. Aspergillus flavus reproduces clonally in wild and   agricultural settings, but whether a cryptic sexual stage exists in   nature is currently unknown. We investigated the distribution of genetic   variation in 243 samples collected over 4 years from three common   vegetative compatibility groups (VCGs) in Arizona and Texas from cotton   using 24 microsatellite loci and the mating type locus (MAT) to assess   population structure and potential gene flow among A. flavus VCGs in   sympatric populations. All isolates within a VCG had the same mating   type with OD02 having MAT1-2 and both CG136 and MR17 having MAT1-1. Our   results support the hypothesis that these three A. flavus VCGs are   genetically isolated. We found high levels of genetic differentiation   and no evidence of gene flow between VCGs, including VCGs of opposite   mating-type. Our results suggest that these VCGs diverged before   domestication of agricultural hosts (> 10 000 yr bp).",294,NA,TH,,,,
23,Tao,NO,"Elise R. Morton, Thomas G. Platt, Clay Fuqua, James D. Bever",2014,Non-additive costs and interactions alter the competitive dynamics of   co-occurring ecologically distinct plasmids,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NA,NA,10.1098/rspb.2013.2173,"Plasmids play an important role in shaping bacterial evolution and   adaptation to heterogeneous environments. As modular genetic elements   that are often conjugative, the selective pressures that act on   plasmid-borne genes are distinct from those that act on the chromosome.   Many bacteria are co-infected by multiple plasmids that impart   niche-specific phenotypes. Thus, in addition to host-plasmid dynamics,   interactions between co-infecting plasmids are likely to be important   drivers of plasmid population dynamics, evolution and ecology.   Agrobacterium tumefaciens is a facultative plant pathogen that commonly   harbours two distinct megaplasmids. Virulence depends on the presence of   the tumour-inducing (Ti) plasmid, with benefits that are primarily   restricted to the disease environment. Here, we demonstrate that a   second megaplasmid, the At plasmid, confers a competitive advantage in   the rhizosphere. To assess the individual and interactive costs of these   plasmids, we generated four isogenic derivatives: plasmidless, pAt only,   pTi only and pAtpTi, and performed pairwise competitions under   carbon-limiting conditions. These studies reveal a low cost to the   virulence plasmid when outside of the disease environment, and a   strikingly high cost to the At plasmid. In addition, the costs of pAt   and pTi in the same host were significantly lower than predicted based   on single plasmid costs, signifying the first demonstration of   non-additivity between naturally occurring co-resident plasmids. Based   on these empirically demonstrated costs and benefits, we developed a   resource-consumer model to generate predictions about the frequencies of   these genotypes in relevant environments, showing that non-additivity   between co-residing plasmids allows for their stable coexistence across   environments.",295,NA,TH,,,,
24,Tao,NO,"Ellen Latz, Nico Eisenhauer, Bjoern C. Rall, Eric Allan, Christiane Roscher, Stefan Scheu, Alexandre Jousset",2012,Plant diversity improves protection against soil-borne pathogens by   fostering antagonistic bacterial communities,JOURNAL OF ECOLOGY,597-604,597-604,10.1111/j.1365-2745.2011.01940.x,"1. Rhizosphere bacteria antagonistic to fungal pathogens improve plant   performance by preventing infection. In temperate grasslands, primary   productivity often increases with plant diversity, and we hypothesized   that this effect may in part rely on the interactions between plants and   antagonistic bacteria.   2. We investigated the impact of plant diversity and functional group   composition on soil bacteria producing the antifungal compounds   2,4-diacetylphloroglucinol (DAPG) and pyrrolnitrin (PRN) in a long-term   grassland biodiversity experiment, as well as their impact on soil   suppressiveness. Soil suppressiveness was investigated in a model   infection assay with Beta vulgaris and the pathogen Rhizoctonia solani.   3. The abundance of DAPG and PRN producers increased with plant   diversity and that of PRN also increased in the presence of grasses.   Moreover, legume species richness and coverage decreased the abundance   of DAPG and PRN producers, respectively, contrary to beneficial effects   of legumes on soil microorganisms reported previously. In turn, soil   suppressiveness was at maximum when DAPG and PRN producer abundance was   high.   4. Synthesis. Our results suggest that plant diversity contributes to   plant community resistance against pathogens by fostering beneficial   bacterial communities. This indirect soil feedback mechanism may   contribute to the positive relationship between plant diversity and   productivity and could also help the development of more sustainable and   environmentally friendly agricultural management strategies.",296,NA,TH,,,,
25,Tao,NO,"Patrice Guillotreau, Edward H. Allison, Alida Bundy, Sarah R. Cooley, Omar Defeo, Veronique Le Bihan, Sophie Pardo, R. Ian Perry, George Santopietro, Tetsuo Seki",2017,A comparative appraisal of the resilience of marine social-ecological   systems to mass mortalities of bivalves,ECOLOGY AND SOCIETY,NA,NA,10.5751/ES-09084-220146,"In many parts of the world, both wild and cultured populations of   bivalves have been struck by mass mortality episodes because of climatic   and anthropogenic stressors whose causes and consequences are not always   clearly understood. Such outbreaks have resulted in a range of responses   from the social (fishers or farmers) and governing systems. We analyzed   six commercial bivalve industries affected by mass mortalities using   I-ADApT, a decision support framework to assess the impacts and   consequences of these perturbations on the natural, social, and   governing systems, and the consequent responses of stakeholders to these   events. We propose a multidimensional resilience framework to assess   resilience along the natural, social, and governing axes and to compare   adaptive responses and their likelihood of success. The social capital   and governability of the local communities were key factors affecting   the communities' resilience and adaptation to environmental changes, but   the rapid degradation of natural ecosystems puts the bivalve industry   under a growing threat. Bivalve mariculture and fishing industries are   likely to experience increased frequency, severity, and prevalence of   such mass mortality events if the resilience of the natural systems is   not improved. An understanding of previous adaptation processes can   inform strategies for building adaptive capacity to future events.",297,NA,TH,,,,
26,Tao,NO,"Jerod A. Merkle, Paul C. Cross, Brandon M. Scurlock, Eric K. Cole, Alyson B. Courtemanch, Sarah R. Dewey, Matthew J. Kauffman",2018,Linking spring phenology with mechanistic models of host movement to   predict disease transmission risk,JOURNAL OF APPLIED ECOLOGY,810-819,810-819,10.1111/1365-2664.13022,"1. Disease models typically focus on temporal dynamics of infection,   while often neglecting environmental processes that determine host   movement. In many systems, however, temporal disease dynamics may be   slow compared to the scale at which environmental conditions alter host   space-use and accelerate disease transmission.   2. Using a mechanistic movement modelling approach, we made space-use   predictions of a mobile host (elk [Cervus Canadensis] carrying the   bacterial disease brucellosis) under environmental conditions that   change daily and annually (e.g., plant phenology, snow depth), and we   used these predictions to infer how spring phenology influences the risk   of brucellosis transmission from elk (through aborted foetuses) to   livestock in the Greater Yellowstone Ecosystem.   3. Using data from 288 female elk monitored with GPS collars, we fit   step selection functions (SSFs) during the spring abortion season and   then implemented a master equation approach to translate SSFs into   predictions of daily elk distribution for five plausible winter weather   scenarios (from a heavy snow, to an extreme winter drought year). We   predicted abortion events by combining elk distributions with empirical   estimates of daily abortion rates, spatially varying elk seroprevelance   and elk population counts.   4. Our results reveal strong spatial variation in disease transmission   risk at daily and annual scales that is strongly governed by variation   in host movement in response to spring phenology. For example, in   comparison with an average snow year, years with early snowmelt are   predicted to have 64\% of the abortions occurring on feedgrounds shift   to occurring on mainly public lands, and to a lesser extent on private   lands.   5. Synthesis and applications. Linking mechanistic models of host   movement with disease dynamics leads to a novel bridge between movement   and disease ecology. Our analysis framework offers new avenues for   predicting disease spread, while providing managers tools to proactively   mitigate risks posed by mobile disease hosts. More broadly, we   demonstrate how mechanistic movement models can provide predictions of   ecological conditions that are consistent with climate change but may be   more extreme than has been observed historically.",298,NA,TH,,,,
27,Tao,NO,"Bruce Barrett, Maggie Grabow, Cathy Middlecamp, Margaret Mooney, Mary M. Checovich, Alexander K. Converse, Bob Gillespie, Julia Yates",2016,Mindful Climate Action: Health and Environmental Co-Benefits from   Mindfulness-Based Behavioral Training,SUSTAINABILITY,NA,NA,10.3390/su8101040,"Greenhouse gases from human activities are causing climate change,   creating risks for people around the globe. Behaviors involving   transportation, diet, energy use, and purchasing drive greenhouse gas   emissions, but are also related to health and well-being, providing   opportunity for co-benefits. Replacing shorter automobile trips with   walking or cycling, or eating plants rather than animals, for example,   may increase personal health, while also reducing environmental impact.   Mindfulness-based practices have been shown to enhance a variety of   health outcomes, but have not been adapted towards environmental   purposes. We designed the Mindful Climate Action (MCA) curriculum to   help people improve their health while simultaneously lowering their   carbon footprints. Combining mindfulness-based practices with the Stages   of Change theory, the MCA program aims to: (1) improve personal health   and well-being; (2) decrease energy use; (3) reduce automobile use; (4)   increase active transport; (5) shift diet towards plant-based foods; and   (6) reduce unnecessary purchasing. Mindfulness practices will foster   attentional awareness, openness, and response flexibility, supporting   positive behavior change. We plan to test MCA in a randomized controlled   trial, with rigorous assessment of targeted outcomes. Our long-term goal   is to refine and adapt the MCA program to a variety of audiences, in   order to enhance public health and environmental sustainability.",299,NA,TH,,,,
28,Tao,NO,"Pierre-Francois Pelisson, Marie-Claude Bel-Venner, Benjamin Rey, Lorraine Burgevin, Francois Martineau, Francois Fourel, Christophe Lecuyer, Frederic Menu, Samuel Venner",2012,Contrasted breeding strategies in four sympatric sibling insect species:   when a proovigenic and capital breeder copes with a stochastic   environment,FUNCTIONAL ECOLOGY,198-206,198-206,10.1111/j.1365-2435.2011.01925.x,"1. The evolution of strategies of resource acquisition and allocation is   often considered to be closely dependent on the degree of environmental   variability. Within this framework, female insects that experience   stochastic fluctuations in the availability of their egg-laying sites in   time or space can be expected to be fully synovigenic (i.e. they start   maturing eggs after a delay once reaching adulthood), which allows them   to tailor their reproductive investment to variations in the resource.   Proovigenic females (that have most of their eggs already mature at the   onset of their adult life, which corresponds to a capital breeding   strategy), on the contrary, should have an advantage when the   availability of the egg-laying sites is predictable. There is, however,   a dearth of empirical studies testing these predictions.   2. Here, we tested the hypothesis that four phytophagous insect species   of the genus Curculio, which coexist on a strongly fluctuating resource   that they exploit for egg-laying purposes, would all be synovigenic as   strict proovigeny should be counterselected. The resource consisted of   the acorns of oak trees Quercus spp. We conducted field surveys to   determine the date of adult emergence in each weevil species and the   ability of newly emerged females to produce eggs. We also analysed the   stable isotope profile of wild-caught females as a proxy for their   feeding activity. Finally, we tested females under laboratory conditions   for their ability to produce mature eggs when not fed and investigated   whether dietary intake influenced their longevity.   3. Taken together, our results show that, contrary to the usual   predictions, the four weevil species that were all exposed to a markedly   fluctuating environment exhibited sharply contrasting strategies of   resource acquisition and allocation: three species were synovigenic,   while the fourth was proovigenic. Unexpectedly, therefore, our findings   show that a strict capital breeding species might not always be   counterselected in a temporally stochastic environment. They further   suggest that fluctuations in the environment should not promote a sole,   optimal strategy of energy acquisition and allocation to reproduction   but instead should favour their diversification.",300,NA,TH,,,,
29,Tao,NO,"Marcio Luis Busi Da Silva, Mauricio Egidio Cantao, Melissa Paola Mezzari, Jie Ma, Carlos Wolfgang Nossa",2015,Assessment of Bacterial and Archaeal Community Structure in Swine   Wastewater Treatment Processes,MICROBIAL ECOLOGY,77-87,77-87,10.1007/s00248-014-0537-8,"Microbial communities from two field-scale swine wastewater treatment   plants (WWTPs) were assessed by pyrosequencing analyses of bacterial and   archaeal 16S ribosomal DNA (rDNA) fragments. Effluent samples from   secondary (anaerobic covered lagoons and upflow anaerobic sludge blanket   [UASB]) and tertiary treatment systems (open-pond natural attenuation   lagoon and air-sparged nitrification-denitrification tank followed by   alkaline phosphorus precipitation process) were analyzed. A total of   56,807 and 48,859 high-quality reads were obtained from bacterial and   archaeal libraries, respectively. Dominant bacterial communities were   associated with the phylum Firmicutes, Bacteroidetes, Proteobacteria, or   Actinobacteria. Bacteria and archaea diversity were highest in UASB   effluent sample. Escherichia, Lactobacillus, Bacteroides, and/or   Prevotella were used as indicators of putative pathogen reduction   throughout the WWTPs. Satisfactory pathogen reduction was observed after   the open-pond natural attenuation lagoon but not after the air-sparged   nitrification/denitrification followed by alkaline phosphorus   precipitation treatment processes. Among the archaeal communities, 80 \%   of the reads was related to hydrogeno-trophic methanogens   Methanospirillum. Enrichment of hydrogenotrophic methanogens detected in   effluent samples from the anaerobic covered lagoons and UASB suggested   that CO2 reduction with H-2 was the dominant methanogenic pathway in   these systems. Overall, the results served to improve our current   understanding of major microbial communities' changes downgradient from   the pen and throughout swine WWTP as a result of different treatment   processes.",301,NA,TH,,,,
30,Tao,NO,"Xuesong He, Jeffrey S. McLean, Lihong Guo, Renate Lux, Wenyuan Shi",2014,The social structure of microbial community involved in colonization   resistance,ISME JOURNAL,564-574,564-574,10.1038/ismej.2013.172,"It is well established that host-associated microbial communities can   interfere with the colonization and establishment of microbes of foreign   origins, a phenomenon often referred to as bacterial interference or   colonization resistance. However, due to the complexity of the   indigenous microbiota, it has been extremely difficult to elucidate the   community colonization resistance mechanisms and identify the bacterial   species involved. In a recent study, we have established an in vitro   mice oral microbial community (O-mix) and demonstrated its colonization   resistance against an Escherichia coli strain of mice gut origin. In   this study, we further analyzed the community structure of the O-mix by   using a dilution/regrowth approach and identified the bacterial species   involved in colonization resistance against E. coli. Our results   revealed that, within the O-mix there were three different types of   bacterial species forming unique social structure. They act as `Sensor',   `Mediator' and `Killer', respectively, and have coordinated roles in   initiating the antagonistic action and preventing the integration of E.   coli. The functional role of each identified bacterial species was   further confirmed by E. coli-specific responsiveness of the synthetic   communities composed of different combination of the identified players.   The study reveals for the first time the sophisticated structural and   functional organization of a colonization resistance pathway within a   microbial community. Furthermore, our results emphasize the importance   of `Facilitation' or positive interactions in the development of   community-level functions, such as colonization resistance.",302,NA,TH,,,,
31,Tao,NO,"Catherine Numa, Jose R. Verdu, Cristina Rueda, Eduardo Galante",2012,Comparing Dung Beetle Species Assemblages Between Protected Areas and   Adjacent Pasturelands in a Mediterranean Savanna Landscape,RANGELAND ECOLOGY \& MANAGEMENT,137-143,137-143,10.2111/REM-D-10-00050.1,"Dung beetles are considered keystone species because of their role in   decomposition, seed dispersal, and control of vertebrate parasites in   grazed habitats. Despite the ecological importance of this group to   pasture ecosystem functioning, still little is known about its   relationship with grazing management activities. We evaluated the   conservation value of protected areas for clung beetle diversity by   comparing two different management conditions of Mediterranean savanna   in central Spain. Four different sites with wild herbivory (red deer,   roe deer) were sampled inside the Caballeros National Park, and four   sites with traditional agrosilvopastoral management were sampled in a   sheep farm near the park. The dung beetle species richness was similar   between savanna conditions, but the total clung beetle abundance and   biomass were considerably greater in the park grasslands than in the   grasslands of the sheep farm. Dung beetle species composition, species   dominance, and abundance by functional groups from both park and farm   sites were different, despite the high similarity among the sampled   sites in both hydric content and dung availability. Onthophagus maki   (Illiger 1803) and O. furcatus (Fabricius 1781) were the dominant   species in the park, while O. furcatus, Aphodius foetidus (Herbst 1783),   and Caccobius scbreberi L. were the dominant species on the farm.   Species richness and abundance of telecoprids were higher in the park   than on the farm. Abundance of paracoprids was also higher in the park   than on the farm, while no differences in species richness and abundance   of endocoprids were observed between both conditions. These results   suggest that management activities such as plowing and the use of   veterinary substances affect soil structure and dung quality and could   be important factors that alter dung beetle assemblages in terms of   composition, abundance, and biomass on traditional farms.",303,NA,TH,,,,
33,Tao,NO,"Sumedh S. Warudkar, Kenneth R. Cox, Michael S. Wong, George J. Hirasaki",2013,Influence of stripper operating parameters on the performance of amine   absorption systems for post-combustion carbon capture: Part I. High   pressure strippers,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,342-350,342-350,10.1016/j.ijggc.2013.01.050,"Amine absorption is a mature technology that is widely applied on a   commercial scale for the removal of acid gases from gas mixtures. It is   viewed as the most promising technology to separate carbon dioxide (CO2)   at point emission sources such as fossil fuel fired power plants as a   part of a strategy called `carbon capture and storage' being deployed to   mitigate climate change. However, there are major challenges in   advancing its use for this application; the most prominent one being -   cost. It is estimated that the application of current technology to CO2   capture will result in a 70-100\% increase in the cost of electricity   (COE). As a part of this two-part study, we have examined the influence   of stripper operating parameters on carbon capture at a 400 MW   pulverized coal-fired power plant retrofitted with amine absorption   technology. We use the process simulation software, ProMax (R) to   simulate the amine absorption process. Three commercial absorbents   namely monoethanolamine (MEA), diethanolamine (DEA) and diglycolamine   (DGA) are considered in this work. All the absorbents examined are   studied at the typical working concentrations used in commercial   operation. We also constrain the CO2 loading of rich amine solution to   0.4 mol-CO2/mol-amine to closely resemble the chemical environment in   commercial operation. The main pointer used to compare system   performance is the parasitic power loss due to the carbon capture.   Parasitic power loss comprises of the loss of plant output due to   withdrawal of reboiler steam from the low pressure turbine; the   electricity required for CO2 compression and by the plant auxiliaries   such as blowers and pumps. We also examine the absorber and stripper   column sizes and heat exchanger parameters which are key components of   the system. On the basis of our findings in the first part of this   study, we report that operating the stripper at higher pressures has   significant advantages but also some disadvantages and operational   challenges. We also report that DEA and DGA have a superior performance   to MEA when used in high pressure strippers. We conclude that increasing   the stripper pressure reduces the parasitic losses and the equipment   sizing but may result in higher solvent losses and equipment corrosion.   (C) 2013 Elsevier Ltd. All rights reserved.",305,NA,TH,,,,
