AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,note
"Dhananasekaran Solairaj, Palanivel Rameshthangam",2017,Silver Nanoparticle Embedded alpha-Chitin Nanocomposite for Enhanced   Antimicrobial and Mosquito Larvicidal Activity,JOURNAL OF POLYMERS AND THE ENVIRONMENT,435-452,435-452,10.1007/s10924-016-0822-3,"Advent of nanotechnology opens up potential avenues for overcoming   various challenges that includes control and cure of infectious   diseases. The present study is focused on the synthesis of alpha-chitin   nanoparticles (CNP) from the shells of Penaeus monodon Fabricius, silver   nanoparticles (AgNP) and alpha-chitin/silver nanocomposite (CNP/AgNP),   and to evaluate their antimicrobial and mosquito larvicidal activities.   The antibacterial and antifungal activities are assessed against five   different bacterial and fungal strains. Also the mosquito larvicidal   potential is studied against Aedes aegypti a potential vector for   malaria and dengue fever. The synthesized nanocomposites are   characterized using UV-Vis spectroscopy, X-ray diffraction, Fourier   transform infrared spectroscopy, scanning electron microscope,   energy-dispersive X-ray spectroscopy, transmission electron microscope   and dynamic light scattering analysis. The antibacterial and antifungal   assays reveal that the CNP/AgNP has an enhanced antimicrobial effect on   inhibition of bacteria (P. vulgaris, K. pneumonia and S. aureus) as well   as fungi (C. albicans, T. viridae, A. niger and A. alternate). Mosquito   larvicidal assays confirm that CNP/AgNP has shown lowest LC50 and LC90   values than CNP and AgNP against all the instars of A. aegypti. Hence   our result suggests that the incorporation of AgNP with CNP could   improve the antimicrobial and mosquito larvicidal activity and have the   potential to be used as biocompatible antimicrobial and mosquito   larvicidal material.",1391,NO,SL,,,
"Jhonamie A. Mabuhay, Nobukazu Nakagoshi",2012,Response of soil microbial communities to changes in a forest ecosystem   brought about by pine wilt disease,LANDSCAPE AND ECOLOGICAL ENGINEERING,189-196,189-196,10.1007/s11355-011-0165-0,"Japan has suffered a lot from forestry losses due to pine wilt disease   caused by pinewood nematode infestations. Studies were conducted   regarding its causative agent and the effects of natural vegetation   succession after pine wilt disease, but its effects on microorganisms   were not given equal attention. This study determined the effects of   pine wilt disease on light conditions, soil microbial biomass, litter   decomposition, microbial abundance and the physical and chemical   properties of the soil. Results showed that in a forest currently   affected by pine wilt disease, there was higher light penetration,   greater microbial biomass carbon, and a faster rate of litter   decomposition. Microbial abundance was shown to be reduced in pine wilt   affected areas. There were close correlations between the biological and   physicochemical properties of the soil, but the reason for the decrease   in microbial abundance is not yet well understood, and thus requires   further study.",1392,YES,SL,YES,,referred to as a disease; APS refers to as a pathogen: https://www.apsnet.org/edcenter/intropp/lessons/Nematodes/Pages/PineWilt.aspx
Didier Andrivon,2012,"Dynamics of Change in Human-Driven and Natural Systems: Fast Forward,   Slow Motion, Same Movie? A Case Study from Plant Protection",SUSTAINABILITY,384-393,384-393,10.3390/su4030384,"Evolutionary biology and evolutionary ecology deal with change in   species and ecosystems over time, and propose mechanisms to explain and   predict these. In particular, they look for generic elements that will   drive any organism or phylum to adaptive changes or to extinction. This   paper, using examples from the field of plant protection against pests   and diseases, shows that the patterns of change observed in natural and   in human-driven systems are comparable, and proposes that their   similarities result from the same mechanisms operating at different   paces. Human-driven systems can thus be seen simply as `fast-forward'   versions of natural systems, making them tractable tools to test and   predict elements from evolutionary theory. Conversely, the convergence   between natural and human-driven systems opens opportunities for a more   widespread use of evolutionary theory when analyzing and optimizing any   human-driven system, or predicting its adaptability to changing   conditions.",1393,MAYBE,SL,NO,review,
"Pradeepa Vasudeva Samaga, Vittal Ravishankar Rai, Kuriya Madavu Lokanatha Rai",2014,Production of an antimicrobial cytochalasan by an endophytic Chaetomium   globosum HYML55 from Hypericum mysorense and its RNA secondary structure   analysis,CHEMISTRY AND ECOLOGY,566-578,566-578,10.1080/02757540.2013.878335,"The mutualistic benefits and disadvantages of non-clavicipitaceous   endophytes for their hosts are not well studied and are postulated as   being distinct from free-living or pathogenic counterparts. The   defensive metabolites and antioxidants produced by endophytes are   postulated to be the benefits offered for the hosts. Therefore, the   antimicrobial and free-radical-scavenging activities of a foliar   endophyte Chaetomium globosum HYML55 isolated from Hypericum mysorense   of Western Ghats, India were studied. RNA secondary structure analysis   refuted the unique biotope postulation because strain HYML55 was more   similar to a coprophilous strain than to endophytic strains. Ethyl   acetate extract of the fungus inhibited bacteria and fungi. The extract   also quenched 98.65\% 1,1-diphenyl-2-picrylhydrazyl radicals with total   antioxidant capacity of 13.62 mg ascorbic acid equivalent/g. A yellow   amorphous antimicrobial compound purified from the extract was   identified as chaetoglobosin F, which had a minimum inhibitory   concentration of 7.8-15.6 mu g/mL, except against Pseudomonas   aeruginosa. This is the first report on the antimicrobial activity of   chaetoglobosin F and other bioactivities of any endophytes from H.   mysorense. The study emphasises the inter-habitat cycling of endophytes   and possible benefits of C. globosum for the host. Chaetoglobosin F is   an anti-inflammatory and anti-neoplastic compound, and C. globosum   HYML55 could be exploited for the industrial production of this   compound.",1394,NO,SL,,,
"S. M. Eldridge, K. Y. Chan, I. Barchia, P. K. Pengelly, S. Katupitiya, J. M. Davis",2009,"A comparison of surface applied granulated biosolids and poultry litter   in terms of risk to runoff water quality on turf farms in Western   Sydney, Australia",AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,243-250,243-250,10.1016/j.agee.2009.07.007,"A simulated rainfall study was carried out on couch (Cynodon dactylon   cv) turf on a Haplic Lixisol soil at Camden in South Western Sydney,   Australia, to compare surface applications of a new granulated biosolids   product with poultry litter (the current turf farm practice) in terms of   runoff water quality impacts. The granulated biosolids were surface   applied to the turf at a total N loading of 240 kg N ha(-1), equivalent   to the current turf farm practice of applying 18.9 m(3) ha(-1) of   poultry litter. One week after the application of the organic fertiliser   treatments, simulated rainfall was applied to each plot at an intensity   of 90 mm h(-1) for a period of 0.5 h, and all runoff water was collected   and analysed for a range of important water quality parameters. The most   significant result from this study was the finding that runoff water   samples from the poultry litter treatment plots were found to contain 10   times more total P (12.3 mg l(-1) compared to 1.2 mg l(-1)) and   dissolved P (8.3 mg l(-1) compared to 0.6 mg l(-1)) than that found in   the runoff water samples from the biosolid treatment. The relationship   between application total P loading (TPA) and runoff water total P   concentration (RO-P) was significantly (P < 0.05) different between the   biosolids (RO-P:TPA ratio = 0.01) and poultry litter (RO-P:TPA ratio =   0.16) products, reflecting the importance of the chemical nature of the   applied P in addition to the total loading. The phosphorus in the   poultry litter was much more easily mobilised and transported in runoff   than the biosolids P. For surface applications of these organic wastes,   bicarbonate extractable P loading provided a better indication of runoff   P contamination risk in the first flush of runoff, than total P loading.   The runoff from the biosolid treatment plots also had lower levels of   NH(4)-N and salinity than the poultry litter plots, although both   treatments had moderate levels of dissolved organic carbon in their   runoff. Heavy metal levels in the runoff were below guideline limits for   both organic amendments, while runoff pathogen levels were highly   variable. Our findings highlight the potential benefits of using   granulated biosolids as an alternative surface applied organic N   fertiliser on turf farms for its lower risk to surface water quality as   compared to poultry litter, the current practice. (C) 2009 Elsevier B.V.   All rights reserved.",1395,NO,SL,,,
"Laura Lopez Pascua, Alex R. Hall, Alex Best, Andrew D. Morgan, Mike Boots, Angus Buckling",2014,Higher resources decrease fluctuating selection during host-parasite   coevolution,ECOLOGY LETTERS,1380-1388,1380-1388,10.1111/ele.12337,"We still know very little about how the environment influences   coevolutionary dynamics. Here, we investigated both theoretically and   empirically how nutrient availability affects the relative extent of   escalation of resistance and infectivity (arms race dynamic; ARD) and   fluctuating selection (fluctuating selection dynamic; FSD) in   experimentally coevolving populations of bacteria and viruses. By   comparing interactions between clones of bacteria and viruses both   within-and between-time points, we show that increasing nutrient   availability resulted in coevolution shifting from FSD, with   fluctuations in average infectivity and resistance ranges over time, to   ARD. Our model shows that range fluctuations with lower nutrient   availability can be explained both by elevated costs of resistance (a   direct effect of nutrient availability), and reduced benefits of   resistance when population sizes of hosts and parasites are lower (an   indirect effect). Nutrient availability can therefore predictably and   generally affect qualitative coevolutionary dynamics by both direct and   indirect (mediated through ecological feedbacks) effects on costs of   resistance.",1396,NO,SL,,,
"Xiao-Yong Zhang, Jie Bao, Guang-Hua Wang, Fei He, Xin-Ya Xu, Shu-Hua Qi",2012,Diversity and Antimicrobial Activity of Culturable Fungi Isolated from   Six Species of the South China Sea Gorgonians,MICROBIAL ECOLOGY,617-627,617-627,10.1007/s00248-012-0050-x,"Fungi in gorgonians are now known to cause gorgonian diseases, but   little attention has been paid to the nature of fungal communities   associated with gorgonians. The diversity of culturable fungi associated   with six species of healthy South China Sea gorgonians were investigated   using a culture-dependent method followed by analysis of fungal internal   transcribed spacer sequences. A total of 121 fungal isolates were   recovered and identified using the Basic Local Alignment Search Tool   search program. These belonged to 41 fungal species from 20 genera. Of   these, 30 species and 12 genera are new reports for gorgonians, and the   genera Aspergillus and Penicillium were the most diverse and common in   the six gorgonian species. Comparison of the fungal communities in the   six gorgonian species, together with results from previous relevant   studies, indicated that different gorgonian species and the same   gorgonian species living in different geographic locations had different   fungal communities. The gorgonian Dichotella gemmacea harbored the most   fungal species and isolates, while Echinogorgia aurantiaca had the least   fungal diversity. Among the six media used for fungal isolation, potato   glucose agar yielded the highest isolates (27 isolates), while glucose   peptone starch agar had the best recoverability of fungal species (15   species). The antimicrobial activity of the 121 fungal isolates was   tested against three marine bacteria and two marine gorgonian pathogenic   fungi. A relatively high proportion (38 \%) of fungal isolates displayed   distinct antibacterial and antifungal activity, suggesting that the   gorgonian-associated fungi may aid their hosts in protection against   pathogens. This is the first report comparing the diversity of fungal   communities among the South China Sea gorgonians. It contributes to our   knowledge of gorgonian-associated fungi and further increases the pool   of fungi available for natural bioactive product screening.",1397,NO,SL,,,
"Martin C. Arostegui, Rachel A. Hovel, Thomas P. Quinn",2018,Schistocephalus solidus parasite prevalence and biomass intensity in   threespine stickleback vary by habitat and diet in boreal lakes,ENVIRONMENTAL BIOLOGY OF FISHES,501-514,501-514,10.1007/s10641-018-0719-1,"Trophically-transmitted parasites can affect intermediate host   behaviors, resulting in spatial differences in parasite prevalence and   distribution that shape the dynamics of hosts and their ecosystems. This   variability may arise through differences in physical habitats or   biological interactions between parasites and their hosts, and may occur   on very fine spatial scales. Using a pseudophyllidean cestode   (Schistocephalus solidus) and the threespine stickleback (Gasterosteus   aculeatus) as a model parasite-host complex, we investigated the   association of infection with host diet composition and stomach fullness   in different habitats of two large lakes in southwest Alaska. To become   infected, the fish must consume pelagic copepods infected with the   parasite's procercoid stage, so we predicted higher infection rates of   fish in offshore habitats (where zooplankton are the primary prey)   compared to fish from the littoral zone. Sticklebacks collected from the   littoral and limnetic zones were assayed for parasites and their stomach   contents were classified, counted, and weighed. Contrary to our   prediction, permutational multivariate analysis of variance and   principal components analysis revealed that threespine sticklebacks in   the littoral zone, which consumed a generalist diet (pelagic zooplankton   and benthic invertebrates), had higher parasite prevalence and biomass   intensity than conspecifics in the limnetic zone, which consumed   zooplankton. These results, consistent in two different lakes, suggest   that differences in parasite prevalence between habitats may have been   determined by a shift in host habitat due to infection, differential   host mortality across habitats, differential procercoid prevalence in   copepods across habitats, or a combination of the three factors. This   paradoxical result highlights the potential for fine spatial variability   in parasite abundance in natural systems.",1398,NO,SL,,,
"Megan A. Rua, James Umbanhowar",2015,Resource availability determines stability for mutualist-pathogen-host   interactions,THEORETICAL ECOLOGY,133-148,133-148,10.1007/s12080-014-0237-5,"Traditional explorations of interspecific interactions have generated   extensive bodies of theory on mutualism and disease independently, but   few studies have considered the interaction between them. We developed a   model exploring the interactions among a fungal mutualist, a viral   pathogen, and their shared plant host. Both microbes were assumed to   alter the uptake and use of nutrients by the plant. We found that the   productivity of the system and the strength of the plant-fungal   mutualism influenced community dynamics. In particular, at low   productivity, the pathogen may depend on the presence of the fungal   mutualist for persistence. Furthermore, under some conditions, both the   productivity of the system and the strength of the plant-fungal   mutualism may simultaneously cause the mutualist to go extinct. We note   the presence of cyclic plant-pathogen population dynamics only in the   presence of the mutualist. As found in other models of consumer-resource   interactions, cyclic dynamics were driven by high productivity, but, in   contrast to simpler systems, high pathogen effectiveness did not   consistently lead to cyclic dynamics. In total, association with   mutualists can alter host-pathogen interactions, and the reverse is also   true in that pathogens may alter host-mutualist interactions.",1399,MAYBE,SL,no,modeling study,
"Altea Calabuig, Ferran Garcia-Mari, Apostolos Pekas",2015,"Ants in citrus: impact on the abundance, species richness, diversity and   community structure of predators and parasitoids",AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,178-185,178-185,10.1016/j.agee.2015.08.001,"Ants can act as plant biotic defenses, however, in agricultural   ecosystems they are often associated with outbreaks of   honeydew-producing pests mainly due to the protection they offer to the   plant feeders in exchange for honeydew. In this interaction ants may   alter the abundance, diversity and community structure of predators and   parasitoids. In the present study, we conducted ant-exclusion   experiments in three commercial citrus orchards, each one dominated by   one ant species (Pheidole pallidula, Lasius grandis or Linepithema   humile) during two consecutive years. We then compared the abundance,   species richness, diversity and community structure of predators and   parasitoids between the ant-allowed and ant-excluded treatments. A total   of 176,074 natural enemies belonging to 81 taxa were captured and   identified. The abundance of the natural enemies showed a species   specific response between treatments. When examining functional groups   of natural enemies the abundance of generalist predators decreased while   that of parasitoids increased in the ant-allowed treatment. The species   richness was significantly lower for predators and higher for   parasitoids in the ant-allowed treatment. The Shannon diversity index   was not different between treatments for predators, whereas parasitoid   diversity was significantly higher in the ant-allowed treatment.   Finally, the community structure of predators and parasitoids was not   significantly different between treatments. These results suggest that   ants in citrus are not associated with a dramatic decrease in natural   enemy abundance or biodiversity; on the contrary ants were associated   with increased parasitoid species richness and diversity. On the other   hand, ants negatively affected the abundance of specific natural enemy   species, mainly generalist predators. The impact on these predators   might explain the higher pest densities associated with ants in citrus.   (C) 2015 Elsevier B.V. All rights reserved.",1400,MAYBE,SL,no,data on PP but not on ecosystem processes affected by PP,
"Leho Tedersoo, Prune Pellet, Urmas Koljalg, Marc-Andre Selosse",2007,Parallel evolutionary paths to mycoheterotrophy in understorey Ericaceae   and Orchidaceae: ecological evidence for mixotrophy in Pyroleae,OECOLOGIA,206-217,206-217,10.1007/s00442-006-0581-2,"Several forest understorey achlorophyllous plants, termed   mycoheterotrophs (MHs), obtain C from their mycorrhizal fungi. The   latter in turn form ectomycorrhizas with trees, the ultimate C source of   the entire system. A similar nutritional strategy occurs in some green   forest orchids, phylogenetically close to MH species, that gain their C   via a combination of MH and photosynthesis (mixotrophy). In orchid   evolution, mixotrophy evolved in shaded habitats and preceded MH   nutrition. By generalizing and applying this to Ericaceae, we   hypothesized that green forest species phylogenetically close to MHs are   mixotrophic. Using stable C isotope analysis with fungi, autotrophic,   mixotrophic and MH plants as comparisons, we found the first   quantitative evidence for substantial fungi-mediated mixotrophy in the   Pyroleae, common ericaceous shrubs from boreal forests close to the MH   Monotropoideae. Orthilia secunda, Pyrola chlorantha, Pyrola rotundifolia   and Chimaphila umbellata acquired between 10.3 and 67.5\% of their C   from fungi. High N and N-15 contents also suggest that Pyroleae   nutrition partly rely on fungi. Examination of root fungal internal   transcribed spacer sequences at one site revealed that 39 species of   mostly endophytic or ectomycorrhizal fungi, including abundant   Tricholoma spp., were associated with O. secunda, P. chlorantha and C.   umbellata. These fungi, particularly ectomycorrhizal associates, could   thus link mixotrophic Pyroleae spp. to surrounding trees, allowing the C   flows deduced from isotopic evidence. These data suggest that we need to   reconsider ecological roles of understorey plants, which could influence   the dynamics and composition of forest communities.",1401,NO,SL,,,
"Jonathan A. Foley, Gregory P. Asner, Marcos Heil Costa, Michael T. Coe, Ruth DeFries, Holly K. Gibbs, Erica A. Howard, Sarah Olson, Jonathan Patz, Navin Ramankutty, Peter Snyder",2007,Amazonia revealed: forest degradation and loss of ecosystem goods and   services in the Amazon Basin,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,25-32,25-32,10.1890/1540-9295(2007)5[25:ARFDAL]2.0.CO;2,"The Amazon Basin is one of the world's most important bioregions,   harboring a rich array of plant and animal species and offering a wealth   of goods and services to society. For years, ecological science has   shown how large-scale forest clearings cause declines in biodiversity   and the availability of forest products. Yet some important changes in   the rainforests, and in the ecosystem services they provide, have been   underappreciated until recently. Emerging research indicates that land   use in the Amazon goes far beyond clearing large areas of forest;   selective logging and other canopy damage is much more pervasive than   once believed. Deforestation causes collateral damage to the surrounding   forests-through enhanced drying of the forest floor, increased frequency   of fires, and lowered productivity. The loss of healthy forests can   degrade key ecosystem services, such as carbon storage in biomass and   soils, the regulation of water balance and river flow, the modulation of   regional climate patterns, and the amelioration of infectious diseases.   We review these newly revealed changes in the Amazon rainforests and the   ecosystem services that they provide.",1402,NO,SL,,,
"Tyler G. Creech, Paul C. Cross, Brandon M. Scurlock, Eric J. Maichak, Jared D. Rogerson, John C. Henningsen, Scott Creel",2012,Effects of Low-Density Feeding on Elk-Fetus Contact Rates on Wyoming   Feedgrounds,JOURNAL OF WILDLIFE MANAGEMENT,877-886,877-886,10.1002/jwmg.331,"High seroprevalance for Brucella abortus among elk on Wyoming   feedgrounds suggests that supplemental feeding may influence parasite   transmission and disease dynamics by altering the rate at which elk   contact infectious materials in their environment. We used proximity   loggers and video cameras to estimate rates of elk-to-fetus contact (the   primary source of brucellosis transmission) during winter supplemental   feeding. We compared contact rates during high-density and low-density   (LD) feeding treatments that provided the same total amount of food   distributed over different areas. Low-density feeding led to >70\%   reductions in total number of contacts and number of individuals   contacting a fetus. Proximity loggers and video cameras provided similar   estimates of elk-fetus contact rates. Elk contacted fetuses and random   control points equally, suggesting that elk were not attracted to   fetuses but encountered them incidentally while feeding. The modeled   relationship between contact rate and disease prevalence is nonlinear   and LD feeding may result in large reductions in brucellosis prevalence,   but this depends on the amount of transmission that occurs on and off   feedgrounds. (C) 2012 The Wildlife Society.",1403,NO,SL,,,
"Guadalupe Peralta, Carol M. Frost, Raphael K. Didham, Arvind Varsani, Jason M. Tylianakis",2015,Phylogenetic diversity and co-evolutionary signals among trophic levels   change across a habitat edge,JOURNAL OF ANIMAL ECOLOGY,364-372,364-372,10.1111/1365-2656.12296,"1 .Incorporating the evolutionary history of species into community   ecology enhances understanding of community composition, ecosystem   functioning and responses to environmental changes. Phylogenetic history   might partly explain the impact of fragmentation and land-use change on   assemblages of interacting organisms and even determine potential   cascading effects across trophic levels. However, it remains unclear   whether phylogenetic diversity of basal resources is reflected at higher   trophic levels in the food web. In particular, phylogenetic determinants   of community structure have never been incorporated into habitat edge   studies, even though edges are recognized as key factors affecting   communities in fragmented landscapes. Here, we test whether phylogenetic   diversity at different trophic levels (plants, herbivores and   parasitoids) and signals of co-evolution (i.e. phylogenetic congruence)   among interacting trophic levels change across an edge gradient between   native and plantation forests. To ascertain whether there is a signal of   co-evolution across trophic levels, we test whether related consumer   species generally feed on related resource species. We found differences   across trophic levels in how their phylogenetic diversity responded to   the habitat edge gradient. Plant and native parasitoid phylogenetic   diversity changed markedly across habitats, while phylogenetic   variability of herbivores (which were predominantly native) did not   change across habitats, though phylogenetic evenness declined in   plantation interiors. Related herbivore species did not appear to feed   disproportionately on related plant species (i.e. there was no signal of   co-evolution) even when considering only native species, potentially due   to the high trophic generality of herbivores. However, related native   parasitoid species tended to feed on related herbivore species,   suggesting the presence of a co-evolutionary signal at higher trophic   levels. Moreover, this signal was stronger in plantation forests,   indicating that this habitat may impose stresses on parasitoids that   constrain them to attack only host species for which they are best   adapted. Overall, changes in land use across native to plantation forest   edges differentially affected phylogenetic diversity across trophic   levels, and may also exert a strong selective pressure for particular   co-evolved herbivore-parasitoid interactions.",1404,NO,SL,,,
"Pious Thomas, Thyvalappil A. Soly",2009,Endophytic Bacteria Associated with Growing Shoot Tips of Banana (Musa   sp.) cv. Grand Naine and the Affinity of Endophytes to the Host,MICROBIAL ECOLOGY,952-964,952-964,10.1007/s00248-009-9559-z,"A cultivation-based assessment of endophytic bacteria present in   deep-seated shoot tips of banana suckers was made with a view to   generate information on the associated organisms, potential endophytic   contaminants in tissue-cultured bananas and to assess if the endophytes   shared a beneficial relationship with the host. Plating the tissue   homogenate from the central core of suckers showed colony growth on   nutrient agar from just 75\% and 42\% of the 12 stocks during May and   November, respectively (average 58\%; 6 x 10(3) colony-forming units per   gram), yielding diverse organisms belonging to firmicutes (Bacillus,   Brevibacillus, Paenibacillus, Virgibacillus, Staphylococcus spp.),   actinobacteria (Cellulomonas, Micrococcus, Corynebacterium, Kocuria   spp.), alpha-proteobacteria (Paracoccus sp.), and gamma-proteobacteria   (Pseudomonas, Acinetobacter spp.). Each shoot tip showed one to three   different organisms and no specific organism appeared common to   different sucker tips. Tissue homogenate from shoot tips including the   ones that did not yield culturable bacteria displayed abundant bacterial   cells during microscopic examination suggesting that a high proportion   of cells were in viable-but-nonculturable state, or their cultivation   requirements were not met. Direct application of cultivation-independent   approach to study endophytic bacterial community using bacterial 16S   ribosomal RNA universal primers resulted in high interference from   chloroplast and mitochondrial genome sequences. Dislodging the bacterial   cells from shoot tips that did not show cultivable bacteria and   incubating the tissue crush in dilute-nutrient broth led to the   activation of four organisms (Klebsiella, Agrobacterium, Pseudacidovorax   spp., and an unidentified isolate). The endophytic organisms in general   showed better growth at 30-37 A degrees C compared with 25 A degrees C,   and the growth of endophytes as well as pathogenic Erwinia carotovora   were promoted with the supply of host tissue extract (HTE) while that of   the isolates from nonplant sources were inhibited or unaffected by HTE,   suggesting an affinity or dependence of the endophytes on the host and   the prospect of an HTE-based assay for discriminating the nonendophytes   from endophytes.",1405,NO,SL,,,
"Shohei Sakuda, Makoto Kimura",2010,Toxins of Microorganisms,NA,411-455,411-455,NA,NA,1406,MAYBE,SL,no,data on PP but not on ecosystem processes affected by PP,requested from ILL
"Tran Dang Xuan, Nguyen Thi Phuong, Do Tan Khang, Tran Dang Khanh",2015,"Influence of Sowing Times, Densities, and Soils to Biomass and Ethanol   Yield of Sweet Sorghum",SUSTAINABILITY,11657-11678,11657-11678,10.3390/su70911657,"The use of biofuels helps to reduce the dependency on fossil fuels and   therefore decreases CO2 emission. Ethanol mixed with gasoline in   mandatory percentages has been used in many countries. However,   production of ethanol mainly depends on food crops, commonly associated   with problems such as governmental policies and social controversies.   Sweet sorghum (Sorghum bicolor (L.) Moench) is one of the most potential   and appropriate alternative crops for biofuel production because of its   high biomass and sugar content, strong tolerance to environmental stress   conditions and diseases, and wide adaptability to various soils and   climates. The aim of this study was to select prospective varieties of   sweet sorghum, optimum sowing times and densities to achieve high yields   of ethanol production and to establish stable operational conditions in   cultivating this crop. The summer-autumn cropping season combined with   the sowing densities of 8.3-10.9 plant m(-2) obtained the highest   ethanol yield. Among cultivated locations, the soil with pH of 5.5 and   contents of Al and Zn of 39.4 and 0.6 g kg(-1), respectively, was the   best condition to have an ethanol yield >5000 L ha(-1). The pH 6.0 may   be responsible for the significant reduction of zinc content in soils,   which decreases both biomass of sweet sorghum and ethanol yield, while   contents of N, P, K, organic carbon (OC) and cation exchange capacity   (CEC), and Fe likely play no role. The cultivar 4A was the preferred   candidate for ethanol production and resistant to pests and diseases,   especially cut worm (Agrotis spp.).",1407,NO,SL,,,
"Pamela M. Brannock, Alice C. Ortmann, Anthony G. Moss, Kenneth M. Halanych",2016,Metabarcoding reveals environmental factors influencing spatio-temporal   variation in pelagic micro-eukaryotes,MOLECULAR ECOLOGY,3593-3604,3593-3604,10.1111/mec.13709,"Marine environments harbour a vast diversity of micro-eukaryotic   organisms (protists and other small eukaryotes) that play important   roles in structuring marine ecosystems. However, micro-eukaryote   diversity is not well understood. Likewise, knowledge is limited   regarding micro-eukaryote spatial and seasonal distribution, especially   over long temporal scales. Given the importance of this group for   mobilizing energy from lower trophic levels near the base of the food   chain to larger organisms, assessing community stability, diversity and   resilience is important to understand ecosystem health. Herein, we use a   metabarcoding approach to examine pelagic micro-eukaryote communities   over a 2.5-year time series. Bimonthly surface sampling (July 2009 to   December 2011) was conducted at four locations within Mobile Bay (Bay)   and along the Alabama continental shelf (Shelf). Alpha-diversity only   showed significant differences in Shelf sites, with the greatest   differences observed between summer and winter. Beta-diversity showed   significant differences in community composition in relation to season   and the Bay was dominated by diatoms, while the Shelf was characterized   by dinoflagellates and copepods. The northern Gulf of Mexico is heavily   influenced by the Mobile River Basin, which brings low-salinity   nutrient-rich water mostly during winter and spring. Community   composition was correlated with salinity, temperature and dissolved   silicate. However, species interactions (e.g. predation and parasitism)   may also contribute to the observed variation, especially on the Shelf,   which warrants further exploration. Metabarcoding revealed clear   patterns in surface pelagic micro-eukaryote communities that were   consistent over multiple years, demonstrating how these techniques could   be greatly beneficial to ecological monitoring and management over   temporal scales.",1408,NO,SL,,,
"David Garcia de Leon, Mari Moora, Maarja Opik, Teele Jairus, Lena Neuenkamp, Martti Vasar, C. Guillermo Bueno, Maret Gerz, John Davison, Martin Zobel",2016,Dispersal of arbuscular mycorrhizal fungi and plants during succession,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,128-135,128-135,10.1016/j.actao.2016.10.006,"Arbuscular mycorrhizal (AM) fungi are important root symbionts that   enhance plant nutrient uptake and tolerance to pathogens and drought   While the role of plant dispersal in shaping successional vegetation is   well studied, there is very little information about the dispersal   abilities of AM fungi. We conducted a trap-box experiment in a recently   abandoned quarry at 10 different distances from the quarry edge (i.e.   the potential propagule source) over eleven months to assess the short   term, within-year, arrival of plant and AM fungal assemblages and hence   their dispersal abilities. Using DNA based techniques we identified AM   fungal taxa and analyzed their phylogenetic diversity. Plant diversity   was determined by transporting trap soil to a greenhouse and identifying   emerging seedlings. We recorded 30 AM fungal taxa. These contained a   high proportion of ruderal AM fungi (30\% of taxa, 79\% of sequences)   but the richness and abundance of AM fungi were not related to the   distance from the presumed propagule source. The number of sequences of   AM fungi decreased over time. Twenty seven plant species (30\% of them   ruderal) were recorded from the soil seed traps. Plant diversity   decreased with distance from the propagule source and increased over   time. Our data show that AM fungi with ruderal traits can be fast   colonizers of early successional habitats. (C) 2016 Elsevier Masson SAS.   All rights reserved.",1409,NO,SL,,,
"Kevin Leleu, Brice Remy-Zephir, Roger Grace, Mark J. Costello",2012,Mapping habitats in a marine reserve showed how a 30-year trophic   cascade altered ecosystem structure,BIOLOGICAL CONSERVATION,193-201,193-201,10.1016/j.biocon.2012.05.009,"Time-series studies have reported trophic cascades in land, freshwater   and marine environments in many geographic areas. However, the spatial   extent of habitats, a key metric of ecosystem structure, has not been   mapped in these studies. Marine reserves can provide experimental,   before-after and inside-outside (control-impacted), situations for   assessing the impact of fishing on ecosystems. We mapped seabed habitats   and their associated communities (biotopes) in New Zealand's oldest   marine reserve for comparison with pre-reserve maps created about 30   years previously.   Areas grazed bare by sea urchins were entirely replaced in the centre of   the reserve by kelp, or alga turf, an intermediate biotope between   heavily grazed encrusting algae and lightly grazed kelp. Urchins   declined following increased abundance and body size of spiny (rock)   lobsters and fish (especially snapper) in the reserve but maintained   bare rock outside. While this gradient in habitat change matched the   gradient of predator abundance, it also matched the extent of reef   habitat area. Thus the trophic cascade may be influenced by the effect   of habitat on the abundance and behavioural interactions of urchins and   their predators. Further ecosystem changes may arise should the   abundance of mega-predators, such as seals, cetaceans and large sharks,   increase in the region; if parasites become pathogenic; and/or when   invasive species reach the reserve.   No-take marine reserves provide real-world experiments that show the   importance of species in food webs, and the consequences of fishing for   ecosystems. Because these changes in ecosystem structure may continue,   and will vary with environment, climate and species distributions,   reserves need to be permanent and replicated geographically. Habitat   maps should be produced for all reserves to enable ecological changes in   the ecosystem to be spatially quantified. (C) 2012 Elsevier Ltd. All   rights reserved.",1410,NO,SL,,,
