AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Atanu Sarkar, Shantagouda Patil, Lingappa. B. Hugar, Gary vanLoon",2011,"Sustainability of Current Agriculture Practices, Community Perception,   and Implications for Ecosystem Health: An Indian Study",ECOHEALTH,418-431,418-431,10.1007/s10393-011-0723-9,"In order to support agribusiness and to attain food security for   ever-increasing populations, most countries in the world have embraced   modern agricultural technologies. Ecological consequences of the   technocentric approaches, and their sustainability and impacts on human   health have, however, not received adequate attention particularly in   developing countries. India is one country that has undergone a rapid   transformation in the field of agriculture by adopting strategies of the   Green Revolution. This article provides a comparative analysis of the   effects of older and newer paradigms of agricultural practices on   ecosystem and human health within the larger context of sustainability.   The study was conducted in three closely situated areas where different   agricultural practices were followed: (a) the head-end of a modern   canal-irrigated area, (b) an adjacent dryland, and (c) an area (the   ancient area) that has been provided with irrigation for some 800 years.   Data were collected by in-depth interviews of individual farmers,   focus-group discussions, participatory observations, and from secondary   sources. The dryland, receiving limited rainfall, continues to practice   diverse cropping centered to a large extent on traditional coarse   cereals and uses only small amounts of chemical inputs. On the other   hand, modern agriculture in the head-end emphasizes continuous cropping   of rice supported by extensive and indiscriminate use of agrochemicals.   Market forces have, to a significant degree, influenced the ancient area   to abandon much of its early practices of organic farming and to take up   aspects of modern agricultural practice. Rice cultivation in the   irrigated parts has changed the local landscape and vegetation and has   augmented the mosquito population, which is a potential vector for   malaria, Japanese encephalitis and other diseases. Nevertheless, despite   these problems, perceptions of adverse environmental effects are lowest   in the heavily irrigated area.",554,NO,SH,,,
"Cesc Murria, Amanda T. Rugenski, Matt R. Whiles, Alfried P. Vogler",2015,Long-term isolation and endemicity of Neotropical aquatic insects limit   the community responses to recent amphibian decline,DIVERSITY AND DISTRIBUTIONS,938-949,938-949,10.1111/ddi.12343,"AimNeotropical highland streams have shown diminished ecosystem   functioning after amphibian extirpation infected by the chytrid fungus   Batrachochytrium dendrobatidis. The loss of amphibians could affect   communities of aquatic insects co-occurring in these streams in various   ways. We examined patterns of species and genetic diversity of these   communities and their evolutionary history along the chytrid expansion   gradient to elucidate potential community responses.   LocationSix streams over a 320-km transect in Panama affected by chytrid   expansion from west to east for up to 14years, and two apparently   chytrid-free streams in the east.   MethodsPatterns of - and -diversity were investigated at three   hierarchical levels: genus, species and haplotypes. Genus identification   was based on morphology, and putative species were inferred by grouping   the DNA barcodes (749 cox1 sequences) with the GMYC method on all   collected individuals of Ephemeroptera, Trichoptera, Coleoptera and   Plecoptera.   ResultsA total of 96 genera in 43 families (9 orders) of insects were   encountered. Genus-level -diversity was higher in the easternmost   streams, possibly due to a separate biogeographical history, whereas   -diversity was constant along the chytrid expansion gradient. Community   DNA barcoding resulted in 426 cox1 haplotypes and 154 putative species,   most of them limited to single sites. High -diversity along the gradient   at both species and haplotype levels argues against community   homogenization by migration in the wake of amphibian declines. In   contrast, phylo--diversity was low, indicating community similarity at   deep levels.   Main conclusionsAquatic insect communities in this region are influenced   by long-term limited dispersion that generated high endemicity. The   pattern persists mostly unperturbed after disease-driven amphibian   declines; hence, if indeed insects fill the niches vacated by tadpoles,   they would originate from local communities rather than immigration.   Given the unique evolutionary history and physical isolation of local   assemblages, the ecosystem deterioration carries the risk of losing   unique diversity.",555,YES,SH,no,data on PP but not on ecosystem processes affected by PP,
"Tong Jia, An-Zhi Ren, Yu-Bao Gao",2014,"Host genotype overrides endophyte infection effects on growth,   physiology, and nutrient content of a native grass, Achnatherum   sibiricum",PLANT ECOLOGY,875-887,875-887,10.1007/s11258-014-0339-6,"The effect of infection by the fungal endophyte Neotyphodium, host   genotype, and their interaction on growth and physiology, as well as   photosynthesis, was investigated in the native grass Achnatherum   sibiricum. We artificially inoculated the endophyte into mature tillers   of endophyte-free A. sibiricum. Plants were clipped to 5 cm height after   recording growth traits, and analyzed for total nonstructural   carbohydrates (TNC \%), the percentage of nitrogen (N \%), and carbon (C   \%) in leaves before and after clipping. In our study, the prominent   host genotype-endophyte infection interactions detected in A. sibiricum   indicates that, for many growth and storage traits, endophyte infection   can impact a little change. However, there is no overriding consistently   positive effect of the endophyte on growth or storage in A. sibiricum   before or after clipping. Our study showed that the interaction between   endophyte and host grasses was highly contingent on plant genotypes. We   found host genotype overrode fungal endophyte infection in influencing   tiller number and photosynthetic properties of A. sibiricum before   clipping. After clipping, host genotype accounted for more of the   variation in regrowth and above-ground biomass of A. sibiricum than   endophyte infection. Our study showed that host genotype affected the   total nonstructural carbohydrates of A. sibiricum before and after   clipping, whereas endophyte infection increased the carbon content after   clipping. Genotype by infection interactions for plant height, leaf   mass, total nonstructural carbohydrates, and photosynthetic   characteristics indicated genotype-specific effects of endophytes on A.   sibiricum physiology and photosynthetic capacity. The host   genotype-endophyte infection interactions detected in A. sibiricum   suggest that host genotype overrides fungal endophyte infection on   growth, physiology, and nutrient content of this native grass. In   contrast, endophyte effects did not appear to positively affect growth,   physiology, or photosynthetic capacity before or after clipping.",556,YES,SH,no,no data on PP,
"Ross M. Thompson, Robert Poulin, Kim N. Mouritsen, David W. Thieltges",2013,Resource tracking in marine parasites: going with the flow?,OIKOS,1187-1194,1187-1194,10.1111/j.1600-0706.2012.00245.x,"Understanding how diversity interacts with energy supply is of broad   ecological interest. Most studies to date have investigated patterns   within trophic levels, reflecting a lack of food webs which include   information on energy flow. We added parasites to a published marine   energy-flow food web, to explore whether parasite diversity is   correlated with energy flow to host taxa. Parasite diversity was high   with 36 parasite taxa affecting 40 of the 51 animal taxa. Adding   parasites increased the number of trophic links per species, trophic   link strength, connectance, and food chain lengths. There was evidence   of an asymptotic relationship between energy flowing through a food   chain and parasite diversity, although there were clear outliers. High   parasite diversity was associated with host taxa which were highly   connected within the food web. This suggests that energy flow through a   taxon may favour parasite diversity, up to a maximal value. The   evolutionary and energetic basis for that limitation is of key interest   in understanding the basis for parasite diversity in natural food webs   and thus their role in food web dynamics.",557,MAYBE,SH,no,data on PP but not on ecosystem processes affected by PP,
"William J. Sutherland, Robert P. Freckleton, H. Charles J. Godfray, Steven R. Beissinger, Tim Benton, Duncan D. Cameron, Yohay Carmel, David A. Coomes, Tim Coulson, Mark C. Emmerson, Rosemary S. Hails, Graeme C. Hays, Dave J. Hodgson, Michael J. Hutchings, David Johnson, Julia P. G. Jones, Matt J. Keeling, Hanna Kokko, William E. Kunin, Xavier Lambin, Owen T. Lewis, Yadvinder Malhi, Nova Mieszkowska, E. J. Milner-Gulland, Ken Norris, Albert B. Phillimore, Drew W. Purves, Jane M. Reid, Daniel C. Reuman, Ken Thompson, Justin M. J. Travis, Lindsay A. Turnbull, David A. Wardle, Thorsten Wiegand",2013,Identification of 100 fundamental ecological questions,JOURNAL OF ECOLOGY,58-67,58-67,10.1111/1365-2745.12025,"1. Fundamental ecological research is both intrinsically interesting and   provides the basic knowledge required to answer applied questions of   importance to the management of the natural world. The 100th anniversary   of the British Ecological Society in 2013 is an opportune moment to   reflect on the current status of ecology as a science and look forward   to high-light priorities for future work.   2. To do this, we identified 100 important questions of fundamental   importance in pure ecology. We elicited questions from ecologists   working across a wide range of systems and disciplines. The 754   questions submitted (listed in the online appendix) from 388   participants were narrowed down to the final 100 through a process of   discussion, rewording and repeated rounds of voting. This was done   during a two-day workshop and thereafter.   3. The questions reflect many of the important current conceptual and   technical pre-occupations of ecology. For example, many questions   concerned the dynamics of environmental change and complex ecosystem   interactions, as well as the interaction between ecology and evolution.   4. The questions reveal a dynamic science with novel subfields emerging.   For example, a group of questions was dedicated to disease and   micro-organisms and another on human impacts and global change   reflecting the emergence of new subdisciplines that would not have been   foreseen a few decades ago.   5. The list also contained a number of questions that have perplexed   ecologists for decades and are still seen as crucial to answer, such as   the link between population dynamics and life-history evolution.   6. Synthesis. These 100 questions identified reflect the state of   ecology today. Using them as an agenda for further research would lead   to a substantial enhancement in understanding of the discipline, with   practical relevance for the conservation of biodiversity and ecosystem   function.",558,NO,SH,,,
P. Borchard,2013,USING CAMERA - TRAP DATA TO MODEL HABITAT USE BY WOMBATS AND CATTLE IN   AUSTRALIAN RIPARIAN ECOSYSTEMS,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,21-33,21-33,10.15666/aeer/1101\_021033,"Common Wombats (Vombatus ursinus) are an enigmatic south east Australian   agricultural riparian species which may improve riparian landscape   heterogeneity via their burrowing activity. At the same time they are   often accused of causing soil erosion. As populations of wombats in   other landscapes are under threat due to habitat disturbance, road   mortality and disease, knowledge of the factors determining their   distribution and abundance are important for their conservation and   management. Since the European colonization of Australia, riparian areas   have been utilized by domestic cattle (Bos taurus) usually resulting in   a decline in biodiversity. Camera trap data was used to investigate the   habitat use by wombats and cattle in Eastern Riverine Forests. The   relationship between camera trapping and ecological and meteorological   variables was investigated using logistic regression modelling. Wombats   and cattle were the most common mammals recorded across all sites with   468 photographs of wombats and 106 of cattle recorded. The   meteorological and ecological variables that had a significant effect on   the observation of a wombat or a cow were time of day, humidity, lower   storey canopy cover and the summer season. This study highlights the   usefulness of camera trapping as a tool of conservation and management   in an agricultural riparian landscape.",559,NO,SH,,,
"Tobin D. Northfield, William E. Snyder, Gretchen B. Snyder, Sanford D. Eigenbrode",2012,A simple plant mutation abets a predator-diversity cascade,ECOLOGY,411-420,411-420,10.1890/11-0399.1,"Resource consumption often increases with greater consumer biodiversity.   This could result either from complementarity among consumers or the   inclusion of particular key species, and it is often difficult to   differentiate between these two mechanisms. We exploited a simple plant   mutation (reduced production of surface waxes) to alter foraging within   a community of aphid predators, and thus perhaps shift the nature of   resulting predator diversity effects. We found that greater predator   species richness dramatically increased prey suppression and plant   biomass only on mutant, reduced-wax pea plants (Pisum sativum). On pea   plants from a sister line with wild type, waxier plant surfaces,   predator species richness did not influence predators' impacts on   herbivores or plants. Thus, a change in plant surface structure acted to   turn on, or off, the cascading effects of predator diversity. Greater   predator richness encouraged higher densities of true predators but did   not lead to greater reproduction by a parasitoid, Aphidius ervi;   fecundity of each natural enemy species was similar for the two plant   types. Behavioral observations indicated that although A. ervi was less   likely to forage within species-rich predator communities, low-wax   plants mitigated this interference by encouraging generally greater A.   ervi foraging and thus high rates of aphid dislodgement (aphids dropped   from plants to escape A. ervi, but not the other predators). Thus, only   species-rich, low-wax plants simultaneously encouraged strong   species-specific effects of A. ervi, and strong complementarity among   the other predator species. In summary, our study provides evidence that   diversity effects in predator assemblages are sensitive to habitat   characteristics. Further, we show that a simple plant morphological   trait, controlled by a single gene mutation, can dramatically alter the   cascading effects of predator species richness on herbivores and plants.",560,NO,SH,,,
"Elizabeth T. Borer, Eric W. Seabloom, Charles E. Mitchell, Alison G. Power",2010,Local context drives infection of grasses by vector-borne generalist   viruses,ECOLOGY LETTERS,810-818,810-818,10.1111/j.1461-0248.2010.01475.x,"P>Host characteristics commonly determine infection risk, but infection   can also be mediated by regional- or local-scale variation in the biotic   and abiotic environment. Experiments can clarify the relative importance   of these factors. We quantified drivers of infection by barley and   cereal yellow dwarf viruses (B/CYDV), a group of generalist,   vector-borne grass pathogens, at hierarchically nested spatial scales   (105-1 m) by planting individuals of six common grass species into five   Pacific Coast grassland sites spanning 7 degrees of latitude (> 5000   total hosts) and applying a factorial combination of nitrogen and   phosphorus fertilizer. Infection differed most among experimental blocks   (102-103 m scale), suggesting that local factors control infection risk;   infection increased with cover of long-lived hosts and phosphorus, but   not nitrogen, fertilization. For B/CYDV, local context more strongly   predicts infection risk than host species traits or regional context;   such spatially nested experiments can clarify the factors underlying   variation in infection risk.",561,NO,SH,,,
"Stacy M. Philpott, Gabriella L. Pardee, David J. Gonthier",2012,Cryptic biodiversity effects: importance of functional redundancy   revealed through addition of food web complexity,ECOLOGY,992-1001,992-1001,10.1890/11-1431.1,"Interactions between predators and the degree of functional redundancy   among multiple predator species may determine whether herbivores   experience increased or decreased predation risk. Specialist parasites   can modify predator behavior, yet rarely have cascading effects on   multiple predator species and prey been evaluated. We examined   influences of specialist phorid parasites (Pseudacteon spp.) on three   predatory ant species and herbivores in a coffee agroecosystem.   Specifically, we examined whether changes in ant richness affected fruit   damage by the coffee berry borer (Hypothenemus hampei) and whether   phorids altered multi-predator effects. Each ant species reduced borer   damage, and without phorids, increasing predator richness did not   further decrease borer damage. However, with phorids, activity of one   ant species was reduced, indicating that the presence of multiple ant   species was necessary to limit borer damage. In addition, phorid   presence revealed synergistic effects of multiple ant species, not   observed without the presence of this parasite. Thus, a trait-mediated   cascade resulting from a parasite-induced predator behavioral change   revealed the importance of functional redundancy, predator diversity,   and food web complexity for control of this important pest.",562,YES,SH,no,data on PP but not on ecosystem processes affected by PP,infection prevalence
"Karen D. McCoy, Muriel Dietrich, Audrey Jaeger, David A. Wilkinson, Matthieu Bastien, Erwan Lagadec, Thierry Boulinier, Herve Pascalis, Pablo Tortosa, Matthieu Le Corre, Koussay Dellagi, Camille Lebarbenchon",2016,The role of seabirds of the Iles Eparses as reservoirs and disseminators   of parasites and pathogens,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,98-109,98-109,10.1016/j.actao.2015.12.013,"The role of birds as reservoirs and disseminators of parasites and   pathogens has received much attention over the past several years due to   their high vagility. Seabirds are particularly interesting hosts in this   respect. In addition to incredible long-distance movements during   migration, foraging and prospecting, these birds are long-lived, site   faithful and breed in dense aggregations in specific colony locations.   These different characteristics can favor both the local maintenance and   large-scale dissemination of parasites and pathogens. The Iles Eparses   provide breeding and feeding grounds for more than 3 million breeding   pairs of seabirds including at least 13 species. Breeding colonies on   these islands are relatively undisturbed by human activities and   represent natural metapopulations in which seabird population dynamics,   movement and dispersal can be studied in relation to that of circulating   parasites and pathogens. In this review, we summarize previous knowledge   and recently-acquired data on the parasites and pathogens found in   association with seabirds of the Iles Eparses. These studies have   revealed the presence of a rich diversity of infectious agents (viruses,   bacteria and parasites) carried by the birds and/or their local   ectoparasites (ticks and louse flies). Many of these agents are   widespread and found in other ecosystems confirming a role for seabirds   in their large scale dissemination and maintenance. The heterogeneous   distribution of parasites and infectious agents among islands and   seabird species suggests that relatively independent metacommunities of   interacting species may exist within the western Indian Ocean. In this   context, we discuss how the patterns and determinants of seabird   movements may alter parasite and pathogen circulation. We conclude by   outlining key aspects for future research given the baseline data now   available and current concerns in eco-epidemiology and biodiversity   conservation. (C) 2016 Elsevier Masson SAS. All rights reserved.",563,NO,SH,,,
