AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,include-old,screened_by,double-check,include_article_review,exclude_reason,notes
"Sandra Quijas, Bernhard Schmid, Patricia Balvanera",2010,Plant diversity enhances provision of ecosystem services: A new   synthesis,BASIC AND APPLIED ECOLOGY,582-593,582-593,10.1016/j.baae.2010.06.009,"Biodiversity is known to play a fundamental role in ecosystem   functioning and thus may positively influence the provision of ecosystem   services with benefits to society. There is a need for further   understanding of how specific components of biodiversity are affecting   service provision. In this context, terrestrial plants are a   particularly important component of biodiversity and one for which a   wealth of information on biodiversity-ecosystem functioning   relationships is available. In this paper, we consider terrestrial   plants as providers of ecosystem services and analyze whether   manipulating plant diversity has an effect on the magnitude of ecosystem   service provision using a meta-analysis of 197 effect sizes and a   vote-counting analysis of 361 significance tests. The results of these   analyses are compared with those of a previous meta-analysis that   included a wide diversity of service providers. We produce a synthesis   table to explicitly link plants as service providers to indicators of   ecosystem properties and these to ecosystem services. By focusing on   only plants, we found a clear positive effect of biodiversity on six out   of eight services analyzed (provisioning of plant products, erosion   control, invasion resistance, pest regulation, pathogen regulation and   soil fertility regulation). When controlling for pseudoreplication   (repeated records from single studies), we found that four of the six   positive effects remained significant; only pest regulation and soil   fertility showed non-significant effects. Further expanding our basis   for inference with the vote-counting analysis corroborated these   results, demonstrating that quantitative meta-analysis and vote-counting   methods are both useful methods to synthesize biodiversity ecosystem   service studies. Notwithstanding the restricted number of identified   services, our results point to the importance of maintaining plant   diversity to ensure and increased provision of ecosystem services which   benefit human well-being.",840,NO,NO,BH,done,,,
"Robert J. Cooper, Larry A. Wood, Jill J. Gannon, R. Randy Wilson",2009,"EFFECTS OF TIMBER HARVEST AND OTHER FACTORS ON A FLOODPLAIN FOREST   INDICATOR SPECIES, THE PROTHONOTARY WARBLER",WETLANDS,574-585,574-585,10.1672/08-139.1,"Ecosystem approaches to management require monitoring of processes and   species indicative of the integrity of the system in order to understand   the effects of management and other perturbations. We examined the   effects of three timber harvest options (single-tree selection, patch   cuts, no harvest) on the reproductive biology of a possible indicator of   bottomland forest ecosystem integrity, the prothonotary warbler   (Protonotaria citrea). Timber harvests reduced the number of available   nest cavities, reduced the density of breeding males on the plots, and   increased the sizes of male territories. However, timber harvest had no   obvious effect on nest predation or brood parasitism frequencies. Brood   parasitism was instead related to distance from a nearby levee, a main   source of brown-headed cowbirds (Molothrus ater) in the area.   Productivity remained similar within suitable habitat regardless of   treatment. Reproductive success was strongly influenced by annual   variation, which we attribute to the timing and extent of annual   flooding, a fundamental ecosystem process in floodplain forests.   Continued anthropogenic alterations in flooding patterns may have a   greater influence than current timber management on the future   population levels of prothonotary warblers in the Mississippi Alluvial   Valley. This species, with others, could play a valuable role in an   ecosystem-oriented monitoring program.",841,NO,NO,BH,done,,,
"Jean-Sebastien Lauzon-Guay, Robert E. Scheibling, Myriam A. Barbeau",2009,Modelling phase shifts in a rocky subtidal ecosystem,MARINE ECOLOGY PROGRESS SERIES,25-39,25-39,10.3354/meps07758,"The rocky subtidal ecosystem of the Atlantic coast of Nova Scotia is   characterised by 2 community states, kelp beds and urchin barrens that   alternate on a decadal time scale. While the shift from barrens to a   kelp bed requires a large perturbation, namely a disease outbreak   causing urchin mass mortality, the reverse shift is more gradual and   mediated by the formation and propagation of destructive grazing   aggregations (or fronts) of sea urchins Strongylocentrotus   droebachiensis. We have developed a spatial model for the   re-establishment of kelp beds and the formation of a feeding front of   urchins in order to describe transitions (phase shifts) between kelp bed   and barrens states following an urchin mass mortality event. Our model   includes size-specific movement, growth, and survival of urchins, as   well as growth of kelp and grazing by urchins. The position of the kelp   bed-barrens interface (or grazing front) predicted by our model is in   general agreement with field observations at 2 sites and for up to 7 yr   after a mass mortality event. Elasticity analysis showed that daily   foraging movements by individual urchins have the greatest effect on the   position of the feeding front and the density of the urchins there.   Survival and recruitment rates of urchins also have large effects on   urchin density at the front. The density of urchin populations in   deep-water thermal refuges (from a disease agent) and the distance   between these source populations and remnant or emergent kelp beds have   large effects on the time required for the re-formation of a feeding   front after an event of urchin mass mortality. These findings suggest   that site-specific characteristics should be taken into account in the   development of sustainable harvesting strategies and habitat-based   management of the urchin fishery.",842,NO,NO,BH,done,,,
"Ross M. Thompson, Martin Hemberg, Brian M. Starzomski, Jonathan B. Shurin",2007,Trophic levels and trophic tangles: The prevalence of omnivory in real   food webs,ECOLOGY,612-617,612-617,10.1890/05-1454,"The concept of trophic levels is one of the oldest in ecology and   informs our understanding of energy flow and top-down control within   food webs, but it has been criticized for ignoring omnivory. We tested   whether trophic levels were apparent in 58 real food webs in four   habitat types by examining patterns of trophic position. A large   proportion of taxa (64.4\%) occupied integer trophic positions,   suggesting that discrete trophic levels do exist. Importantly however,   the majority of those trophic positions were aggregated around integer   values of 0 and 1, representing plants and herbivores. For the majority   of the real food webs considered here, secondary consumers were no more   likely to occupy an integer trophic position than in randomized food   webs. This means that, above the herbivore trophic level, food webs are   better characterized as a tangled web of omnivores. Omnivory was most   common in marine systems, rarest in streams, and intermediate in lakes   and terrestrial food webs. Trophic-level-based concepts such as trophic   cascades may apply to systems with short food chains, but they become   less valid as food chains lengthen.",843,NO,NO,BH,done,,,
"Jamie R. Wood, George L. W. Perry, Janet M. Wilmshurst",2017,Using palaeoecology to determine baseline ecological requirements and   interaction networks for de-extinction candidate species,FUNCTIONAL ECOLOGY,1012-1020,1012-1020,10.1111/1365-2435.12773,"1. A key rationale for pursuing de-extinction is the potential to   restore lost processes and function to modern ecosystems. However,   understanding and providing for the ecological requirements of the   candidate species will also play a key role in determining the ultimate   success of a de-extinction. This assessment is challenging for   prehistoric extinct species, where empirical studies or observations on   their ecology are not available or are incomplete.   2. A healthy, stable and self-sustaining population of a resurrected   species needs to be embedded in an ecological interaction network that   consists not only of interactions between a resurrected species and its   external environment (e.g. habitat, diet), but also those where the   resurrected species is the environment (e.g. microbiota and parasites).   Palaeoecology can provide information on all of these interactions for   extinct species, and this information can help guide and inform the   selection of suitable de-extinction candidates or traits for   resurrection.   3. Ecological interaction network analyses offer a complementary tool to   existing frameworks for determining the suitability of de-extinction   candidates, allowing palaeoecological information to be used to identify   and quantify the potential implications of removing or adding   resurrected species/functions to an ecosystem.   4. Although palaeoecological data and understanding clearly have an   important role in informing and modelling the potential ecological   functions provided by extinct species, they can only ever provide an   incomplete picture and therefore would only complement, rather than   replace, observational or experimental data on the resurrected organisms   themselves.",844,NO,NO,BH,done,,,
"Yvonne Fabian, Nadine Sandau, Odile T. Bruggisser, Alexandre Aebi, Patrik Kehrli, Rudolf P. Rohr, Russell E. Naisbit, Louis-Felix Bersier",2014,Plant diversity in a nutshell: testing for small-scale effects on trap   nesting wild bees and wasps,ECOSPHERE,NA,NA,10.1890/ES13-00375.1,"Declining plant species richness in agro-ecosystems and thus reduced   habitat quality can have cascading effects on ecosystem functioning,   leading to reduced pollination and biological control. Here we test if   plant diversity can affect arthropod diversity and abundance on a very   small scale, manipulating plant species richness (2, 6, 12 and 20 sown   species) in small adjacent subplots (6 x 9 m) in 10 wildflower strips in   an agricultural landscape. We simultaneously analyzed the effect of   plant species richness, vegetation structure, and plant composition on   the species richness and abundance of cavity-nesting wild bees, wasps,   their prey and natural enemies, and on the structure of their food webs.   By separating the trap-nesting species into functional groups according   to their prey, we aimed to understand the underlying patterns for the   effects of plant diversity. Increasing plant species richness had a   significant effect only on spider-predating wasps, the group of wasps   trophically most distant from plants. In contrast, bees and food-web   structure were unaffected by plant diversity. Spider-predating wasp   abundance negatively correlated with the abundance of spiders,   suggesting top-down control. Interestingly, the abundance of spiders was   the only variable that was strongly affected by plant composition. The   hypothesis that the effect of plant diversity decreases with increasing   trophic level is not supported by our study, and the mobility of species   appears to play a greater role at this small spatial scale.",845,NO,NO,BH,done,,,
"Shawn P. Haskell, Warren B. Ballard, Jon T. Mcroberts, Mark C. Wallace, Paul R. Krausman, Mary H. Humphrey, Ole J. Alcumbrac, David A. Butler",2017,Growth and Mortality of Sympatric White-Tailed and Mule Deer Fawns,JOURNAL OF WILDLIFE MANAGEMENT,1417-1429,1417-1429,10.1002/jwmg.21313,"Population growth rates of cervids are sensitive to changes in adult   female survival, but fawn recruitment tends to be the population vital   rate most susceptible to density-dependent population-level influences.   We conducted a study of fawn survival rates and related biology in   northwest Crockett County, Texas, USA, during 2004-2007 in an area where   white-tailed deer (Odocoileus virginianus) and mule deer (O. hemionus   eremicus) existed sympatrically. Our fawn study was justified by the   need to explain annual variation in female-to-fawn ratios apparent   during field surveys. Using vaginal implant transmitters in radio-marked   adult females to locate birth sites, we captured, weighed, and   radio-collared fawns on 4 privately owned ranches. We monitored collared   fawns daily and investigated mortalities within 24 hours of receiving a   mortality signal to determine cause of death. When possible, we   collected thymus glands to assess body condition. We captured 170 fawns   (64 white-tailed deer; 106 mule deer), of which 145 were of known-age   from collared females, and found that relatively heavy adult females   birthed relatively heavy fawns. We also noted that mass gain of fawns   and mass of fawns' thymus glands were very low compared to other studies   of fawns. We documented mortalities: 47 by predation, 47 by   sickness-starvation, 1 by conspecific trauma, and 3 undeterminable.   Bobcats (Lynx rufus) were responsible for nearly all fawn predation;   thymus gland and fawn mass data indicated that bobcats did not select   weaker fawns. We used proportional hazards regression to assess factors   influencing fawn survival and competing risks of mortality and made   comparisons between the species when possible. We censored 6 fawns from   our analyses and found that half of mortalities occurred within 15 days   postpartum, and 12 of the 139 known-age fawns (9\%) died within 25 m of   the birth site. Fawn survival was 78\% at 6 days old, which was the   median estimated age-at-capture of fawns from unknown adults. Annual   fawn survival rate ranged from 50\% for fawns born in 2004 to 17\% for   fawns born in 2006, with no overall effect of species. Fawn survival was   greatest in 2004 when rain during the May-August late-gestation and   lactation period was greatest. Mule deer fawns succumbed more to   sickness-starvation than did white-tailed deer fawns. Rates of   sickness-starvation and predation increased with deviance from mean   annual birth dates and with reduced rain during the late-gestation and   lactation period. Early fawn survival increased with relative fawn mass,   and sex became important at about 30 days postpartum, after which males   were at greater risk of sickness-starvation. Lunn-McNeil competing-risks   models suggested some interaction between sickness-starvation and   predation. Fawn mortality, mass gain, thymus mass, and weaning data   indicated that the populations of both deer species were chronically   stressed near a carrying capacity that fluctuated annually with rain and   that adult females invested little energy in rearing fawns relative to   captive females. (C) 2017 The Wildlife Society.",846,NO,NO,BH,done,,,
"Christoph F. J. Meyer, Ludmilla M. S. Aguiar, Luis F. Aguirre, Julio Baumgarten, Frank M. Clarke, Jean-Francois Cosson, Sergio Estrada Villegas, Jakob Fahr, Deborah Faria, Neil Furey, Mickael Henry, Robert Hodgkison, Richard K. B. Jenkins, Kirsten G. Jung, Tigga Kingston, Thomas H. Kunz, M. Cristina MacSwiney G, Isabel Moya, Jean-Marc Pons, Paul A. Racey, Katja Rex, Erica M. Sampaio, Kathryn E. Stoner, Christian C. Voigt, Dietrich von Staden, Christa D. Weise, Elisabeth K. V. Kalko",2010,Long-term monitoring of tropical bats for anthropogenic impact   assessment: Gauging the statistical power to detect population change,BIOLOGICAL CONSERVATION,2797-2807,2797-2807,10.1016/j.biocon.2010.07.029,"Bats are ecologically important mammals in tropical ecosystems; however,   their populations face numerous environmental threats related to climate   change, habitat loss, fragmentation, hunting, and emerging diseases.   Thus, there is a pressing need to develop and implement large-scale   networks to monitor trends in bat populations over extended time   periods. Using data from a range of Neotropical and Paleotropical bat   assemblages, we assessed the ability for long-term monitoring programs   to reliably detect temporal trends in species abundance. We explored the   magnitude of within-site temporal variation in abundance and evaluated   the statistical power of a suite of different sampling designs for   several different bat species and ensembles. Despite pronounced temporal   variation in abundance of most tropical bat species, power simulations   suggest that long-term monitoring programs (>= 20 years) can detect   population trends of 5\% per year or more with adequate statistical   power (>= 0.9). However, shorter monitoring programs (<= 10 years) have   insufficient power for trend detection. Overall, our analyses   demonstrate that a monitoring program extending over 20 years with four   surveys conducted biennially on five plots per monitoring site would   have the potential for detecting a 5\% annual change in abundance for a   suite of bat species from different ensembles. The likelihood of   reaching adequate statistical power was sensitive to initial species   abundance and the magnitude of count variation, stressing that only the   most abundant species in an assemblage and those with generally low   variation in abundance should be considered for detailed population   monitoring. (C) 2010 Elsevier Ltd. All rights reserved.",847,NO,NO,BH,done,,,
"Jessica E. Koopman, Wilfred F. M. Roling, Mark J. Buijs, Christopher H. Sissons, Jacob M. ten Cate, Bart J. F. Keijser, Wim Crielaard, Egija Zaura",2015,Stability and Resilience of Oral Microcosms Toward Acidification and   Candida Outgrowth by Arginine Supplementation,MICROBIAL ECOLOGY,422-433,422-433,10.1007/s00248-014-0535-x,"Dysbiosis induced by low pH in the oral ecosystem can lead to caries, a   prevalent bacterial disease in humans. The amino acid arginine is one of   the pH-elevating agents in the oral cavity. To obtain insights into the   effect of arginine on oral microbial ecology, a multi-plaque   ``artificial mouth'' (MAM) biofilm model was inoculated with saliva   from a healthy volunteer and microcosms were grown for 4 weeks with 1.6   \% (w/v) arginine supplement (Arginine) or without (Control), samples   were taken at several time-points. A cariogenic environment was mimicked   by sucrose pulsing. The bacterial composition was determined by 16S rRNA   gene amplicon sequencing, the presence and amount of Candida and   arginine deiminase system genes arcA and sagP by qPCR. Additionally,   ammonium and short-chain fatty acid concentrations were determined. The   Arginine microcosms were dominated by Streptococcus, Veillonella, and   Neisseria and remained stable in time, while the composition of the   Control microcosms diverged significantly in time, partially due to the   presence of Megasphaera. The percentage of Candida increased 100-fold in   the Control microcosms compared to the Arginine microcosms. The   pH-raising effect of arginine was confirmed by the pH and ammonium   results. The abundances of sagP and arcA were highest in the Arginine   microcosms, while the concentration of butyrate was higher in the   Control microcosms. We demonstrate that supplementation with arginine   serves a health-promoting function; it enhances microcosm resilience   toward acidification and suppresses outgrowth of the opportunistic   pathogen Candida. Arginine facilitates stability of oral microbial   communities and prevents them from becoming cariogenic.",848,NO,NO,BH,done,,,
"Chris Carbone, Samuel T. Turvey, Jon Bielby",2011,"Intra-guild competition and its implications for one of the biggest   terrestrial predators, Tyrannosaurus rex",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2682-2690,2682-2690,10.1098/rspb.2010.2497,"Identifying tradeoffs between hunting and scavenging in an ecological   context is important for understanding predatory guilds. In the past   century, the feeding strategy of one of the largest and best-known   terrestrial carnivores, Tyrannosaurus rex, has been the subject of much   debate: was it an active predator or an obligate scavenger? Here we look   at the feasibility of an adult T. rex being an obligate scavenger in the   environmental conditions of Late Cretaceous North America, given the   size distributions of sympatric herbivorous dinosaurs and likely   competition with more abundant small-bodied theropods. We predict that   nearly 50 per cent of herbivores would have been within a 55-85 kg   range, and calculate based on expected encounter rates that carcasses   from these individuals would have been quickly consumed by smaller   theropods. Larger carcasses would have been very rare and heavily   competed for, making them an unreliable food source. The potential   carcass search rates of smaller theropods are predicted to be 14-60   times that of an adult T. rex. Our results suggest that T. rex and other   extremely large carnivorous dinosaurs would have been unable to compete   as obligate scavengers and would have primarily hunted large vertebrate   prey, similar to many large mammalian carnivores in modern-day   ecosystems.",849,NO,NO,BH,done,,,
"Carl E. Fiedler, Shawn T. McKinney",2014,"Forest Structure, Health, and Mortality in Two Rocky Mountain Whitebark   Pine Ecosystems: Implications for Restoration",NATURAL AREAS JOURNAL,290-299,290-299,10.3375/043.034.0305,"Whitebark pine (Pinus albicaulis Engelm.) forests in western North   America are increasingly threatened by the exotic pathogen white pine   blister rust (Cronartium ribicola J.C. Fisch.). Whitebark pine is   designated a high priority species on the candidate list of Endangered   or Threatened species, spurring activity to monitor the rust infection   and develop restoration strategies. We surveyed two major whitebark pine   ecosystems (Northern Divide Ecosystem [NDE], including Glacier   National Park, and Greater Yellowstone Ecosystem [GYE], including   Yellowstone National Park) to quantify stand density, structure, species   composition, blister rust infection, and mortality. We compared   ecosystems based on these variables and suggest alternative restoration   strategies. Overall stand densities were similar between the two   ecosystems; however, NDE forests had only 79 live whitebark trees ha(-1)   compared to 274 in the GYE. Rust infection, crown kill, and mortality   were all significantly greater in NDE forests. Nearly 75\% of all   whitebark trees in the NDE were dead, and approximately 90\% of the   remaining whitebark were infected with rust. These high infection and   mortality levels suggest that planting rust-resistant whitebark   seedlings should be a high-priority restoration strategy in the NDE.   Conversely, nearly 30\% of large seed-bearing whitebark remain   uninfected in the GYE, indicating that avian seed dispersal should be   reasonably dependable during good cone years in that ecosystem. Our   study preceded a recent bark beetle (Dendroctonus ponderosae Hopkins)   epidemic, and provides a comparison of rust-infected whitebark   communities in two major ecosystems under virtually beetle-free   conditions, and establishes a baseline for assessing impacts of beetles   in the future.",850,NO,NO,BH,done,,,
"Nengwang Chen, Huasheng Hong",2012,Integrated management of nutrients from the watershed to coast in the   subtropical region,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,233-242,233-242,10.1016/j.cosust.2012.03.007,"This paper is a brief review on nutrient variation (changes in element   concentrations and ratios) and the associated aquatic ecosystem   responses in the subtropical region. Human activities have significantly   modified both the flux and the ratio of nutrients delivered to aquatic   ecosystems. Climate perturbations influence the hydrological regime and   enhance nutrient mineralization and transport from land to receiving   waters. Changes in land use and damming have resulted in changes in the   balance among nitrogen, phosphorus and silicon elements, thus increasing   the risk of algal bloom. Nutrient variation and its ecological effects   in the subtropical region could be more significant than in other areas   because of rapid development and high population. Aquatic ecosystems   respond to nutrient variation in complex and dynamic ways resulting in   eutrophication, hypoxia/anoxia, acidification, and changes in   phytoplankton and microbial communities. This review suggests that   harmful algal bloom, jellyfish bloom, and serious pathogens are often   associated with nutrient variations. The current challenges to   scientific research and management include the facts that (1) the link   between nutrient dynamics and ecosystem responses is poorly understood;   (2) monitoring data to support modeling and management are scarce; (3)   aquatic ecosystems are site-specific and/or situation-specific and are   highly dynamic, giving greater complexity in research and management;   and (4) the lack of regional coordination in traditional management   causes transboundary gaps. To address these current challenges, an   integrated management framework was proposed for effective nutrient   management. Institutional arrangements should be developed to coordinate   across multiple government agencies and other stakeholders from   watershed to coast. The framework should integrate an interdisciplinary   scientific approach and adaptive principles regarding nutrient   management.",851,NO,NO,BH,done,,,
"Douwe S. Maat, Corina P. D. Brussaard",2016,Both phosphorus- and nitrogen limitation constrain viral proliferation   in marine phytoplankton,AQUATIC MICROBIAL ECOLOGY,87-97,87-97,10.3354/ame01791,"Through cell lysis, viruses shape phytoplankton community composition   and stimulate biogeochemical cycling in the oceans. Earlier studies   indicate that reduced phosphorus (P) availability can affect   phytoplankton virus proliferation. The effects of nitrogen (N)   availability are claimed to be weaker than those for P, but this has not   been thoroughly studied. Here, we investigated how N-limiting growth   conditions, resulting in altered algal elemental stoichiometry and   physiology, affected virus proliferation in the phytoplankters   Micromonas pusilla and Phaeocystis globosa. Algal cultures were adapted   to balanced nutrient-limited growth, i.e. N-, P-and NPcontrolled growth,   before infection with their respective viruses MpV-08T and PgV-07T. The   viral infection experiments were then performed in batch cultures to   allow optimal 1-step virus growth cycles. Compared to the   nutrient-replete cultures, infection of nutrient-controlled hosts   resulted in elongated latent periods (time until first virus release)   and reduced viral burst sizes (viruses lysed host cell(-1)) for both MpV   and PgV. For MpV, the viral burst size was reduced by 70\%, independent   of the type of nutrient. The burst size of PgV was most reduced under   N-limitation, by as much as 92\%, compared to 70\% under P-limitation.   Overall, our results demonstrate that algal virus production can be   strongly impaired by N-limitation and that the effects are of a similar   magnitude to or even larger than for P. Our study indicates that viral   control of natural phytoplankton populations might be strongly driven by   both P-and N-availability.",852,MAYBE,MAYBE,BH,done,no,data on PP but not on ecosystem processes affected by PP,
"Dannielle Senga Green, Hazel Christie, Nicola Pratt, Bas Boots, Jasmin A. Godbold, Martin Solan, Chris Hauton",2017,Competitive interactions moderate the effects of elevated temperature   and atmospheric CO2 on the health and functioning of oysters,MARINE ECOLOGY PROGRESS SERIES,93-103,93-103,10.3354/meps12344,"Global increases in sea temperatures and atmospheric concentrations of   CO2 may affect the health of calcifying shellfish. Little is known,   however, about how competitive inter actions within and between species   may influence how species respond to multiple stressors. We   experimentally assessed separate and combined effects of temperature (12   or 16 degrees C) and atmospheric CO2 concentrations (400 and 1000 ppm)   on the health and biological functioning of native (Ostrea edulis) and   invasive (Crassostrea gigas) oysters held alone and in intraspecific or   inter specific mixtures. We found evidence of reduced phagocytosis under   elevated CO2 and, when combined with increased temperature, a reduction   in the number of circulating haemocytes. Generally, C. gigas showed   lower respiration rates relative to O. edulis when the species were in   intraspecific or interspecific mixtures. In contrast, O. edulis showed a   higher respiration rate relative to C. gigas when held in an   interspecific mixture and exhibited lower clearance rates when held in   intraspecific or interspecific mixtures. Overall, clearance rates of C.   gigas were consistently greater than those of O. edulis. Collectively,   our findings indicate that a species' ability to adapt metabolic   processes to environmental conditions can be modified by biotic context   and may make some species (here, C. gigas) competitively superior and   less vulnerable to future climatic scenarios at local scales. If these   conclusions are generic, the relative role of species interactions, and   other biotic parameters, in altering the outcomes of climate change will   require much greater research emphasis.",853,NO,NO,BH,done,,,
"Janet M. Rowe, Matthew A. Saxton, Matthew T. Cottrell, Jennifer M. DeBruyn, G. Mine Berg, David L. Kirchman, David A. Hutchins, Steven W. Wilhelm",2008,Constraints on viral production in the Sargasso Sea and North Atlantic,AQUATIC MICROBIAL ECOLOGY,233-244,233-244,10.3354/ame01231,"During the spring of 2005, the production rate of virus-like particles   as well as microbial and biogeochemical parameters in the Sargasso Sea   and North Atlantic Ocean were investigated as part of a multifaceted   North Atlantic Spring Bloom (NASB2005) survey. Here we present data on   the spatial variations in viral production rate, abundance, and   infection of microbial host populations, in an attempt to understand the   constraint(s) on the rates of viral production and abundance. As   expected, virus-like particle densities increased from the oligotrophic   waters of the Sargasso Sea to the more productive northern Atlantic   waters. Additionally, viral production rates increased across the   Sargasso Sea transect and correlated with trophic status (chl a   concentrations) and secondary (bacterial) productivity in this region.   However, no clear pattern of viral production rates could be discerned   in waters hosting the NASB. Results of both parametric and   non-parametric analyses demonstrate that viral production rates and   abundances only correlate well for our observations within the constant   `stability' of the Sargasso Sea, but suggest that more complex   relationships including a threshold effect, may guide viral parameters   in the North Atlantic. Overall, this study highlights the spatial and   potentially temporal complexity of constraints on viral production and   ultimately on viral function in surface marine waters.",854,NO,NO,BH,done,,,
"Pieter T. J. Johnson, Alan R. Townsend, Cory C. Cleveland, Patricia M. Glibert, Robert W. Howarth, Valerie J. McKenzie, Eliska Rejmankova, Mary H. Ward",2010,Linking environmental nutrient enrichment and disease emergence in   humans and wildlife,ECOLOGICAL APPLICATIONS,16-29,16-29,10.1890/08-0633.1,"Worldwide increases in human and wildlife diseases have challenged   ecologists to understand how large-scale environmental changes affect   host-parasite interactions. One of the most profound changes to Earth's   ecosystems is the alteration of global nutrient cycles, including those   of phosphorus (P) and especially nitrogen (N). Along with the obvious   direct benefits of nutrient application for food production,   anthropogenic inputs of N and P can indirectly affect the abundance of   infectious, and noninfectious pathogens. The mechanisms underpinning   observed correlations, however, and how such patterns vary with disease   type, have long remained conjectural. Here, we highlight recent   experimental advances to critically evaluate the relationship between   environmental nutrient enrichment and disease. Given the interrelated   nature of human and wildlife disease emergence. we include a broad range   of human and wildlife examples from terrestrial, marine, and freshwater   ecosystems. We examine the consequences of nutrient pollution on   directly transmitted, vector-borne, complex life cycle, and   noninfectious pathogens, including West Nile virus, malaria, harmful   algal blooms, coral reef diseases, and amphibian malformations.   Our synthetic examination suggests that the effects of environmental   nutrient enrichment on disease are complex and multifaceted, varying   with the type of pathogen, host species and condition, attributes of the   ecosystem, and the degree of enrichment: some pathogens increase in   abundance whereas others decline or disappear. Nevertheless, available   evidence indicates that ecological changes associated with nutrient   enrichment often exacerbate infection and disease caused by generalist   parasites with direct or simple life cycles. Observed mechanisms include   changes in host/vector density, host distribution, infection resistance,   pathogen virulence or toxicity, and the direct supplementation of   pathogens. Collectively, these pathogens may be particularly dangerous   because they can continue to cause mortality even as their hosts   decline, potentially leading to sustained epidemics or chronic   pathology. We suggest that interactions between nutrient enrichment and   disease will become increasingly important in tropical and subtropical   regions, where forecasted increases in nutrient application will occur   in an environmental rich with infections pathogens. We emphasize the   importance of careful disease management in conjunction with continued   intensification of global nutrient cycles.",855,NO,NO,BH,done,,,
"Kelly M. Proffitt, Justin A. Gude, Kenneth L. Hamlin, Robert A. Garrott, Julie A. Cunningham, Jamin L. Grigg",2011,Elk distribution and spatial overlap with livestock during the   brucellosis transmission risk period,JOURNAL OF APPLIED ECOLOGY,471-478,471-478,10.1111/j.1365-2664.2010.01928.x,"P>1. The presence of Brucella abortus within free-ranging wildlife   populations is an important conservation and management issue because of   the risk of brucellosis transmission between wildlife and livestock.   Predicting wildlife distributions is necessary to forecast wildlife and   livestock spatial overlap and the potential for brucellosis   transmission.   2. We used Global Positioning System data collected from   telemetry-collared female elk Cervus elaphus to develop resource   selection function (RSF) models during the brucellosis transmission risk   period (the abortion and calving periods). We validated extrapolation of   predictive models at two nearby elk ranges within the Greater   Yellowstone Ecosystem. Additionally, we integrated extrapolated RSF maps   and domestic livestock distributions to estimate the relative   probability of elk and livestock commingling during the brucellosis   transmission risk period.   3. The top-ranked model predicted that areas selected by elk had a lower   probability of wolf Canis lupus occupancy, were privately owned and   south facing, and had steeper slopes, lower road densities and higher   Normalized Difference Vegetation Index (NDVI). Elk selected forests and   shrublands over grasslands; however, the strength of selection decreased   as snowpack increased. Elk selection for privately owned lands may lead   to spatial overlap with livestock and increase the risk of elk and   livestock intermingling. Furthermore, if both elk and livestock   concentrate in areas of higher NDVI, increased spatial overlap may occur   in these areas.   4. Predictive accuracy was highest in the study area where the model was   developed. When compared to the model development area, predictive   accuracy of extrapolated RSF maps was similar or better in one of the   elk ranges and lower in the other elk range.   5. Synthesis and applications. Extrapolated RSF and spatial overlap maps   can provide a foundation for identifying the highest risk areas of elk   and livestock spatial overlap during the brucellosis transmission risk   period. However, the predictive accuracy of the models is limited when   applied to different areas. Site-specific models of spatial overlap   would therefore be needed to provide the most accurate estimates of elk   and livestock spatial overlap during the transmission risk period. The   degree to which spatial overlap may lead to actual transmission risk   needs to be investigated as this is not yet known and could have   important implications for managing transmission risk.",856,NO,NO,BH,done,,,
"Adrian Monks, Dean M. O'Connell, William G. Lee, Jennifer M. Bannister, Katharine J. M. Dickinson",2007,Benefits associated with the domatia mediated tritrophic mutualism in   the shrub Coprosma lucida,OIKOS,873-881,873-881,10.1111/j.2007.0030-1299.15654.x,"The fitness benefits of plant structural adaptations that increase the   effectiveness of fungivores against leaf pathogenic fungi are poorly   understood. In a 12-month field experiment, we investigated the effect   of domatia on mite density, the role of these mites in limiting leaf   fungi, and the associated effects on plant fitness in the endemic New   Zealand shrub, Coprosma lucida. The presence of domatia on mite density   was controlled using combinations of domatia blocking, sham blocking,   mite addition and mite control using miticide. Limiting access to   domatia reduced mite density and increased the proportion of leaves   without mites. Mite families represented were predominantly   fungivorous/detritivorous (97.2\%), and predaceous (2.6\%); herbivorous   mites were absent. Mites significantly reduced fungal hyphae, fungal   spores and pollen, but the effect was surface-(upper/lower) and   density-dependent with the greatest reduction in fungi occurring over   low mite densities. Fungal hyphae reduced leaf longevity, but were   associated with increased production of new leaves. Hyphae density on   old leaves was negatively correlated with the number of domatia produced   on new leaves. New leaves in the mite reduction treatment had slightly   reduced levels of carbon but not nitrogen. High levels of fungal   infection on the lower surface increased the number of fruit fascicles   per shoot, however on the upper surface where fungi were reduced by   mites, hyphae density was negatively related to reproduction. The data   support a limited interpretation of a fitness benefit for plants with   domatia. While domatia increased mite density, control of fungi by mites   occurred at lower average densities than supported by plants without   functioning domatia. We suggest the primary function of leaf domatia in   this mutualism is to increase the probability of a leaf-level beneficial   mite presence rather than to maximise mite density. Many mites are not   necessarily better than few mites, but some mites are better than none.",857,MAYBE,MAYBE,BH,done,yes,,
