paper ID,measureID,pathway,measure general,measure specific -- outcome variable,outcome unit - concat w measure specific,morbid_or_abund_biomass_measure,effects on host,effects on community,predictor variable,ecosystem_process_mediate,have not added double counting,double-counted effect on plants / photosynthesizers as ecosystem effect,double-counted effect on non-plant hosts as ecosystem effect,ecosystem function not linked to morbidity or abund,location in paper,note,exclude as ecosystem measure,include as ecosystem measure,reason for inclusion or exclusion as ecosystem measure,notes,confirm
53,,morbidity to ecosystem fxn,biogeochemical cycles,C:N fecal,,host phenotype,1,0,,,1,,,,,morbidity because not biomass-dependent,,,,,
53,,morbidity to ecosystem fxn,biogeochemical cycles,C:P fecal,,host phenotype,1,0,,,1,,,,,morbidity because not biomass-dependent,,,,,
53,,morbidity to ecosystem fxn,biogeochemical cycles,N:P fecal,,host phenotype,1,0,,,1,,,,,morbidity because not biomass-dependent,,,,,
53,,PP to ecosystem fxn,secondary production,cercarial production,,,0,0,,,,,,,,,,,,,
53,,abiotic or biotic,biotic,algal P concentration,,,0,0,,1,,,,,,,,,,,
53,,abiotic or biotic,biotic,Physa shell length,,,0,0,,0,,,,,,,,,,,
59,,PP to abund biomass,host abundance,tadpole density,,,1,0,,,,,,,,,,,,,
59,7,abund biomass to ecosystem fxn,primary production,organic mass (ash free dry mass),,,0,1,,,,1,,,,,,,,,
59,7,PP to abund biomass,community biomass,organic mass (ash free dry mass),,,0,1,,,,,,,,,,,,,
59,6,abund biomass to ecosystem fxn,primary production,chlorophyll a,,,0,1,,,,1,,,,,,,,,
59,6,PP to abund biomass,community biomass,chlorophyll a,,,0,1,,,,,,,,,,,,,
59,,PP to abund biomass,community composition,diatom genera biovolume,,,0,1,,,,,,,,,,,,,
59,5,PP to abund biomass,community biomass,oxygen production,,,0,1,,,,,,,,,,,,,
59,5,abund biomass to ecosystem fxn,primary production,oxygen production,,,0,1,,,,1,,,,,,,,,
59,,PP to abund biomass,community composition,abundance of invertebrate taxa,,,0,1,,,,,,,,,,,,,
59,4,abund biomass to ecosystem fxn,primary production,net primary production,,,0,1,,,,1,,,,,,,,,
59,4,PP to abund biomass,community biomass,net primary production,,,0,1,,,,,,,,,,,,,
59,3,abund biomass to ecosystem fxn,primary production,gross primary production,,,0,1,,,,,,,,,,,,,
59,3,PP to abund biomass,community biomass,gross primary production,,,0,1,,,,,,,,,,,,,
59,2,abund biomass to ecosystem fxn,primary production,community respiration,,,0,1,,,,1,,,,,,,,,
59,2,PP to abund biomass,community biomass,community respiration,,,0,1,,,,,,,,,,,,,
59,1,abund biomass to ecosystem fxn,primary production,ratio of production to respiration,,,0,1,,,,1,,,,,,,,,
59,1,PP to abund biomass,community biomass,ratio of production to respiration,,,0,1,,,,,,,,,,,,,
59,,abiotic or biotic,both,stream location (pool vs. riffle),,,0,0,,0,,,,,,,,,,,
73,1,abund biomass to ecosystem fxn,primary production,biomass feedback,,,1,0,,,,,,,,,,,,,
73,1,PP to abund biomass,primary production,biomass feedback,,,1,0,,,,1,,,,,,,,,
73,2,abund biomass to ecosystem fxn,primary production,shoot dry biomass,,,1,0,,,,,,,,,,,,,
73,2,PP to abund biomass,primary production,shoot dry biomass,,,1,0,,,,1,,,,,,,,,
73,,abiotic or biotic,both,conspecific soil addition,,,0,0,,0,,,,,,,,,,,
73,,abiotic or biotic,both,heterospecific native soil addition,,,0,0,,0,,,,,,,,,,,
73,,abiotic or biotic,both,heterospecific exotic soil addition,,,0,0,,0,,,,,,,,,,,
73,,PP to host infection prevalence / intensity,infection intensity,proportion of necrosis,,,1,0,,,,,,,,,,,,,
82,1,abund biomass to ecosystem fxn,primary production,total biomass (host plus parasite),,,1,0,,,,1,,,,,,,,,
82,1,PP to abund biomass,primary production,total biomass (host plus parasite),,,1,0,,,,,,,,,,,,"if effect of biomass on plant, that is ",
82,2,morbidity to ecosystem fxn,biogeochemical cycles,% nitrogen,,,1,0,,,,1,,,,,,,,,
82,2,PP to morbidity,host phenotype,% nitrogen,,,1,0,,,,,,,,,,,,,
82,3,abund biomass to ecosystem fxn,primary production,host biomass,,,1,0,,,,1,,,,,,,,,
82,3,PP to abund biomass,primary production,host biomass,,,1,0,,,,,,,,,,,,,
82,4,PP to abund biomass,primary production,reduction in host biomass vs. parasite biomass,,,1,0,,,,,,,,,,,,,
82,4,abund biomass to ecosystem fxn,primary production,reduction in host biomass vs. parasite biomass,,,1,0,,,,1,,,,,,,,,
82,,PP to ecosystem fxn,primary production,parasite shoot mass,,,0,0,,,,,,,,,,,,,
82,,abiotic or biotic,abiotic,nutrient level,,,,,,,,,,,,,,,,,
82,,PP to ecosystem fxn,primary production,parasite root mass,,,0,0,,,,,,,,,,,,,
82,,PP to ecosystem fxn,biogeochemical cycles,nitrogen content ,,,0,0,,,,,,,,,,,,,
82,,abiotic or biotic,biotic,host species,,,,,,0,,,,,,,,,,,
82,,PP to ecosystem fxn,primary production,parasite seed mass,,,0,0,,,,,,,,,,,,,
82,,abiotic or biotic,biotic,parasite biomass vs. host functional group,,,0,0,,0,,,,,,,,,,,
82,,PP to morbidity,host phenotype,host root mass fraction with vs. without parasite,,,1,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,mass remaining (%) vs. time (months) due to decomposition,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,litter element concentration: N,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,element concentration: P,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,element concentration: C,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,C/N,,,0,0,,,,,,,,,,,,,
108,,PP to abund biomass,community composition,bacteria CFU,,,0,1,,,,,,,,,,,,,
108,,PP to abund biomass,community composition,fungi CFU,,,0,1,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,N remaining (%),,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,C remaining (%) vs. time,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,P remaining(%) vs. time,,,0,0,,,,,,,,,,,,,
108,,PP to ecosystem fxn,biogeochemical cycles,C/N ratio vs. time,,,0,0,,,,,,,,,,,,,
114,1,PP to abund biomass,host biomass,mass,,,1,0,,,,,,,,,,,,,
114,1,abund biomass to ecosystem fxn,secondary production,mass,,,1,0,,,,,1,,,,,,,,
114,2,PP to morbidity,host phenotype,C (host composition),,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,2,morbidity to ecosystem fxn,biogeochemical cycles,C (host composition),,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,3,PP to morbidity,host phenotype,N,,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,3,morbidity to ecosystem fxn,biogeochemical cycles,N,,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,4,PP to morbidity,host phenotype,P,,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,4,morbidity to ecosystem fxn,biogeochemical cycles,P,,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,5,PP to morbidity,host phenotype,C:N,,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,5,morbidity to ecosystem fxn,biogeochemical cycles,C:N,,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,6,PP to morbidity,host phenotype,N:P,,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,6,morbidity to ecosystem fxn,biogeochemical cycles,N:P,,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,7,PP to morbidity,host phenotype,C:P,,,1,0,,,,,,,,morbidity because not dependent on biomass or abundance,,,,,
114,7,morbidity to ecosystem fxn,biogeochemical cycles,C:P,,,1,0,,,,,1,,,morbidity because not dependent on biomass or abundance,,,,,
114,,abiotic or biotic,biotic,food C:P ratio,,,0,0,,1,,,,,,,,,,,
118,1,PP to abund biomass,community,chlorophyll a,,,0,1,,,,,,,,,,,,,
118,1,abund biomass to ecosystem fxn,primary production,chlorophyll a,,,0,1,,,,,,,,,,,,,
118,,abiotic or biotic,both,pools vs. riffles,,,0,0,,0,,,,,,,,,,,
118,,PP to abund biomass,host abundance,tadpole density,,,1,0,,,,,,,,,,,,,
118,,abund biomass to ecosystem fxn,primary production,"total organic matter of benthic biofilms, measured as ash-free dry mass (AFDM)",,community biomass (?),0,1,,,1,,,,,,,,,changed from biogeochemical,
118,,abund biomass to ecosystem fxn,primary production,chlorophyll a: AFDM,,community biomass (?),0,1,,,1,,,,,,,,,changed from biogeochemical,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm d15N,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm d13C,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm %P,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm %C,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm %N,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm C:N,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm N:P,,community composition (?),0,1,,,1,,,,,,,,,,
118,,abund biomass to ecosystem fxn,biogeochemical cycles,biofilm C:P,,community composition (?),0,1,,,1,,,,,,,,,,
136,,PP to host infection prevalence / intensity,host infection intensity,number of mistletoe clumps per tree,,,1,0,,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,N: mean element concentration in leaf litter,,,0,0,,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,P: mean element concentration in leaf litter,,,0,0,,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,K: mean element concentration in leaf litter,,,0,0,,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Ca: mean element concentration in leaf litter,,,0,0,,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Mg: mean element concentration in leaf litter,,,0,0,,,,,,,,,,,,,
136,,abiotic or biotic,abiotic,month,,,0,0,,,,,,,,,,,,,
136,1,unknown to ecosystem fxn,biogeochemical cycles,litterfall,kg ha-1 year-1,,,,,,,1,,,T4,,1,,effects of PP and effects of host not separable,,
136,2,unknown to ecosystem fxn,biogeochemical cycles,N (kg ha-1 year-1),kg ha-1 year-1,,,,mistletoe (parasite) density,,,1,,,T4,,1,,effects of PP and effects of host not separable,,
136,3,unknown to ecosystem fxn,biogeochemical cycles,P,kg ha-1 year-1,,,,mistletoe (parasite) density,,,1,,,T4,,1,,effects of PP and effects of host not separable,,
136,4,unknown to ecosystem fxn,biogeochemical cycles,K ,kg ha-1 year-1,,,,mistletoe (parasite) density,,,1,,,T4,,1,,effects of PP and effects of host not separable,,
136,5,unknown to ecosystem fxn,biogeochemical cycles,Ca,kg ha-1 year-1,,,,mistletoe (parasite) density,,,1,,,T4,,1,,effects of PP and effects of host not separable,,
136,1,PP to unknown,host phenotype,litterfall,kg ha-1 year-1,,,,mistletoe (parasite) density,,,,,,T4,,1,,effects of PP and effects of host not separable,,
136,2,PP to unknown,host phenotype,N,kg ha-1 year-1,,,,mistletoe (parasite) density,,,,,,T4,,1,,effects of PP and effects of host not separable,,
136,3,PP to unknown,biogeochemical cycles,P,kg ha-1 year-1,,,,mistletoe (parasite) density,,,,,,T4,,1,,effects of PP and effects of host not separable,,
136,4,PP to unknown,host phenotype,K ,kg ha-1 year-1,,,,mistletoe (parasite) density,,,,,,T4,,1,,effects of PP and effects of host not separable,,
136,5,PP to unknown,host phenotype,Ca,kg ha-1 year-1,,,,mistletoe (parasite) density,,,,,,T4,,1,,effects of PP and effects of host not separable,,
136,,PP to ecosystem fxn,biogeochemical cycles,N: element returns,kg ha-1 year-1,,,,mistletoe,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,P: element returns,kg ha-1 year-1,,,,mistletoe,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,K: element returns,kg ha-1 year-1,,,,mistletoe,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Ca: element returns,kg ha-1 year-1,,,,mistletoe,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Mg: element returns,kg ha-1 year-1,,,,mistletoe,,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,N: nutrients of soil surface (0-10 cm),,,,,"species (host vs. mistletoe species), parasite density",,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,P: nutrients of soil surface (0-10 cm),,,,,"species (host vs. mistletoe species), parasite density",,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,K: nutrients of soil surface (0-10 cm),,,,,"species (host vs. mistletoe species), parasite density",,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Ca: nutrients of soil surface (0-10 cm),,,,,"species (host vs. mistletoe species), parasite density",,,,,,,,,,,,
136,,PP to ecosystem fxn,biogeochemical cycles,Mg: nutrients of soil surface (0-10 cm),,,,,"species (host vs. mistletoe species), parasite density",,,,,,,,,,,,
136,,unknown to ecosystem fxn,biogeochemical cycles,N: nutrients of soil surface (0-10 cm),,check,,,"species (host vs. mistletoe species), parasite density",,1,,,,,,1,,comparison to uninfected host,,
136,,unknown to ecosystem fxn,biogeochemical cycles,P: nutrients of soil surface (0-10 cm),,check,,,"species (host vs. mistletoe species), parasite density",,1,,,,,,1,,comparison to uninfected host,,
136,,unknown to ecosystem fxn,biogeochemical cycles,K: nutrients of soil surface (0-10 cm),,check,,,"species (host vs. mistletoe species), parasite density",,1,,,,,,1,,comparison to uninfected host,,
136,,unknown to ecosystem fxn,biogeochemical cycles,Ca: nutrients of soil surface (0-10 cm),,check,,,"species (host vs. mistletoe species), parasite density",,1,,,,,,1,,comparison to uninfected host,,
136,,unknown to ecosystem fxn,biogeochemical cycles,Mg: nutrients of soil surface (0-10 cm),,check,,,"species (host vs. mistletoe species), parasite density",,1,,,,,,1,,comparison to uninfected host,,
147,1,PP to abund biomass,host phenotype,daily net photosynthetic production,,,1,0,healthy leaf vs. infected leaf,,,,,,,,,,,,
147,1,abund biomass to ecosystem fxn,primary production,daily net photosynthetic production,,,1,0,healthy leaf vs. infected leaf,,,1,,,,,,,,,
147,,PP to ecosystem fxn,secondary production,ascostromal growth rate,,,0,0,,,,,,,,,,,,,
147,,PP to ecosystem fxn,secondary production,daily respiration of ascostroma,,,0,0,leaf age,,,,,,,,,,,,
147,,PP to ecosystem fxn,secondary production,carbon amount necessary for ascostromal growth,,,0,0,leaf age,,,,,,,,,,,,
147,1,PP to abund biomass,host biomass,carbon loss,,,1,0,age of infected leaf,,,,,,,,,,,,
147,2,PP to abund biomass,host biomass,carbon balance,,,1,0,age of infected leaf,,,,,,,counting host carbon balance as biomass,,,,,
147,1,abund biomass to ecosystem fxn,biogeochemical cycles,carbon loss,,,1,0,age of infected leaf,,,1,,,,,,,,changed from primary production,
147,2,abund biomass to ecosystem fxn,biogeochemical cycles,carbon balance,,,1,0,age of infected leaf,,,1,,,,,,,,,
147,,abund biomass to ecosystem fxn,primary production,net ecosystem production,,check,1,0,pathogenic effect,,1,1,,,,,,,,,
147,3,PP to abund biomass,host biomass,host production,,,1,0,,,,1,,,,counting host effect as double-count because effect was at ecosystem level,,,,,
147,3,abund biomass to ecosystem fxn,primary production,host production,,,1,0,,,,0,,,,,,,,,
147,,PP to ecosystem fxn,primary production,pathogenic respiration,,,0,0,,,,,,,,,,,,,
147,,PP to ecosystem fxn,secondary production,carbon flow from above ground biomass to soil carbon via pathogen on host leaves,,,0,0,,,,,,,,,,,,,
147,,PP to host infection prevalence / intensity,host infection intensity,ascostromal area vs. leaf age,,,0,0,,,,,,,,,,,,,
170,,PP to ecosystem fxn,biogeochemical cycles,N release,%,,0,0,time,,,,,,,,,,,,
170,,PP to ecosystem fxn,biogeochemical cycles,% mass,,,0,0,time,,,,,,,litter decomposition as biogeochemical cycles,,,,,
170,,PP to ecosystem fxn,biogeochemical cycles,N release ,g m-2,,0,0,,,,,,,,,,,,,
170,1,PP to abund biomass,host biomass,graminoid (host),%,,1,0,weeding (parasite removal),,,,,,,,,,,,
170,2,PP to abund biomass,non-host community biomass,forb,,,0,1,weeding (parasite removal),,,,,,,,,,,,
170,3,PP to abund biomass,non-host community biomass,ericaceous,,,0,1,weeding (parasite removal),,,,,,,,,,,,
170,4,PP to abund biomass,biomass,total biomass,,,1,1,weeding (parasite removal),,,,,,,,,,,,
170,1,abund biomass to ecosystem fxn,primary production,graminoid community (include host),,,1,1,weeding (parasite removal),,,1,,,,not described as primary production hence this is the double-counted part,,,,,
170,2,abund biomass to ecosystem fxn,primary production,forb,,,0,1,weeding (parasite removal),,,1,,,,,,,,,
170,3,abund biomass to ecosystem fxn,primary production,ericaceous,,,0,1,weeding (parasite removal),,,1,,,,,,,,,
170,4,abund biomass to ecosystem fxn,primary production,total biomass,,,1,1,weeding (parasite removal),,,,,,,,,,,,
170,5,PP to abund biomass,host biomass,potential host biomass,,,1,0,weeding (parasite removal),,,,,,,,,,,,
170,6,PP to abund biomass,host+PP biomass,shoot total biomass,,,1,0,weeding (parasite removal),,,,,,,,,,,,
170,7,PP to abund biomass,community biomass,graminoid (includes hosts) biomass,,,1,1,weeding (parasite removal),,,,,,,,,,,,
170,8,PP to abund biomass,community biomass,forb biomass,,,0,1,weeding (parasite removal),,,,,,,,,,,,
170,5,abund biomass to ecosystem fxn,primary production,potential host biomass,,,1,0,weeding (parasite removal),,,1,,,,,,,,,
170,6,abund biomass to ecosystem fxn,primary production,shoot total biomass,,,?,?,weeding (parasite removal),,,1,,,,,,,,,
170,7,abund biomass to ecosystem fxn,primary production,graminoid (includes hosts) biomass,,,1,1,weeding (parasite removal),,,1,,,,,,,,,
170,8,abund biomass to ecosystem fxn,primary production,forb biomass,,,0,1,weeding (parasite removal),,,1,,,,,,,,,
170,,abiotic or biotic,abiotic,mesotrophic vs. oligotrophic,,,0,0,,,,,,,,,,,,,
228,,abiotic or biotic,biotic,host community diversity,,,1,0,number of plant species,0,,,,,,,,,,,
228,,PP to host infection prevalence / intensity,infection prevalence,non-mycorrhizal (pathogenic/parasitic/saprophytic) infection,,,1,0,,,,,,,,count infection prevalence as morbidity / phenotype,,,,,
228,1,PP to abund biomass,biomass,total plant biomass,,,1,?,,,,,,,,,,,,,
228,1,abund biomass to ecosystem fxn,primary production,total plant biomass,,,1,?,,,,1,,,,,,,,,
228,,abiotic or biotic,biotic,sterile vs. field soil (with PP added),,,0,0,,0,,,,,,,,,,,
228,,PP to host infection prevalence / intensity,infection intensity,diease severity (proportion of root length with disease lesions),,,1,0,,,,,,,,"exclude because not effect of PP; not double-counting effects of PP on plant morbidity, because not clearly affecting biomass",1,,PP outcome rather than predictor variable; can't distinguish effects of beneficial vs. PP ,,
228,,PP to host infection prevalence / intensity,infection prevalence,incidence of disease (number root disease lesions),,,1,0,,,,,,,,,1,,PP outcome rather than predictor variable,,
228,,abiotic or biotic,biotic,home vs. away other plant grown,,,0,0,,0,,,,,,,1,,PP outcome rather than predictor variable,,
228,2,PP to abund biomass,productivity,biomass ,,,1,0,,,,,,,,,,,,,
228,2,abund biomass to ecosystem fxn,primary production,biomass,,,1,0,,,,1,,,,,,,,,
246,1,PP to abund biomass,infection prevalence,frequency of stem rot,,,1,0,,,,,,,,,1,,not biomass,,
246,2,PP to host infection prevalence / intensity,infection intensity,stem rot severity  (mean % volume loss),,,1,0,,,,,,,,,,,,,
246,3,abund biomass to ecosystem fxn,primary production,stand-level stem biomass lost to rot,,,1,0,,,,,,,,,,,,,
246,,PP to host infection prevalence / intensity,host infection prevalence,frequency of stem rot,,,1,0,,,,,,,,,,,,,
246,,abiotic or biotic,abiotic,soil association,,,,,,,,,,,,,,,,,
247,1,PP to host infection prevalence / intensity,infection prevalence,endopytism: percentage of plant tissues positive for endophytic M. brunneum,,,1,0,,,,,,,,,,,,,
247,1,abiotic or biotic,abiotic,fertilizer,,,,,,,,,,,,,,,,,
247,2,PP to abund biomass,biomass,dry shoot and leaf biomass,,,1,0,,,,,,,,,,,,,
247,2,abund biomass to ecosystem fxn,primary production,dry shoot and leaf biomass,,,1,0,,,,1,,,,,,,,,
247,3,abund biomass to ecosystem fxn,host biomass,leaf surface area,,host biomass,1,0,,,1,,,,,,,,,,
247,4,PP to abund biomass,biomass,quantum yield,,,1,0,,,,,,,,,,,,,
247,4,abund biomass to ecosystem fxn,primary production,quantum yield,,,1,0,,,,1,,,,,,,,,
247,5,PP to abund biomass,host production,CO2 assimilation,,,1,0,,,,,,,,"assimilation results in change in biomass, hence abund/biomass",,,,,
247,5,abund biomass to ecosystem fxn,primary production,CO2 assimilation,,,1,0,,,,1,,,,"assimilation results in change in biomass, hence abund/biomass",,,,,
247,6,PP to morbidity,host phenotype,stomatal conductance,,,1,0,,,,,,,,,,,,,
247,7,morbidity to ecosystem fxn,biogeochemical cycles,water use efficiency,,host phenotype,1,0,,,1,,,,,,,,,,
247,8,PP to unknown,host phenotype or biomass,N per plant,,,1,0,,,,,,,,unknown because cannot distinguish between biomass effect vs. phenotype,,,,,
247,8,unknown to ecosystem fxn,biogeochemical cycles,N per plant,,,1,0,,,,,,,,unknown because cannot distinguish between biomass effect vs. phenotype,,,,,
247,9,PP to unknown,host phenotype or biomass,P per plant,,,1,0,,,,,,,,,,,,,
247,9,unknown to ecosystem fxn,biogeochemical cycles,P per plant,,,1,0,,,,,,,,,,,,,
254,1,PP to abund biomass,host biomass,Calamagrostis epigejos biomass,,,1,0,year,,,,,,,,,,,,
254,1,abund biomass to ecosystem fxn,primary production,Calamagrostis epigejos biomass,,,1,0,year,,,1,,,,,,,,,
254,2,abund biomass to ecosystem fxn,primary production,herb layer cover,,non-host community biomass,0,1,year,,1,,,,,,,,,,
254,3,PP to abund biomass,non-host community,proportion of cover of Brachypodio-molinietum spp. ,,,0,1,year,,,,,,,,,,,,
254,4,PP to abund biomass,non-host community,relative frequency of threatened spp. ,,,0,1,year,,,,,,,,,,,,
254,,abiotic or biotic,biotic,mowing,,,,,,0,,,,,,,,,,,
255,1,PP to ecosystem fxn,biogeochemical cycles,Symbodinium C:N,,,0,0,depth,,,,,,,,,,,,
255,2,PP to ecosystem fxn,biogeochemical cycles,Symbodinium %C,,,0,0,,,,,,,,,,,,,
255,3,PP to morbidity,host phenotype,host tissue %C,,,1,0,,,,,,,,,,,,,
255,3,morbidity to ecosystem fxn,biogeochemical cycles,host tissue %C,,,1,0,,,,1,,,,,,,,,
255,4,PP to ecosystem fxn,primary production,Symbodinium mitotic index,,,0,0,,,,,,,,,,,,,
255,5,PP to morbidity,host phenotype,d15N host ,,,1,0,,,,,,,,"d15n is ratio of 15N:14N, so it is a phenotype measure",,,,,
255,5,morbidity to ecosystem fxn,biogeochemical cycles,d15N host ,,,1,0,,,,1,,,,,,,,,
255,6,PP to morbidity,host phenotype,d13C host,,,1,0,,,,,,,,,,,,,
255,6,morbidity to ecosystem fxn,biogeochemical cycles,d13C host,,,1,0,,,,1,,,,,,,,,
255,7,PP to ecosystem fxn,biogeochemical cycles,d15C Symbiodinium,,,0,0,,,,,,,,,,,,,
255,8,PP to ecosystem fxn,biogeochemical cycles,d13C host Symbiodinium,,,0,0,,,,,,,,,,,,,
255,9,PP to ecosystem fxn,biogeochemical cycles,difference between atom %13C enrichment of Symbiodinium and host,,,1,0,,,,,,,,,,,,,
255,10,PP to ecosystem fxn,biogeochemical cycles,difference between atom %15N enrichment of Symbiodinium and host,,,1,0,,,,,,,,,,,,,
255,11,PP to ecosystem fxn,biogeochemical cycles,atom %13C enrichment of Symbiodinium,,,0,0,,,,,,,,,,,,,
255,12,PP to ecosystem fxn,biogeochemical cycles,atom %15N enrichment of Symbiodinium,,,0,0,,,,,,,,,,,,,
255,13,PP to morbidity,host phenotype,atom %13C enrichment of host,,,1,0,,,,,,,,,,,,,
255,13,morbidity to ecosystem fxn,biogeochemical cycles,atom %13C enrichment of host,,,1,0,,,,,,,,,,,,,
255,14,PP to morbidity,host phenotype,atom %15N enrichment of host,,,1,0,,,,,,,,,,,,,
255,14,morbidity to ecosystem fxn,biogeochemical cycles,atom %15N enrichment of host,,,1,0,,,,,,,,,,,,,
255,,abiotic or biotic,abiotic,depth,,,,,,,,,,,,,,,,,
255,,abiotic or biotic,abiotic,temperature,,,,,,,,,,,,,,,,,
263,1,PP to host infection prevalence / intensity,infection prevalence,proportion of individuals affected by pathogens,,,1,0,,,,,,,,,,,,,
263,2,PP to abund biomass,biomass,growth,,,1,0,,,,,,,,,,,,,
263,2,abund biomass to ecosystem fxn,primary production,growth,,,1,0,,,,1,,,,,,,,,
263,3,PP to abund biomass,survival,probability of survival,,,1,0,,,,,,,,,1,,,,
263,4,PP to morbidity,host phenotype,probability of flowering,,,1,0,,,,,,,,,,,,,
263,5,PP to abund biomass,reproduction,seed production,,,1,0,,,,,,,,,,,,,
263,5,abund biomass to ecosystem fxn,primary production,seed production,,,1,0,,,,1,,,,,1,,not standing stock,,
263,6,PP to abund biomass,population growth,population growth rate,,,1,0,,,,,,,,,,,,,
