"","paper.ID","year","author","title","Pathogen.kingdom","pathogen.kingdom.notes","Host.kingdom","host.kingdom.notes","System","System.2","System.2.simplified","PP.to.ecosystem.fxn","PP.abundance","PP.morbidity","PP.to.host.infection.prevalence...intensity","PP.to.abund.biomass","PP.to.morbidity","PP.to.unknown","abund.biomass.to.ecosystem.fxn","morbidity.to.ecosystem.fxn","unknown.to.ecosystem.fxn","ecosystem.fxn.to.PP","abiotic.or.biotic","location","note.x","experimental..PP.manipulation.or.mimic...1..observational..2..both..3.","process.vs..standing.stock.vs..both","process.vs..standing.stock.notes","highest.observational.scale..species.vs..community.ecosystem..of.ecosystem.impact","type.of.manipulation.or.comparison","spatial.scale","coordinates.in.paper","date.processed","time.start","time.end","time.elapsed","date.quant.data","time.elapsed.1","digitizing.time","figures.digitized","note.on.quant","exclude","reason.for.excluding","measureID","pathway","measure.general","measure.specific....outcome.variable","data.to.use","regression.coefficient","regression.coefficient.SE","regression.or.correlation","percent","value","digitizable.or.raw.data.available","variable.greater.without.pathogen.parasite","direction","note.directionality.of.effect","test.statistic.bounded.below","percent.difference","P","F","df","groups","t","sample.size.total","sample.size.control","sample.size.infected","secondary_factor","secondary_factor_level","tertiary_factor","tertiary_factor_level","quaternary.factor","quaternary.factor.level","variance.measure","control.mean","control.variance","variance.not.reported","control.CI.lower","control.CI.upper","infected.mean","infected.variance","infected.CI.lower","infected.CI.upper","correlation.coefficient","R.squared","R.squared.se","U","digitized_data","predictor.variable","predictor.value","predictor.unit","outcome.unit...concat.w.measure.specific","morbid_or_abund_biomass_measure","effects.on.host","effects.on.community","ecosystem_process_mediate","have.not.added.double.counting","double.counted.effect.on.plants...photosynthesizers.as.ecosystem.effect","double.counted.effect.on.non.plant.hosts.as.ecosystem.effect","ecosystem.function.not.linked.to.morbidity.or.abund","location.in.paper","note.y","exclude.as.ecosystem.measure","include.as.ecosystem.measure","reason.for.inclusion.or.exclusion.as.ecosystem.measure","notes","confirm"
"11",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","C:P of parasite","t _ sample size _ test statistic bounded",NA,NA,"",NA,NA,NA,NA,NA,"",1,NA,"",NA,NA,NA,0.74,38,19,19,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"12",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","C:N of parasite","t _ sample size _ test statistic bounded",NA,NA,"",NA,NA,NA,NA,NA,"",1,NA,"",NA,NA,NA,0.74,38,19,19,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"13",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","% phosphorous of parasite","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"14",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","N:P of parasite","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"15",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","secondary production","cercarial production","not measured on its own -- only measured in relation to abiotic or biotic factors",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"16",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","abiotic or biotic","biotic","algal P concentration","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",1,NA,NA,NA,NA,"","",NA,"","","",""
"17",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","abiotic or biotic","biotic","Physa shell length","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",0,NA,NA,NA,NA,"","",NA,"","","",""
"18",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","unknown to ecosystem fxn","biogeochemical cycles","N excretion by host","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,18,18,"","","","","",NA,"SE","2.2400",0.21,NA,NA,NA,"4.66",0.45,NA,NA,NA,NA,NA,NA,0,"","","","umol N g-1 h-1","","1","0",NA,"",NA,NA,NA,"","unknown because cannot distinguish effects of biomass vs. function of biomass that is there",NA,"","","",""
"19",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","",NA,"","N excretion by host","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,18,18,"","","","","",NA,"SE","2.2400",0.21,NA,NA,NA,"4.66",0.45,NA,NA,NA,NA,NA,NA,0,"","","","umol N g-1 h-1","","1","0",NA,"",NA,NA,NA,"","unknown because cannot distinguish effects of biomass vs. function of biomass that is there",NA,"","","",""
"20",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","unknown to ecosystem fxn","biogeochemical cycles","P excretion by host","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,18,18,"","","","","",NA,"SE","0.1700",0.01,NA,NA,NA,"0.22",0.01,NA,NA,NA,NA,NA,NA,NA,"","","","","","1","0",NA,"",NA,NA,NA,"","unknown because cannot distinguish effects of biomass vs. function of biomass that is there",NA,"","","",""
"21",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","",NA,"","P excretion by host","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,18,18,"","","","","",NA,"SE","0.1700",0.01,NA,NA,NA,"0.22",0.01,NA,NA,NA,NA,NA,NA,NA,"","","","","","1","0",NA,"",NA,NA,NA,"","unknown because cannot distinguish effects of biomass vs. function of biomass that is there",NA,"","","",""
"22",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","morbidity to ecosystem fxn","biogeochemical cycles","N:P excreta infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,0,NA,"",NA,NA,"<0.01",54.62,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"23",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to morbidity","host phenotype","N:P excreta infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,0,NA,"",NA,NA,"<0.01",54.62,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"24",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","morbidity to ecosystem fxn","biogeochemical cycles","C:N fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.21",1.62,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"25",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to morbidity","host phenotype","C:N fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.21",1.62,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"26",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","morbidity to ecosystem fxn","biogeochemical cycles","C:P fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.66",0.19,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"27",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to morbidity","host phenotype","C:P fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.66",0.19,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"28",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","morbidity to ecosystem fxn","biogeochemical cycles","N:P fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.64",0.2,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
"29",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to morbidity","host phenotype","N:P fecal infected vs. uninfected","one-way ANVOA F _ degrees freedom",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0.64",0.2,56,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","host phenotype","1","0",NA,"",NA,NA,NA,"","morbidity because not biomass-dependent",NA,"","","",""
