"","pathway.number","pathway","measure.general","measure.specific....outcome.variable","community","host","count"
"39",3,"abiotic or biotic","abiotic","soil association",NA,NA,1
"40",3,"abiotic or biotic","abiotic","soil depth",NA,NA,2
"41",3,"abiotic or biotic","abiotic","soil moisture",NA,NA,1
"42",3,"abiotic or biotic","abiotic","surface depth",NA,NA,1
"43",3,"abiotic or biotic","abiotic","temp",NA,NA,1
"44",3,"abiotic or biotic","abiotic","temperature",NA,NA,8
"45",3,"abiotic or biotic","abiotic","time",NA,NA,1
"46",3,"abiotic or biotic","abiotic","UV-B reduction",NA,NA,1
"47",3,"abiotic or biotic","abiotic","water affected by ice melting vs. not",NA,NA,1
"48",3,"abiotic or biotic","abiotic","water-holding capacity",NA,NA,1
"49",3,"abiotic or biotic","abiotic","year",NA,NA,3
"50",3,"abiotic or biotic","biotic","% bare soil",NA,NA,1
"51",3,"abiotic or biotic","biotic","above ground vs. below ground",NA,NA,1
"52",3,"abiotic or biotic","biotic","aboveground vs. belowground",NA,NA,2
"53",3,"abiotic or biotic","biotic","algal P concentration",NA,NA,1
"54",3,"abiotic or biotic","biotic","AMF",NA,NA,1
"55",3,"abiotic or biotic","biotic","AMF presence and taxa",NA,NA,1
"56",3,"abiotic or biotic","biotic","AMF taxa",NA,NA,1
"57",3,"abiotic or biotic","biotic","AMF vs. not",NA,NA,1
"58",3,"abiotic or biotic","biotic","bark beetle outbreak",NA,NA,1
"59",3,"abiotic or biotic","biotic","bateria-feeding nematode abundance",NA,NA,1
"60",3,"abiotic or biotic","biotic","bay laurel infection",NA,NA,1
"61",3,"abiotic or biotic","biotic","blocked domatia",NA,NA,1
"62",3,"abiotic or biotic","biotic","blocked lamina",NA,NA,1
"63",3,"abiotic or biotic","biotic","carb herbivory damage",NA,NA,1
"64",3,"abiotic or biotic","biotic","CCA cover",NA,NA,1
"65",3,"abiotic or biotic","biotic","Chl a",NA,NA,1
"66",3,"abiotic or biotic","biotic","chlorophyll a",NA,NA,2
"67",3,"abiotic or biotic","biotic","colony height class",NA,NA,1
"68",3,"abiotic or biotic","biotic","community composition",NA,NA,1
"69",3,"abiotic or biotic","biotic","community functional feeding group",NA,NA,1
"70",3,"abiotic or biotic","biotic","community functional group",NA,NA,2
"71",3,"abiotic or biotic","biotic","community functional group (plants)",NA,NA,1
"72",3,"abiotic or biotic","biotic","community phenotype",NA,NA,1
"73",3,"abiotic or biotic","biotic","community species",NA,NA,1
"74",3,"abiotic or biotic","biotic","community species composition",NA,NA,1
"75",3,"abiotic or biotic","biotic","community taxa",NA,NA,13
"76",3,"abiotic or biotic","biotic","Daphnia",NA,NA,1
"77",3,"abiotic or biotic","biotic","DBH diameter class",NA,NA,1
"78",3,"abiotic or biotic","biotic","diet C:P ratio",NA,NA,2
"79",3,"abiotic or biotic","biotic","disease incidence on mature leaves",NA,NA,1
"80",3,"abiotic or biotic","biotic","disease rating",NA,NA,1
"81",3,"abiotic or biotic","biotic","distance to prey",NA,NA,1
"82",3,"abiotic or biotic","biotic","earthworm addition",NA,NA,1
"83",3,"abiotic or biotic","biotic","endophyte infection",NA,NA,1
"84",3,"abiotic or biotic","biotic","fish [host] tissue",NA,NA,1
"85",3,"abiotic or biotic","biotic","flower richness",NA,NA,1
"86",3,"abiotic or biotic","biotic","food C:P ratio",NA,NA,1
"87",3,"abiotic or biotic","biotic","forest type",NA,NA,1
"88",3,"abiotic or biotic","biotic","forest type (open vs. closed)",NA,NA,1
"89",3,"abiotic or biotic","biotic","forest type woodlands vs. closed",NA,NA,1
"90",3,"abiotic or biotic","biotic","forest type: mixed evergreen vs. redwood",NA,NA,1
"91",3,"abiotic or biotic","biotic","fraction of carbon consumed by microzooplankton",NA,NA,1
"92",3,"abiotic or biotic","biotic","functional group",NA,NA,1
"93",3,"abiotic or biotic","biotic","functional group (grass, non-legume forb, legume)",NA,NA,1
"94",3,"abiotic or biotic","biotic","fungal-feeding nematode abundance",NA,NA,1
"95",3,"abiotic or biotic","biotic","gall sex",NA,NA,1
"96",3,"abiotic or biotic","biotic","grass addition",NA,NA,1
"97",3,"abiotic or biotic","biotic","grasses vs. herbs",NA,NA,1
"98",3,"abiotic or biotic","biotic","grazed vs. ungrazed",NA,NA,1
"99",3,"abiotic or biotic","biotic","guild",NA,NA,1
"100",3,"abiotic or biotic","biotic","habit (perennial, annual, annual/perennial)",NA,NA,1
"101",3,"abiotic or biotic","biotic","harvest",NA,NA,1
"102",3,"abiotic or biotic","biotic","herbivore damage",NA,NA,1
"103",3,"abiotic or biotic","biotic","heritability in pathogen susceptibility",NA,NA,1
"104",3,"abiotic or biotic","biotic","high nucleic acid contents prokaryotes",NA,NA,1
"105",3,"abiotic or biotic","biotic","host [beech] vs. community [sugar maple]",NA,NA,1
"106",3,"abiotic or biotic","biotic","host abundance",NA,NA,2
"107",3,"abiotic or biotic","biotic","host age",NA,NA,1
"108",3,"abiotic or biotic","biotic","host and community taxa",NA,NA,3
"109",3,"abiotic or biotic","biotic","host and community taxa abundance",NA,NA,1
"110",3,"abiotic or biotic","biotic","host and community taxa height",NA,NA,1
"111",3,"abiotic or biotic","biotic","host biomass",NA,NA,3
"112",3,"abiotic or biotic","biotic","host combination",NA,NA,1
"113",3,"abiotic or biotic","biotic","host community diversity",NA,NA,1
"114",3,"abiotic or biotic","biotic","host density",NA,NA,1
"115",3,"abiotic or biotic","biotic","host fecundity",NA,NA,1
"116",3,"abiotic or biotic","biotic","host functional group",NA,NA,2
"117",3,"abiotic or biotic","biotic","host gender",NA,NA,1
"118",3,"abiotic or biotic","biotic","host habit (annual, perennial, biennial)",NA,NA,1
"119",3,"abiotic or biotic","biotic","host new growth vs. old growth",NA,NA,1
"120",3,"abiotic or biotic","biotic","host part (root vs. shoot vs panicle)",NA,NA,1
"121",3,"abiotic or biotic","biotic","host resistant vs. susceptible seeds",NA,NA,1
"122",3,"abiotic or biotic","biotic","host sex",NA,NA,1
"123",3,"abiotic or biotic","biotic","host shell length",NA,NA,1
"124",3,"abiotic or biotic","biotic","host size",NA,NA,1
"125",3,"abiotic or biotic","biotic","host species",NA,NA,2
"126",3,"abiotic or biotic","biotic","host taxa",NA,NA,12
"127",3,"abiotic or biotic","biotic","host taxa arrival order",NA,NA,1
"128",3,"abiotic or biotic","biotic","host taxa composition (infection status of bay laurel and tanoak)",NA,NA,1
"129",3,"abiotic or biotic","biotic","host taxa: evergreen vs. deciduous",NA,NA,1
"130",3,"abiotic or biotic","biotic","host taxa: native vs. exotic",NA,NA,1
"131",3,"abiotic or biotic","biotic","host tissue",NA,NA,1
"132",3,"abiotic or biotic","biotic","host vs. community species",NA,NA,1
"133",3,"abiotic or biotic","biotic","housing individual vs. microcosm",NA,NA,1
"134",3,"abiotic or biotic","biotic","initial scaled healthy area x",NA,NA,1
"135",3,"abiotic or biotic","biotic","initial wood volume",NA,NA,1
"136",3,"abiotic or biotic","biotic","insecticide",NA,NA,1
"137",3,"abiotic or biotic","biotic","insects",NA,NA,1
"138",3,"abiotic or biotic","biotic","invertebrate taxa and functional groups",NA,NA,1
"139",3,"abiotic or biotic","biotic","leaf class (old, mature, immature)",NA,NA,1
"140",3,"abiotic or biotic","biotic","leaf phenology of the host",NA,NA,1
"141",3,"abiotic or biotic","biotic","leaf surface: abaxial vs. adaxial",NA,NA,1
"142",3,"abiotic or biotic","biotic","litter presence vs. absence",NA,NA,1
"143",3,"abiotic or biotic","biotic","macroalgal species and functional groups",NA,NA,1
"144",3,"abiotic or biotic","biotic","macroinvertebrate functional group",NA,NA,1
"145",3,"abiotic or biotic","biotic","microarthropods",NA,NA,1
"146",3,"abiotic or biotic","biotic","microorganisms",NA,NA,2
"147",3,"abiotic or biotic","biotic","microzooplankton grazing",NA,NA,1
"148",3,"abiotic or biotic","biotic","mites per leaf",NA,NA,1
"149",3,"abiotic or biotic","biotic","miticide",NA,NA,1
"150",3,"abiotic or biotic","biotic","mowing",NA,NA,1
"151",3,"abiotic or biotic","biotic","native vs. exotic",NA,NA,1
"152",3,"abiotic or biotic","biotic","nematode food web enrichment index",NA,NA,1
"153",3,"abiotic or biotic","biotic","nematode food web structure index",NA,NA,1
"154",3,"abiotic or biotic","biotic","nematodes",NA,NA,1
"155",3,"abiotic or biotic","biotic","niche breadth",NA,NA,1
"156",3,"abiotic or biotic","biotic","niche marginality",NA,NA,1
"157",3,"abiotic or biotic","biotic","nitrate addition",NA,NA,1
"158",3,"abiotic or biotic","biotic","number of tree stems",NA,NA,1
"159",3,"abiotic or biotic","biotic","number of trees",NA,NA,1
"160",3,"abiotic or biotic","biotic","P life stage",NA,NA,1
"161",3,"abiotic or biotic","biotic","P taxa",NA,NA,1
"162",3,"abiotic or biotic","biotic","P-plants vs. G-plants (produce different compounds)",NA,NA,1
"163",3,"abiotic or biotic","biotic","parasite biomass vs. host functional group",NA,NA,1
"164",3,"abiotic or biotic","biotic","parasite taxa",NA,NA,1
"165",3,"abiotic or biotic","biotic","percent cover of conifer plantation habitat",NA,NA,1
"166",3,"abiotic or biotic","biotic","phototrophic nanoflagellate abundance",NA,NA,1
"167",3,"abiotic or biotic","biotic","Physa shell length",NA,NA,1
"168",3,"abiotic or biotic","biotic","pollinated plant species",NA,NA,1
"169",3,"abiotic or biotic","biotic","PP dose",NA,NA,1
"170",3,"abiotic or biotic","biotic","PP life stage",NA,NA,1
"171",3,"abiotic or biotic","biotic","PP part",NA,NA,1
"172",3,"abiotic or biotic","biotic","PP taxa",NA,NA,6
"173",3,"abiotic or biotic","biotic","previous crown transparency",NA,NA,1
"174",3,"abiotic or biotic","biotic","prey density",NA,NA,1
"175",3,"abiotic or biotic","biotic","prey functional group",NA,NA,1
"176",3,"abiotic or biotic","biotic","primary infection",NA,NA,1
"177",3,"abiotic or biotic","biotic","principal component of chemical leaf traits",NA,NA,1
"178",3,"abiotic or biotic","biotic","principal component of morphology",NA,NA,1
"179",3,"abiotic or biotic","biotic","prokaryotic abundance",NA,NA,1
"180",3,"abiotic or biotic","biotic","rabbits",NA,NA,1
"181",3,"abiotic or biotic","biotic","redwood density",NA,NA,1
"182",3,"abiotic or biotic","biotic","redwood vs. mixed",NA,NA,1
"183",3,"abiotic or biotic","biotic","remineralizing bacterial assemblage",NA,NA,1
"184",3,"abiotic or biotic","biotic","sapling young vs. sapling old",NA,NA,1
"185",3,"abiotic or biotic","biotic","sex",NA,NA,1
"186",3,"abiotic or biotic","biotic","shade",NA,NA,1
"187",3,"abiotic or biotic","biotic","snail host taxa",NA,NA,1
"188",3,"abiotic or biotic","biotic","soil organic matter",NA,NA,1
"189",3,"abiotic or biotic","biotic","sterile vs. field soil (with PP added)",NA,NA,1
"190",3,"abiotic or biotic","biotic","sterilization",NA,NA,2
"191",3,"abiotic or biotic","biotic","tanoak infection",NA,NA,1
"192",3,"abiotic or biotic","biotic","taxa",NA,NA,1
"193",3,"abiotic or biotic","biotic","taxa/functional group (infected orthopterans; terrestrial invertebrates; aquatic invertebrates)",NA,NA,1
"194",3,"abiotic or biotic","biotic","tissue: PP leaf vs. reproductive",NA,NA,1
"195",3,"abiotic or biotic","biotic","total nematode abundance",NA,NA,1
"196",3,"abiotic or biotic","biotic","total organic carbon",NA,NA,1
"197",3,"abiotic or biotic","biotic","tree [host] size",NA,NA,1
"198",3,"abiotic or biotic","biotic","tree height (m)",NA,NA,1
"199",3,"abiotic or biotic","biotic","tree size",NA,NA,1
"200",3,"abiotic or biotic","biotic","tree species",NA,NA,1
"201",3,"abiotic or biotic","biotic","tree species richness",NA,NA,1
"202",3,"abiotic or biotic","biotic","tree turnover rate",NA,NA,1
"203",3,"abiotic or biotic","biotic","tubificid species combination",NA,NA,1
"204",3,"abiotic or biotic","biotic","understory vs. overstory",NA,NA,1
"205",3,"abiotic or biotic","biotic","upper vs. lower canopy",NA,NA,1
"206",3,"abiotic or biotic","biotic","upper vs. lower leaf surface",NA,NA,1
"207",3,"abiotic or biotic","biotic","vegetation type",NA,NA,1
"208",3,"abiotic or biotic","biotic","visitation rate",NA,NA,1
"209",3,"abiotic or biotic","biotic","zooplankton",NA,NA,1
"210",3,"abiotic or biotic","both","burned vs. unburned",NA,NA,1
"211",3,"abiotic or biotic","both","conspecific soil addition",NA,NA,1
"212",3,"abiotic or biotic","both","disturbance",NA,NA,1
"213",3,"abiotic or biotic","both","field site",NA,NA,1
"214",3,"abiotic or biotic","both","fire",NA,NA,1
"215",3,"abiotic or biotic","both","forereef vs. backreef",NA,NA,1
"216",3,"abiotic or biotic","both","heterospecific exotic soil addition",NA,NA,1
"217",3,"abiotic or biotic","both","heterospecific native soil addition",NA,NA,1
"218",3,"abiotic or biotic","both","lake",NA,NA,1
"219",3,"abiotic or biotic","both","lake strata (epi, meta, hypolimnion)",NA,NA,1
"220",3,"abiotic or biotic","both","land-use index",NA,NA,1
"221",3,"abiotic or biotic","both","location",NA,NA,1
"222",3,"abiotic or biotic","both","months from start of experiment",NA,NA,1
"223",3,"abiotic or biotic","both","plot",NA,NA,1
"224",3,"abiotic or biotic","both","pond",NA,NA,1
"225",3,"abiotic or biotic","both","pools vs. riffles",NA,NA,1
"226",3,"abiotic or biotic","both","region",NA,NA,1
"227",3,"abiotic or biotic","both","river location",NA,NA,1
"228",3,"abiotic or biotic","both","shading",NA,NA,1
"229",3,"abiotic or biotic","both","site",NA,NA,10
"230",3,"abiotic or biotic","both","stirring",NA,NA,1
"231",3,"abiotic or biotic","both","stream",NA,NA,1
"232",3,"abiotic or biotic","both","stream location (pool vs. riffle)",NA,NA,1
"233",3,"abiotic or biotic","both","water + nutrient",NA,NA,1
"234",3,"abiotic or biotic","both","years since treated",NA,NA,1
"235",3,"abiotic or biotic","community consumption","flagellate grazing rate",NA,NA,1
"236",3,"abiotic or biotic","community taxa","grass species",NA,NA,1
"237",3,"abiotic or biotic","neither","observer",NA,NA,1
"238",2,"abund biomass to ecosystem fxn","biogeochemical cycles","ammonium concentrations",NA,NA,1
"239",2,"abund biomass to ecosystem fxn","biogeochemical cycles","ammonium NH4-N",NA,NA,1
"240",2,"abund biomass to ecosystem fxn","biogeochemical cycles","ammonium uptake length",NA,NA,1
"241",2,"abund biomass to ecosystem fxn","biogeochemical cycles","bacterial carbon channelled by viruses",NA,NA,1
"242",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm %C",NA,NA,1
"243",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm %N",NA,NA,1
"244",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm %P",NA,NA,1
"245",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm C:N",NA,NA,1
"246",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm C:P",NA,NA,1
"247",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm d13C",NA,NA,1
"248",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm d15N",NA,NA,1
"249",2,"abund biomass to ecosystem fxn","biogeochemical cycles","biofilm N:P",NA,NA,1
"250",2,"abund biomass to ecosystem fxn","biogeochemical cycles","C",NA,NA,2
"251",2,"abund biomass to ecosystem fxn","biogeochemical cycles","C released by viral lysis",NA,NA,1
"252",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon balance",NA,NA,1
"253",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon loss",NA,NA,1
"254",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon lost to infection",NA,NA,1
"255",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon production",NA,NA,1
"256",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon released per day",NA,NA,1
"257",2,"abund biomass to ecosystem fxn","biogeochemical cycles","carbon remineralization due to viral-mediated shunt (dissolved inorganic 13C)",NA,NA,1
"258",2,"abund biomass to ecosystem fxn","biogeochemical cycles","chytridivory / chytrid pathway (ratio ingested / total production)",NA,NA,1
"259",2,"abund biomass to ecosystem fxn","biogeochemical cycles","CO2 assimilation",NA,NA,1
"260",2,"abund biomass to ecosystem fxn","biogeochemical cycles","coarse particulate organic matter",NA,NA,2
"261",2,"abund biomass to ecosystem fxn","biogeochemical cycles","coarse particulate organic matter concentration",NA,NA,1
"262",2,"abund biomass to ecosystem fxn","biogeochemical cycles","coarse particulate organic matter turnover",NA,NA,1
"263",2,"abund biomass to ecosystem fxn","biogeochemical cycles","decline in N fixation",NA,NA,1
"264",2,"abund biomass to ecosystem fxn","biogeochemical cycles","decomposition rate",NA,NA,1
"265",2,"abund biomass to ecosystem fxn","biogeochemical cycles","dissolved organic carbon",NA,NA,1
"266",2,"abund biomass to ecosystem fxn","biogeochemical cycles","dung biomass removed",NA,NA,1
"267",2,"abund biomass to ecosystem fxn","biogeochemical cycles","epilithon mass",NA,NA,1
"268",2,"abund biomass to ecosystem fxn","biogeochemical cycles","epilithon turnover",NA,NA,1
"269",2,"abund biomass to ecosystem fxn","biogeochemical cycles","fine particulate organic matter",NA,NA,2
"270",2,"abund biomass to ecosystem fxn","biogeochemical cycles","fine particulate organic matter concentration",NA,NA,1
"271",2,"abund biomass to ecosystem fxn","biogeochemical cycles","fine particulate organic matter turnover",NA,NA,1
"272",2,"abund biomass to ecosystem fxn","biogeochemical cycles","inorganic N pools",NA,NA,1
"273",2,"abund biomass to ecosystem fxn","biogeochemical cycles","leaf pack mass loss",NA,NA,1
"274",2,"abund biomass to ecosystem fxn","biogeochemical cycles","litter",NA,NA,1
"275",2,"abund biomass to ecosystem fxn","biogeochemical cycles","litter decomposition",NA,NA,1
"276",2,"abund biomass to ecosystem fxn","biogeochemical cycles","live nodule biomass",NA,NA,2
"277",2,"abund biomass to ecosystem fxn","biogeochemical cycles","mass loss from burning",NA,NA,1
"278",2,"abund biomass to ecosystem fxn","biogeochemical cycles","mass remaining [decomposition]",NA,NA,1
"279",2,"abund biomass to ecosystem fxn","biogeochemical cycles","mgC m-2 d-1 from bacteria to virus",NA,NA,1
"280",2,"abund biomass to ecosystem fxn","biogeochemical cycles","N flux",NA,NA,1
"281",2,"abund biomass to ecosystem fxn","biogeochemical cycles","N loss",NA,NA,1
"282",2,"abund biomass to ecosystem fxn","biogeochemical cycles","N remaining",NA,NA,1
"283",2,"abund biomass to ecosystem fxn","biogeochemical cycles","N:P ratio",NA,NA,1
"284",2,"abund biomass to ecosystem fxn","biogeochemical cycles","NH4 update length",NA,NA,1
"285",2,"abund biomass to ecosystem fxn","biogeochemical cycles","nitrate",NA,NA,1
"286",2,"abund biomass to ecosystem fxn","biogeochemical cycles","nitrate NO3-N",NA,NA,1
"287",2,"abund biomass to ecosystem fxn","biogeochemical cycles","nitrogen fluxes",NA,NA,1
"288",2,"abund biomass to ecosystem fxn","biogeochemical cycles","Non-Castilleja C/N ratios",NA,NA,1
"289",2,"abund biomass to ecosystem fxn","biogeochemical cycles","oxygen",NA,NA,1
"290",2,"abund biomass to ecosystem fxn","biogeochemical cycles","particulate organic 15N",NA,NA,1
"291",2,"abund biomass to ecosystem fxn","biogeochemical cycles","particulate organice 13C",NA,NA,1
"292",2,"abund biomass to ecosystem fxn","biogeochemical cycles","percent of N from lysate taken up by Synechoccus cells",NA,NA,1
"293",2,"abund biomass to ecosystem fxn","biogeochemical cycles","phosphate",NA,NA,1
"294",2,"abund biomass to ecosystem fxn","biogeochemical cycles","phosphorous",NA,NA,1
"295",2,"abund biomass to ecosystem fxn","biogeochemical cycles","respiration",NA,NA,1
"296",2,"abund biomass to ecosystem fxn","biogeochemical cycles","smoldering loss",NA,NA,1
"297",2,"abund biomass to ecosystem fxn","biogeochemical cycles","suspended particular organic matter",NA,NA,1
"298",2,"abund biomass to ecosystem fxn","biogeochemical cycles","suspended particulate organic matter concentration",NA,NA,1
"299",2,"abund biomass to ecosystem fxn","biogeochemical cycles","suspended particulate organic matter turnover",NA,NA,1
"300",2,"abund biomass to ecosystem fxn","biogeochemical cycles","total benthic organic matter",NA,NA,1
"301",2,"abund biomass to ecosystem fxn","biogeochemical cycles","total N release",NA,NA,1
"302",2,"abund biomass to ecosystem fxn","biogeochemical cycles","uptake of 15N with lysate addition",NA,NA,1
"303",2,"abund biomass to ecosystem fxn","biogeochemical cycles","very fine particulate organic matter",NA,NA,1
"304",2,"abund biomass to ecosystem fxn","community biomass","basal cover",NA,NA,1
"305",2,"abund biomass to ecosystem fxn","community biomass","biomass",NA,NA,1
"306",2,"abund biomass to ecosystem fxn","community biomass","height",NA,NA,1
"307",2,"abund biomass to ecosystem fxn","community biomass","microbial biomass",NA,NA,1
"308",2,"abund biomass to ecosystem fxn","community biomass","total biomass yield",NA,NA,1
"309",2,"abund biomass to ecosystem fxn","community respiration","community respiration",NA,NA,1
"310",2,"abund biomass to ecosystem fxn","host and community biomass","biomass without Rhinanthus",NA,NA,1
"311",2,"abund biomass to ecosystem fxn","primary production","",NA,NA,1
"312",2,"abund biomass to ecosystem fxn","primary production","""recent mortality"" analysis: basal area growth ratio",NA,NA,1
"313",2,"abund biomass to ecosystem fxn","primary production","above-ground biomass for each functional group",NA,NA,1
"314",2,"abund biomass to ecosystem fxn","primary production","aboveground production",NA,NA,1
"315",2,"abund biomass to ecosystem fxn","primary production","aboveground tree biomass",NA,NA,1
"316",2,"abund biomass to ecosystem fxn","primary production","adult plant coverage",NA,NA,2
"317",2,"abund biomass to ecosystem fxn","primary production","algal biofilm",NA,NA,1
"318",2,"abund biomass to ecosystem fxn","primary production","average berry weight",NA,NA,1
"319",2,"abund biomass to ecosystem fxn","primary production","average root diameter",NA,NA,1
"320",2,"abund biomass to ecosystem fxn","primary production","basal area",NA,NA,5
"321",2,"abund biomass to ecosystem fxn","primary production","basal area non-oaks",NA,NA,1
"322",2,"abund biomass to ecosystem fxn","primary production","basal area red oaks (host)",NA,NA,1
"323",2,"abund biomass to ecosystem fxn","primary production","basal area white oaks (host)",NA,NA,1
"324",2,"abund biomass to ecosystem fxn","primary production","biomass",NA,NA,6
"325",2,"abund biomass to ecosystem fxn","primary production","biomass feedback",NA,NA,1
"326",2,"abund biomass to ecosystem fxn","primary production","biomass for each species",NA,NA,1
"327",2,"abund biomass to ecosystem fxn","primary production","biomass per leaf",NA,NA,1
"328",2,"abund biomass to ecosystem fxn","primary production","biomass per seed",NA,NA,1
"329",2,"abund biomass to ecosystem fxn","primary production","Calamagrostis epigejos biomass",NA,NA,1
"330",2,"abund biomass to ecosystem fxn","primary production","change in biomass",NA,NA,1
"331",2,"abund biomass to ecosystem fxn","primary production","chlorophyll a",NA,NA,7
"332",2,"abund biomass to ecosystem fxn","primary production","chlorophyll A",NA,NA,1
"333",2,"abund biomass to ecosystem fxn","primary production","chlorophyll a concentration",NA,NA,2
"334",2,"abund biomass to ecosystem fxn","primary production","chlorophyll a: AFDM",NA,NA,1
"335",2,"abund biomass to ecosystem fxn","primary production","community respiration",NA,NA,1
"336",2,"abund biomass to ecosystem fxn","primary production","cone production (cones/ha)",NA,NA,1
"337",2,"abund biomass to ecosystem fxn","primary production","cover",NA,NA,1
"338",2,"abund biomass to ecosystem fxn","primary production","daily net photosynthetic production",NA,NA,1
"339",2,"abund biomass to ecosystem fxn","primary production","DBH (cm)",NA,NA,1
"340",2,"abund biomass to ecosystem fxn","primary production","dead basal area (as percent of live+dead)",NA,NA,2
"341",2,"abund biomass to ecosystem fxn","primary production","dry biomass of macroalgal species and functional groups",NA,NA,1
"342",2,"abund biomass to ecosystem fxn","primary production","dry host biomass",NA,NA,1
"343",2,"abund biomass to ecosystem fxn","primary production","dry mass",NA,NA,1
"344",2,"abund biomass to ecosystem fxn","primary production","dry shoot and leaf biomass",NA,NA,1
"345",2,"abund biomass to ecosystem fxn","primary production","dry weight per plant",NA,NA,1
"346",2,"abund biomass to ecosystem fxn","primary production","epilithon",NA,NA,1
"347",2,"abund biomass to ecosystem fxn","primary production","ericaceous",NA,NA,1
"348",2,"abund biomass to ecosystem fxn","primary production","estimated sapling abundance [beech]",NA,NA,1
"349",2,"abund biomass to ecosystem fxn","primary production","foliar biomass [of host and community]",NA,NA,1
"350",2,"abund biomass to ecosystem fxn","primary production","foliar biomass [of host]",NA,NA,1
"351",2,"abund biomass to ecosystem fxn","primary production","forb",NA,NA,1
"352",2,"abund biomass to ecosystem fxn","primary production","forb biomass",NA,NA,1
"353",2,"abund biomass to ecosystem fxn","primary production","graminoid (includes hosts) biomass",NA,NA,1
"354",2,"abund biomass to ecosystem fxn","primary production","graminoid community (include host)",NA,NA,1
"355",2,"abund biomass to ecosystem fxn","primary production","graminoids",NA,NA,1
"356",2,"abund biomass to ecosystem fxn","primary production","gross primary production",NA,NA,1
"357",2,"abund biomass to ecosystem fxn","primary production","growth",NA,NA,1
"358",2,"abund biomass to ecosystem fxn","primary production","height (m)",NA,NA,1
"359",2,"abund biomass to ecosystem fxn","primary production","host biomass",NA,NA,1
"360",2,"abund biomass to ecosystem fxn","primary production","host production",NA,NA,1
"361",2,"abund biomass to ecosystem fxn","primary production","leaf area",NA,NA,1
"362",2,"abund biomass to ecosystem fxn","primary production","leaf area (mm2)",NA,NA,1
"363",2,"abund biomass to ecosystem fxn","primary production","leaf weight",NA,NA,1
